time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.419243	1	7	3	1530	0.00921761
0.419314	1	6	3	1530	0.00929155
0.419314	1	6	3	1530	0.00829155
0.419314	1	6	3	1530	0.00729155
0.419314	3	21	3	1530	0.00928402
0.419314	3	21	3	1530	0.00828402
0.419314	3	21	3	1530	0.00728402
0.419386	3	20	3	1530	0.0093567
0.419386	3	20	3	1530	0.0083567
0.419386	3	20	3	1530	0.0073567
0.419457	1	5	3	1530	0.00943567
0.419457	1	5	3	1530	0.00843567
0.419457	1	5	3	1530	0.00743567
0.419529	3	18	3	1530	0.00950207
0.419529	3	18	3	1530	0.00850207
0.419529	3	18	3	1530	0.00750207
0.4196	1	4	3	1530	0.00957978
0.4196	1	4	3	1530	0.00857978
0.4196	1	4	3	1530	0.00757978
0.4196	1	4	3	1530	0.00657978
0.4196	1	4	3	1530	0.00557978
0.4196	1	4	3	1530	0.00457978
0.4196	3	12	3	1530	0.00957601
0.4196	3	12	3	1530	0.00857601
0.4196	3	12	3	1530	0.00757601
0.419671	3	11	3	1530	0.00965246
0.419671	3	11	3	1530	0.00865246
0.419743	1	3	3	1530	0.00972515
0.419743	1	3	3	1530	0.00872515
0.419743	1	3	3	1530	0.00772515
0.419743	1	3	3	1530	0.00672515
0.419743	1	3	3	1530	0.00572515
0.419743	1	3	3	1530	0.00472515
0.419743	3	10	3	1530	0.0097264
0.419743	3	10	3	1530	0.0087264
0.419743	3	10	3	1530	0.0077264
0.419814	3	9	3	1530	0.00979909
0.419886	1	2	3	1530	0.00988182
0.419886	1	2	3	1530	0.00888182
0.419886	1	2	3	1530	0.00788182
0.419886	1	2	3	1530	0.00688182
0.419886	1	2	3	1530	0.00588182
0.419886	1	2	3	1530	0.00488182
0.419886	3	8	3	1530	0.00987177
0.419886	3	8	3	1530	0.00887177
0.419957	3	7	3	1530	0.00994445
0.419957	3	7	3	1530	0.00894445
0.419957	3	7	3	1530	0.00794445
0.420029	1	1	3	1530	0.0100259
