Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.0259286	gNB PHY Rxed	2	5	0	1	0	0	SRS
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.0269286	gNB PHY Rxed	2	6	0	3	0	0	SRS
0.0349286	gNB PHY Rxed	3	4	0	1	0	0	SRS
0.0359286	gNB PHY Rxed	3	5	0	3	0	0	SRS
0.0369286	gNB PHY Rxed	3	6	0	1	0	0	SRS
0.0389286	gNB PHY Rxed	3	8	0	1	0	0	SRS
0.0439286	gNB PHY Rxed	4	3	0	3	0	0	SRS
0.0499286	gNB PHY Rxed	4	9	0	3	0	0	SRS
0.0559286	gNB PHY Rxed	5	5	0	3	0	0	SRS
0.0589286	gNB PHY Rxed	5	8	0	1	0	0	SRS
0.0599286	gNB PHY Rxed	5	9	0	3	0	0	SRS
0.0619286	gNB PHY Rxed	6	1	0	3	0	0	SRS
0.0649286	gNB PHY Rxed	6	4	0	1	0	0	SRS
0.0659286	gNB PHY Rxed	6	5	0	3	0	0	SRS
0.0739286	gNB PHY Rxed	7	3	0	3	0	0	SRS
0.0759286	gNB PHY Rxed	7	5	0	3	0	0	SRS
0.0819286	gNB PHY Rxed	8	1	0	3	0	0	SRS
0.0849286	gNB PHY Rxed	8	4	0	3	0	0	SRS
0.0859286	gNB PHY Rxed	8	5	0	3	0	0	SRS
0.0909286	gNB PHY Rxed	9	0	0	3	0	0	SRS
0.0939286	gNB PHY Rxed	9	3	0	3	0	0	SRS
0.0949286	gNB PHY Rxed	9	4	0	3	0	0	SRS
0.0959286	gNB PHY Rxed	9	5	0	1	0	0	SRS
0.101929	gNB PHY Rxed	10	1	0	3	0	0	SRS
0.105929	gNB PHY Rxed	10	5	0	1	0	0	SRS
0.106929	gNB PHY Rxed	10	6	0	3	0	0	SRS
0.114929	gNB PHY Rxed	11	4	0	1	0	0	SRS
0.115929	gNB PHY Rxed	11	5	0	3	0	0	SRS
