Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	2	-127.848
0.0179286	1	0	3	-101.495
0.0179286	3	0	4	-146.365
0.0179286	3	0	5	-115.351
0.0179286	3	0	6	-107.124
0.0179286	3	0	7	-106.098
0.0179286	3	0	8	-131.345
0.0179286	3	0	9	-123.773
0.0179286	3	0	10	-106.887
0.0179286	3	0	11	-122.379
0.0179286	3	0	12	-140.045
0.0179286	3	0	13	-119.671
0.0179286	1	0	14	-116.945
0.0179286	3	0	15	-131.634
0.0179286	1	0	16	-96.8409
0.0179286	1	0	17	-134.397
0.0179286	1	0	18	-134.307
0.0179286	3	0	19	-94.4599
0.0179286	1	0	20	-130.542
0.0179286	3	0	21	-95.6853
0.0179286	3	0	22	-143.429
0.0179286	3	0	23	-117.384
0.0179286	3	0	24	-109.293
0.0179286	3	0	25	-124.53
0.0258571	1	0	16	-96.1038
0.0259286	3	0	21	-94.9581
0.0259286	3	0	22	-143.837
0.0259286	3	0	23	-118.393
0.0259286	3	0	24	-108.813
0.0259286	3	0	25	-124.599
0.0268571	3	0	7	-105.988
0.0348571	1	0	20	-131.006
0.0358571	3	0	5	-114.835
0.0368571	1	0	14	-118.554
0.0388571	1	0	17	-134.028
0.0438571	3	0	21	-94.1317
0.0498571	3	0	23	-117.678
0.0558571	3	0	25	-125.249
0.0588571	1	0	2	-128.212
0.0598571	3	0	10	-106.474
0.0618571	3	0	11	-121.208
0.0648571	1	0	3	-100.716
0.0658571	3	0	19	-94.3925
0.0738571	3	0	13	-120.337
0.0758571	3	0	9	-122.636
0.0818571	3	0	4	-144.774
0.0848571	3	0	12	-140.795
0.0858571	3	0	6	-107.291
0.0908571	3	0	22	-143.858
0.0938571	3	0	15	-132.209
0.0948571	3	0	8	-130.892
0.0958571	1	0	18	-135.132
0.101857	3	0	24	-107.842
0.105857	1	0	16	-96.8588
0.106857	3	0	7	-104.224
0.114857	1	0	20	-130.986
0.115857	3	0	5	-113.027
0.116857	1	0	14	-118.252
0.118857	1	0	17	-132.928
0.123857	3	0	21	-95.003
0.129857	3	0	23	-119.801
0.135857	3	0	25	-126.235
0.138857	1	0	2	-129.715
0.139857	3	0	10	-108.365
0.141857	3	0	11	-122.702
0.144857	1	0	3	-99.9194
0.145857	3	0	19	-95.2542
0.153857	3	0	13	-119.79
0.155857	3	0	9	-125.754
0.161857	3	0	4	-142.773
0.164857	3	0	12	-138.571
