Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	2	-134.314
0	1	0	3	-96.9264
0	1	0	14	-115.697
0	1	0	16	-100.041
0	1	0	17	-124.836
0	1	0	18	-133.899
0	1	0	20	-136.14
0	3	0	4	-144.154
0	3	0	5	-133.355
0	3	0	6	-101.882
0	3	0	7	-102.856
0	3	0	8	-130.548
0	3	0	9	-136.496
0	3	0	10	-107.554
0	3	0	11	-122.053
0	3	0	12	-130.778
0	3	0	13	-129.442
0	3	0	15	-136.591
0	3	0	19	-92.8497
0	3	0	21	-100.745
0	3	0	22	-131.694
0	3	0	23	-122.042
0	3	0	24	-112.083
0	3	0	25	-127.877
0.005	1	0	2	-127.062
0.005	1	0	3	-101.565
0.005	1	0	14	-117.203
0.005	1	0	16	-96.7087
0.005	1	0	17	-134.676
0.005	1	0	18	-134.378
0.005	1	0	20	-129.843
0.005	3	0	4	-145.925
0.005	3	0	5	-116.247
0.005	3	0	6	-107.966
0.005	3	0	7	-104.615
0.005	3	0	8	-132.345
0.005	3	0	9	-124.109
0.005	3	0	10	-107.621
0.005	3	0	11	-121.818
0.005	3	0	12	-140.502
0.005	3	0	13	-118.8
0.005	3	0	15	-131.986
0.005	3	0	19	-93.796
0.005	3	0	21	-94.824
0.005	3	0	22	-142.909
0.005	3	0	23	-118.752
0.005	3	0	24	-109.353
0.005	3	0	25	-124.553
0.01	1	0	2	-127.261
0.01	1	0	3	-101.268
0.01	1	0	14	-117.255
0.01	1	0	16	-96.9032
0.01	1	0	17	-134.602
0.01	1	0	18	-134.183
0.01	1	0	20	-130.43
0.01	3	0	4	-146.074
0.01	3	0	5	-116.001
0.01	3	0	6	-107.566
0.01	3	0	7	-105.306
0.01	3	0	8	-131.782
0.01	3	0	9	-124.26
0.01	3	0	10	-107.58
0.01	3	0	11	-121.725
0.01	3	0	12	-140.565
0.01	3	0	13	-119.162
0.01	3	0	15	-131.956
0.01	3	0	19	-94.084
0.01	3	0	21	-94.7762
0.01	3	0	22	-143.408
0.01	3	0	23	-117.545
0.01	3	0	24	-109.692
0.01	3	0	25	-124.558
0.015	1	0	2	-127.715
0.015	1	0	3	-101.508
0.015	1	0	14	-117.063
0.015	1	0	16	-96.7381
0.015	1	0	17	-134.338
0.015	1	0	18	-134.328
0.015	1	0	20	-130.654
0.015	3	0	4	-146.412
0.015	3	0	5	-115.523
0.015	3	0	6	-107.123
0.015	3	0	7	-105.87
0.015	3	0	8	-131.656
0.015	3	0	9	-123.766
0.015	3	0	10	-107.03
0.015	3	0	11	-122.305
0.015	3	0	12	-140.155
0.015	3	0	13	-119.631
0.015	3	0	15	-131.746
0.015	3	0	19	-94.2924
0.015	3	0	21	-95.3353
0.015	3	0	22	-142.927
0.015	3	0	23	-116.962
0.015	3	0	24	-109.461
0.015	3	0	25	-124.513
0.02	1	0	2	-127.642
0.02	1	0	3	-101.659
0.02	1	0	14	-117.144
0.02	1	0	16	-96.4167
0.02	1	0	17	-134.196
