time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.419243	1	7	3	1530	0.00921761
0.419314	1	6	3	1530	0.00929155
0.419314	1	6	3	1530	0.00919155
0.419314	1	6	3	1530	0.00909155
0.419314	3	21	3	1530	0.00928402
0.419314	3	21	3	1530	0.00918402
0.419314	3	21	3	1530	0.00908402
0.419386	3	20	3	1530	0.0093567
0.419386	3	20	3	1530	0.0092567
0.419386	3	20	3	1530	0.0091567
0.419457	1	5	3	1530	0.00943567
0.419457	1	5	3	1530	0.00933566
0.419457	1	5	3	1530	0.00923567
0.419529	3	18	3	1530	0.00950207
0.419529	3	18	3	1530	0.00940207
0.419529	3	18	3	1530	0.00930207
0.4196	1	4	3	1530	0.00957978
0.4196	1	4	3	1530	0.00947978
0.4196	1	4	3	1530	0.00937978
0.4196	1	4	3	1530	0.00927978
0.4196	1	4	3	1530	0.00917978
0.4196	1	4	3	1530	0.00907978
0.4196	3	12	3	1530	0.00957601
0.4196	3	12	3	1530	0.00947601
0.4196	3	12	3	1530	0.00937601
0.419671	3	11	3	1530	0.00965246
0.419671	3	11	3	1530	0.00955246
0.419743	1	3	3	1530	0.00972515
0.419743	1	3	3	1530	0.00962514
0.419743	1	3	3	1530	0.00952515
0.419743	1	3	3	1530	0.00942515
0.419743	1	3	3	1530	0.00932514
0.419743	1	3	3	1530	0.00922515
0.419743	3	10	3	1530	0.0097264
0.419743	3	10	3	1530	0.0096264
0.419743	3	10	3	1530	0.0095264
0.419814	3	9	3	1530	0.00979909
0.419886	1	2	3	1530	0.00988182
0.419886	1	2	3	1530	0.00978182
0.419886	1	2	3	1530	0.00968182
0.419886	1	2	3	1530	0.00958182
0.419886	1	2	3	1530	0.00948182
0.419886	1	2	3	1530	0.00938182
0.419886	3	8	3	1530	0.00987177
0.419886	3	8	3	1530	0.00977177
0.419957	3	7	3	1530	0.00994445
0.419957	3	7	3	1530	0.00984445
0.419957	3	7	3	1530	0.00974445
0.420029	1	1	3	1530	0.0100259
