time(s)	cellId	rnti	lcid	packetSize
0.410003	1	1	3	1530
0.410004	1	2	3	1530
0.410005	3	1	3	1530
0.410006	3	2	3	1530
0.410008	3	3	3	1530
0.410009	3	4	3	1530
0.41001	3	5	3	1530
0.410011	3	6	3	1530
0.410013	3	7	3	1530
0.410014	3	8	3	1530
0.410015	3	9	3	1530
0.410016	3	10	3	1530
0.410018	1	3	3	1530
0.410019	3	11	3	1530
0.41002	1	4	3	1530
0.410021	1	5	3	1530
0.410023	1	6	3	1530
0.410024	3	12	3	1530
0.410025	1	7	3	1530
0.410026	3	18	3	1530
0.410028	3	19	3	1530
0.410029	3	20	3	1530
0.41003	3	21	3	1530
0.410032	3	22	3	1530
0.410103	1	1	3	1530
0.410104	1	2	3	1530
0.410105	3	1	3	1530
0.410106	3	2	3	1530
0.410108	3	3	3	1530
0.410109	3	4	3	1530
0.41011	3	5	3	1530
0.410111	3	6	3	1530
0.410113	3	7	3	1530
0.410114	3	8	3	1530
0.410115	3	9	3	1530
0.410116	3	10	3	1530
0.410118	1	3	3	1530
0.410119	3	11	3	1530
0.41012	1	4	3	1530
0.410121	1	5	3	1530
0.410123	1	6	3	1530
0.410124	3	12	3	1530
0.410125	1	7	3	1530
0.410126	3	18	3	1530
0.410128	3	19	3	1530
0.410129	3	20	3	1530
0.41013	3	21	3	1530
0.410132	3	22	3	1530
0.410203	1	1	3	1530
0.410204	1	2	3	1530
0.410205	3	1	3	1530
0.410206	3	2	3	1530
0.410208	3	3	3	1530
0.410209	3	4	3	1530
0.41021	3	5	3	1530
0.410211	3	6	3	1530
0.410213	3	7	3	1530
0.410214	3	8	3	1530
0.410215	3	9	3	1530
0.410216	3	10	3	1530
0.410218	1	3	3	1530
0.410219	3	11	3	1530
0.41022	1	4	3	1530
0.410221	1	5	3	1530
0.410223	1	6	3	1530
0.410224	3	12	3	1530
0.410225	1	7	3	1530
0.410226	3	18	3	1530
0.410228	3	19	3	1530
0.410229	3	20	3	1530
