Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-10.1082
7.1427e-05	3	0	0	21.9177
0.00507143	1	0	0	-7.80944
0.00507143	3	0	0	16.6368
0.0100714	1	0	0	-7.80944
0.0100714	3	0	0	16.6368
0.0150714	1	0	0	-7.80944
0.0150714	3	0	0	16.6368
0.0200714	1	0	0	-7.80944
0.0200714	3	0	0	16.6368
0.0250714	1	1	0	-7.80944
0.0250714	3	1	0	16.6368
0.0300714	1	1	0	-7.80944
0.0300714	3	1	0	16.6368
0.0350714	1	1	0	-7.80944
0.0350714	3	1	0	16.6368
0.0400714	1	1	0	-7.80944
0.0400714	3	1	0	16.6368
0.0450714	1	1	0	-7.80944
0.0450714	3	1	0	16.6368
0.0500714	1	1	0	-7.80944
0.0500714	3	1	0	16.6368
0.0550714	1	1	0	-7.80944
0.0550714	3	1	0	16.6368
0.0560714	1	1	0	12.0053
0.0600714	1	1	0	-7.80944
0.0600714	3	1	0	16.6368
0.0650714	1	1	0	-7.80944
0.0650714	3	1	0	16.6368
0.0700714	1	1	0	-7.80944
0.0700714	3	1	0	16.6368
0.0750714	1	1	0	-7.80944
0.0750714	3	1	0	16.6368
0.0790714	3	1	0	51.5058
0.0800714	1	1	0	-7.80944
0.0800714	3	1	0	16.6368
0.0850714	1	1	0	-7.80944
0.0850714	3	1	0	16.6368
0.0900714	1	1	0	-7.80944
0.0900714	3	1	0	16.6368
0.0950714	1	1	0	-7.80944
0.0950714	3	1	0	16.6368
0.100071	1	1	0	-7.80944
0.100071	3	1	0	16.6368
0.105071	1	1	0	-7.80944
0.105071	3	1	0	16.6368
0.110071	1	1	0	-7.80944
0.110071	3	1	0	16.6368
0.115071	1	1	0	-7.80944
0.115071	3	1	0	16.6368
0.120071	1	1	0	-7.80944
0.120071	3	1	0	16.6368
0.125071	1	1	0	-7.80944
0.125071	3	1	0	16.6368
0.130071	1	1	0	-7.80944
0.130071	3	1	0	16.6368
0.135071	1	1	0	-7.80944
0.135071	3	1	0	16.6368
0.136071	1	1	0	12.0053
0.140071	1	1	0	-7.80944
0.140071	3	1	0	16.6368
0.145071	1	1	0	-7.80944
0.145071	3	1	0	16.6368
0.150071	1	1	0	-7.80944
0.150071	3	1	0	16.6368
0.155071	1	1	0	-7.80944
0.155071	3	1	0	16.6368
0.159071	3	1	0	51.5058
0.160071	1	1	0	-7.80944
0.160071	3	1	0	16.6368
0.165071	1	1	0	-7.80944
0.165071	3	1	0	16.6368
0.170071	1	1	0	-7.80944
0.170071	3	1	0	16.6368
0.175071	1	1	0	-7.80944
0.175071	3	1	0	16.6368
0.180071	1	1	0	-7.80944
0.180071	3	1	0	16.6368
0.185071	1	1	0	-7.80944
0.185071	3	1	0	16.6368
0.190071	1	1	0	-7.80944
0.190071	3	1	0	16.6368
0.195071	1	1	0	-7.80944
0.195071	3	1	0	16.6368
0.200071	1	1	0	-7.80944
0.200071	3	1	0	16.6368
0.205071	1	1	0	-7.80944
0.205071	3	1	0	16.6368
0.210071	1	1	0	-7.80944
0.210071	3	1	0	16.6368
0.215071	1	1	0	-7.80944
0.215071	3	1	0	16.6368
0.216071	1	1	0	12.0053
0.220071	1	1	0	-7.80944
0.220071	3	1	0	16.6368
0.225071	1	1	0	-7.80944
0.225071	3	1	0	16.6368
0.230071	1	1	0	-7.80944
0.230071	3	1	0	16.6368
0.235071	1	1	0	-7.80944
0.235071	3	1	0	16.6368
0.239071	3	1	0	51.5058
0.240071	1	1	0	-7.80944
0.240071	3	1	0	16.6368
0.245071	1	1	0	-7.80944
0.245071	3	1	0	16.6368
0.250071	1	1	0	-7.80944
0.250071	3	1	0	16.6368
0.255071	1	1	0	-7.80944
0.255071	3	1	0	16.6368
0.260071	1	1	0	-7.80944
0.260071	3	1	0	16.6368
0.265071	1	1	0	-7.80944
0.265071	3	1	0	16.6368
0.270071	1	1	0	-7.80944
0.270071	3	1	0	16.6368
0.275071	1	1	0	-7.80944
0.275071	3	1	0	16.6368
0.280071	1	1	0	-7.80944
0.280071	3	1	0	16.6368
0.285071	1	1	0	-7.80944
0.285071	3	1	0	16.6368
0.290071	1	1	0	-7.80944
0.290071	3	1	0	16.6368
0.295071	1	1	0	-7.80944
0.295071	3	1	0	16.6368
0.296071	1	1	0	12.0053
0.300071	1	1	0	-7.80944
0.300071	3	1	0	16.6368
0.305071	1	1	0	-7.80944
0.305071	3	1	0	16.6368
0.310071	1	1	0	-7.80944
0.310071	3	1	0	16.6368
0.315071	1	1	0	-7.80944
0.315071	3	1	0	16.6368
0.319071	3	1	0	51.5058
0.320071	1	1	0	-7.80944
0.320071	3	1	0	16.6368
0.325071	1	1	0	-7.80944
0.325071	3	1	0	16.6368
0.330071	1	1	0	-7.80944
0.330071	3	1	0	16.6368
0.335071	1	1	0	-7.80944
0.335071	3	1	0	16.6368
0.340071	1	1	0	-7.80944
0.340071	3	1	0	16.6368
0.345071	1	1	0	-7.80944
0.345071	3	1	0	16.6368
0.350071	1	1	0	-7.80944
0.350071	3	1	0	16.6368
