Time	CellId	RNTI	BWPId	SINR(dB)
0.413929	1	1	0	10.3975
0.413929	3	1	0	36.5145
0.414929	1	1	0	10.3975
0.414929	3	1	0	36.5145
0.415929	1	1	0	10.3975
0.415929	3	1	0	36.5145
0.416929	1	1	0	10.3975
0.416929	3	1	0	36.5145
0.417929	1	1	0	10.3975
0.417929	3	1	0	36.5145
0.418929	1	1	0	10.3975
0.418929	3	1	0	36.5145
0.419929	1	1	0	10.3975
0.419929	3	1	0	36.5145
0.420929	1	1	0	10.3975
0.420929	3	1	0	36.5145
0.421714	3	1	0	36.5145
0.421929	1	1	0	24.2216
0.422357	3	1	0	36.5145
0.422929	1	1	0	28.3673
0.423357	3	1	0	36.5145
0.423929	1	1	0	28.3673
0.424357	3	1	0	36.5145
0.424929	1	1	0	28.3673
0.425357	3	1	0	36.5145
0.425929	1	1	0	28.3673
0.426357	3	1	0	36.5145
0.426929	1	1	0	28.3673
0.427357	3	1	0	36.5145
0.427929	1	1	0	28.3673
0.428357	3	1	0	36.5145
0.428429	1	1	0	23.2973
0.429357	1	1	0	10.3975
0.429357	3	1	0	36.5145
0.430357	1	1	0	10.3975
0.430357	3	1	0	36.5145
0.431357	1	1	0	10.3975
0.431357	3	1	0	36.5145
0.432357	1	1	0	10.3975
0.432357	3	1	0	36.5145
0.433357	1	1	0	10.3975
0.433357	3	1	0	36.5145
0.434357	3	1	0	66.0474
0.434929	1	1	0	28.3978
0.435357	3	1	0	66.0474
0.435929	1	1	0	28.3978
0.436357	3	1	0	66.0474
0.436929	1	1	0	28.3978
0.437357	3	1	0	66.0474
0.437929	1	1	0	28.3978
0.438357	3	1	0	66.0474
0.438929	1	1	0	28.3978
0.439357	3	1	0	36.5145
0.439929	1	1	0	28.3673
0.440357	3	1	0	36.5145
0.440929	1	1	0	28.3673
0.441357	3	1	0	36.5145
0.441929	1	1	0	28.3673
0.442357	3	1	0	36.5145
0.442429	1	1	0	23.2973
0.443357	1	1	0	10.3975
0.443357	3	1	0	36.5145
0.444357	1	1	0	10.3975
0.444357	3	1	0	36.5145
0.445357	1	1	0	10.3975
0.445357	3	1	0	36.5145
0.446357	1	1	0	10.3975
0.446357	3	1	0	36.5145
0.447357	1	1	0	10.3975
0.447357	3	1	0	36.5145
0.448357	3	1	0	66.0474
0.448929	1	1	0	28.3978
0.449357	3	1	0	66.0474
0.449929	1	1	0	28.3978
0.450357	3	1	0	66.0474
0.450929	1	1	0	28.3978
0.451357	3	1	0	66.0474
0.451929	1	1	0	28.3978
0.452357	3	1	0	66.0474
0.452929	1	1	0	28.3978
0.453357	3	1	0	36.5145
0.453929	1	1	0	28.3673
0.454357	3	1	0	36.5145
0.454929	1	1	0	28.3673
0.455357	3	1	0	36.5145
0.455929	1	1	0	28.3673
0.456357	3	1	0	36.5145
0.456429	1	1	0	23.2973
0.457357	1	1	0	10.3975
0.457357	3	1	0	36.5145
0.458357	1	1	0	10.3975
0.458357	3	1	0	36.5145
0.459357	1	1	0	10.3975
0.459357	3	1	0	36.5145
0.460357	1	1	0	10.3975
0.460357	3	1	0	36.5145
0.461357	1	1	0	10.3975
0.461357	3	1	0	36.5145
0.462357	3	1	0	66.0474
0.462929	1	1	0	28.3978
0.463357	3	1	0	66.0474
0.463929	1	1	0	28.3978
0.464357	3	1	0	66.0474
0.464929	1	1	0	28.3978
0.465357	3	1	0	66.0474
0.465929	1	1	0	28.3978
0.466357	3	1	0	66.0474
0.466929	1	1	0	28.3978
0.467357	3	1	0	36.5145
0.467929	1	1	0	28.3673
0.468357	3	1	0	36.5145
0.468929	1	1	0	28.3673
0.469357	3	1	0	36.5145
0.469929	1	1	0	28.3673
0.470357	3	1	0	36.5145
0.470429	1	1	0	23.2973
0.471357	1	1	0	10.3975
0.471357	3	1	0	36.5145
0.472357	1	1	0	10.3975
0.472357	3	1	0	36.5145
0.473357	1	1	0	10.3975
0.473357	3	1	0	36.5145
0.474357	1	1	0	10.3975
0.474357	3	1	0	36.5145
0.475357	1	1	0	10.3975
0.475357	3	1	0	36.5145
0.476357	3	1	0	66.0474
0.476929	1	1	0	28.3978
0.477357	3	1	0	66.0474
0.477929	1	1	0	28.3978
0.478357	3	1	0	66.0474
0.478929	1	1	0	28.3978
