time(s)	cellId	rnti	lcid	packetSize
0.410003	1	1	3	1530
0.410004	3	1	3	1530
0.410103	1	1	3	1530
0.410104	3	1	3	1530
0.410203	1	1	3	1530
0.410204	3	1	3	1530
0.410303	1	1	3	1530
0.410304	3	1	3	1530
0.410403	1	1	3	1530
0.410404	3	1	3	1530
0.410503	1	1	3	1530
0.410504	3	1	3	1530
0.410603	1	1	3	1530
0.410604	3	1	3	1530
0.410703	1	1	3	1530
0.410704	3	1	3	1530
0.410803	1	1	3	1530
0.410804	3	1	3	1530
0.410903	1	1	3	1530
0.410904	3	1	3	1530
0.411003	1	1	3	1530
0.411004	3	1	3	1530
0.411103	1	1	3	1530
0.411104	3	1	3	1530
0.411203	1	1	3	1530
0.411204	3	1	3	1530
0.411303	1	1	3	1530
0.411304	3	1	3	1530
0.411403	1	1	3	1530
0.411404	3	1	3	1530
0.411503	1	1	3	1530
0.411504	3	1	3	1530
0.411603	1	1	3	1530
0.411604	3	1	3	1530
0.411703	1	1	3	1530
0.411704	3	1	3	1530
0.411803	1	1	3	1530
0.411804	3	1	3	1530
0.411903	1	1	3	1530
0.411904	3	1	3	1530
0.412003	1	1	3	1530
0.412004	3	1	3	1530
0.412103	1	1	3	1530
0.412104	3	1	3	1530
0.412203	1	1	3	1530
0.412204	3	1	3	1530
0.412303	1	1	3	1530
0.412304	3	1	3	1530
0.412403	1	1	3	1530
0.412404	3	1	3	1530
0.412503	1	1	3	1530
0.412504	3	1	3	1530
0.412603	1	1	3	1530
0.412604	3	1	3	1530
0.412703	1	1	3	1530
0.412704	3	1	3	1530
0.412803	1	1	3	1530
0.412804	3	1	3	1530
0.412903	1	1	3	1530
0.412904	3	1	3	1530
0.413003	1	1	3	1530
0.413004	3	1	3	1530
0.413103	1	1	3	1530
0.413104	3	1	3	1530
0.413203	1	1	3	1530
0.413204	3	1	3	1530
0.413303	1	1	3	1530
0.413304	3	1	3	1530
0.413403	1	1	3	1530
0.413404	3	1	3	1530
0.413503	1	1	3	1530
0.413504	3	1	3	1530
0.413603	1	1	3	1530
0.413604	3	1	3	1530
0.413703	1	1	3	1530
0.413704	3	1	3	1530
0.413803	1	1	3	1530
0.413804	3	1	3	1530
0.413903	1	1	3	1530
0.413904	3	1	3	1530
0.414003	1	1	3	1530
0.414004	3	1	3	1530
0.414103	1	1	3	1530
0.414104	3	1	3	1530
0.414203	1	1	3	1530
0.414204	3	1	3	1530
0.414303	1	1	3	1530
0.414304	3	1	3	1530
0.414403	1	1	3	1530
0.414404	3	1	3	1530
0.414503	1	1	3	1530
0.414504	3	1	3	1530
0.414603	1	1	3	1530
0.414604	3	1	3	1530
0.414703	1	1	3	1530
0.414704	3	1	3	1530
0.414803	1	1	3	1530
0.414804	3	1	3	1530
0.414903	1	1	3	1530
0.414904	3	1	3	1530
0.415003	1	1	3	1530
0.415004	3	1	3	1530
0.415103	1	1	3	1530
0.415104	3	1	3	1530
0.415203	1	1	3	1530
0.415204	3	1	3	1530
0.415303	1	1	3	1530
0.415304	3	1	3	1530
0.415403	1	1	3	1530
0.415404	3	1	3	1530
0.415503	1	1	3	1530
0.415504	3	1	3	1530
0.415603	1	1	3	1530
0.415604	3	1	3	1530
0.415703	1	1	3	1530
0.415704	3	1	3	1530
0.415803	1	1	3	1530
0.415804	3	1	3	1530
0.415903	1	1	3	1530
0.415904	3	1	3	1530
0.416003	1	1	3	1530
0.416004	3	1	3	1530
0.416103	1	1	3	1530
0.416104	3	1	3	1530
0.416203	1	1	3	1530
0.416204	3	1	3	1530
0.416303	1	1	3	1530
0.416304	3	1	3	1530
0.416403	1	1	3	1530
0.416404	3	1	3	1530
0.416503	1	1	3	1530
0.416504	3	1	3	1530
0.416603	1	1	3	1530
0.416604	3	1	3	1530
0.416703	1	1	3	1530
0.416704	3	1	3	1530
0.416803	1	1	3	1530
0.416804	3	1	3	1530
0.416903	1	1	3	1530
0.416904	3	1	3	1530
0.417003	1	1	3	1530
0.417004	3	1	3	1530
0.417103	1	1	3	1530
0.417104	3	1	3	1530
0.417203	1	1	3	1530
0.417204	3	1	3	1530
0.417303	1	1	3	1530
0.417304	3	1	3	1530
0.417403	1	1	3	1530
0.417404	3	1	3	1530
0.417503	1	1	3	1530
0.417504	3	1	3	1530
0.417603	1	1	3	1530
0.417604	3	1	3	1530
0.417703	1	1	3	1530
0.417704	3	1	3	1530
0.417803	1	1	3	1530
0.417804	3	1	3	1530
0.417903	1	1	3	1530
0.417904	3	1	3	1530
0.418003	1	1	3	1530
0.418004	3	1	3	1530
0.418103	1	1	3	1530
0.418104	3	1	3	1530
0.418203	1	1	3	1530
0.418204	3	1	3	1530
0.418303	1	1	3	1530
0.418304	3	1	3	1530
0.418403	1	1	3	1530
0.418404	3	1	3	1530
0.418503	1	1	3	1530
0.418504	3	1	3	1530
0.418603	1	1	3	1530
0.418604	3	1	3	1530
0.418703	1	1	3	1530
0.418704	3	1	3	1530
0.418803	1	1	3	1530
0.418804	3	1	3	1530
0.418903	1	1	3	1530
0.418904	3	1	3	1530
0.419003	1	1	3	1530
0.419004	3	1	3	1530
0.419103	1	1	3	1530
0.419104	3	1	3	1530
0.419203	1	1	3	1530
0.419204	3	1	3	1530
0.419303	1	1	3	1530
0.419304	3	1	3	1530
0.419403	1	1	3	1530
0.419404	3	1	3	1530
0.419503	1	1	3	1530
0.419504	3	1	3	1530
0.419603	1	1	3	1530
0.419604	3	1	3	1530
0.419703	1	1	3	1530
0.419704	3	1	3	1530
0.419803	1	1	3	1530
0.419804	3	1	3	1530
0.419903	1	1	3	1530
0.419904	3	1	3	1530
0.420003	1	1	3	1530
0.420004	3	1	3	1530
0.420103	1	1	3	1530
0.420104	3	1	3	1530
0.420203	1	1	3	1530
0.420204	3	1	3	1530
0.420303	1	1	3	1530
0.420304	3	1	3	1530
0.420403	1	1	3	1530
0.420404	3	1	3	1530
0.420503	1	1	3	1530
0.420504	3	1	3	1530
0.420603	1	1	3	1530
0.420604	3	1	3	1530
0.420703	1	1	3	1530
0.420704	3	1	3	1530
0.420803	1	1	3	1530
0.420804	3	1	3	1530
0.420903	1	1	3	1530
0.420904	3	1	3	1530
0.421003	1	1	3	1530
0.421004	3	1	3	1530
0.421103	1	1	3	1530
0.421104	3	1	3	1530
0.421203	1	1	3	1530
0.421204	3	1	3	1530
0.421303	1	1	3	1530
0.421304	3	1	3	1530
0.421403	1	1	3	1530
0.421404	3	1	3	1530
0.421503	1	1	3	1530
0.421504	3	1	3	1530
0.421603	1	1	3	1530
0.421604	3	1	3	1530
0.421703	1	1	3	1530
0.421704	3	1	3	1530
0.421803	1	1	3	1530
0.421804	3	1	3	1530
0.421903	1	1	3	1530
0.421904	3	1	3	1530
0.422003	1	1	3	1530
0.422004	3	1	3	1530
0.422103	1	1	3	1530
0.422104	3	1	3	1530
0.422203	1	1	3	1530
0.422204	3	1	3	1530
0.422303	1	1	3	1530
0.422304	3	1	3	1530
0.422403	1	1	3	1530
0.422404	3	1	3	1530
0.422503	1	1	3	1530
0.422504	3	1	3	1530
0.422603	1	1	3	1530
0.422604	3	1	3	1530
0.422703	1	1	3	1530
0.422704	3	1	3	1530
0.422803	1	1	3	1530
0.422804	3	1	3	1530
0.422903	1	1	3	1530
0.422904	3	1	3	1530
0.423003	1	1	3	1530
