time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.414029	1	1	3	1401	0.00302856
0.414029	3	1	3	1401	0.00302856
0.415029	1	1	3	1401	0.00302856
0.415029	3	1	3	1401	0.00302856
0.416029	1	1	3	1401	0.00302856
0.416029	3	1	3	1401	0.00302856
0.417029	1	1	3	1401	0.00302856
0.417029	3	1	3	1401	0.00302856
0.418029	1	1	3	1401	0.00302856
0.418029	3	1	3	1401	0.00302856
0.419029	1	1	3	1401	0.00302856
0.419029	3	1	3	1401	0.00302856
0.420029	1	1	3	21022	0.00302856
0.420029	3	1	3	48353	0.00302856
0.421029	1	1	3	21022	0.00302856
0.421029	3	1	3	48353	0.00302856
0.421814	3	1	3	32743	0.00281428
0.422029	1	1	3	21022	0.00302856
0.422457	3	1	3	15316	0.00245714
0.423029	1	1	3	21022	0.00302856
0.423457	3	1	3	15316	0.00245714
0.424029	1	1	3	21022	0.00302856
0.424457	3	1	3	15316	0.00245714
0.425029	1	1	3	21022	0.00302856
0.425457	3	1	3	15316	0.00245714
0.426029	1	1	3	21022	0.00302856
0.426457	3	1	3	15316	0.00245714
0.427029	1	1	3	21022	0.00302856
0.427457	3	1	3	15316	0.00245714
0.428029	1	1	3	48353	0.00302856
0.428457	3	1	3	15316	0.00245714
0.428529	1	1	3	20140	0.00252857
0.429457	3	1	3	15316	0.00245714
0.430457	3	1	3	15316	0.00245714
0.431457	3	1	3	15316	0.00245714
0.432457	3	1	3	15316	0.00245714
0.433457	3	1	3	15316	0.00245714
0.434457	3	1	3	15316	0.00245714
0.435029	1	1	3	15316	0.00802856
0.435457	3	1	3	15316	0.00245714
0.436029	1	1	3	15316	0.00802856
0.436457	3	1	3	15316	0.00245714
0.437029	1	1	3	15316	0.00802856
0.437457	3	1	3	15316	0.00245714
0.438029	1	1	3	15316	0.00802856
0.438457	3	1	3	15316	0.00245714
0.439029	1	1	3	15316	0.00802856
0.439457	3	1	3	15316	0.00245714
0.440029	1	1	3	21022	0.00302856
0.440457	3	1	3	15316	0.00245714
0.441029	1	1	3	48353	0.00302856
0.441457	3	1	3	15316	0.00245714
0.442029	1	1	3	48353	0.00302856
0.442457	3	1	3	15316	0.00245714
0.442529	1	1	3	20115	0.00252857
0.443457	3	1	3	15316	0.00245714
0.444457	3	1	3	15316	0.00245714
0.445457	3	1	3	15316	0.00245714
0.446457	3	1	3	15316	0.00245714
0.447457	3	1	3	15316	0.00245714
0.448457	3	1	3	15316	0.00245714
0.449029	1	1	3	15316	0.00802856
0.449457	3	1	3	15316	0.00245714
0.450029	1	1	3	15316	0.00802856
0.450457	3	1	3	15316	0.00245714
0.451029	1	1	3	15316	0.00802856
0.451457	3	1	3	15316	0.00245714
0.452029	1	1	3	15316	0.00802856
0.452457	3	1	3	15316	0.00245714
0.453029	1	1	3	15316	0.00802856
0.453457	3	1	3	15316	0.00245714
0.454029	1	1	3	21022	0.00302856
0.454457	3	1	3	15316	0.00245714
0.455029	1	1	3	48353	0.00302856
0.455457	3	1	3	15316	0.00245714
0.456029	1	1	3	48353	0.00302856
0.456457	3	1	3	15316	0.00245714
0.456529	1	1	3	20115	0.00252857
0.457457	3	1	3	15316	0.00245714
0.458457	3	1	3	15316	0.00245714
0.459457	3	1	3	15316	0.00245714
0.460457	3	1	3	15316	0.00245714
0.461457	3	1	3	15316	0.00245714
0.462457	3	1	3	15316	0.00245714
0.463029	1	1	3	15316	0.00802856
0.463457	3	1	3	15316	0.00245714
0.464029	1	1	3	15316	0.00802856
0.464457	3	1	3	15316	0.00245714
0.465029	1	1	3	15316	0.00802856
0.465457	3	1	3	15316	0.00245714
0.466029	1	1	3	15316	0.00802856
0.466457	3	1	3	15316	0.00245714
0.467029	1	1	3	15316	0.00802856
0.467457	3	1	3	15316	0.00245714
0.468029	1	1	3	21022	0.00302856
0.468457	3	1	3	15316	0.00245714
0.469029	1	1	3	48353	0.00302856
0.469457	3	1	3	15316	0.00245714
0.470029	1	1	3	48353	0.00302856
0.470457	3	1	3	15316	0.00245714
0.470529	1	1	3	20115	0.00252857
0.471457	3	1	3	15316	0.00245714
0.472457	3	1	3	15316	0.00245714
0.473457	3	1	3	15316	0.00245714
0.474457	3	1	3	15316	0.00245714
0.475457	3	1	3	15316	0.00245714
0.476457	3	1	3	15316	0.00245714
0.477029	1	1	3	15316	0.00802856
0.477457	3	1	3	15316	0.00245714
0.478029	1	1	3	15316	0.00802856
0.478457	3	1	3	15316	0.00245714
0.479029	1	1	3	15316	0.00802856
0.479457	3	1	3	15316	0.00245714
0.480029	1	1	3	15316	0.00802856
0.480457	3	1	3	15316	0.00245714
0.481029	1	1	3	15316	0.00802856
0.481457	3	1	3	15316	0.00245714
0.482029	1	1	3	21022	0.00302856
0.482457	3	1	3	15316	0.00245714
0.483029	1	1	3	48353	0.00302856
0.483457	3	1	3	15316	0.00245714
0.484029	1	1	3	48353	0.00302856
0.484457	3	1	3	15316	0.00245714
0.484529	1	1	3	20115	0.00252857
0.485457	3	1	3	15316	0.00245714
0.486457	3	1	3	15316	0.00245714
0.487457	3	1	3	15316	0.00245714
0.488457	3	1	3	15316	0.00245714
0.489457	3	1	3	15316	0.00245714
0.490457	3	1	3	15316	0.00245714
0.491029	1	1	3	15316	0.00802856
0.491457	3	1	3	15316	0.00245714
0.492029	1	1	3	15316	0.00802856
0.492457	3	1	3	15316	0.00245714
0.493029	1	1	3	15316	0.00802856
0.493457	3	1	3	15316	0.00245714
0.494029	1	1	3	15316	0.00802856
0.494457	3	1	3	15316	0.00245714
0.495029	1	1	3	15316	0.00802856
0.495457	3	1	3	15316	0.00245714
0.496029	1	1	3	21022	0.00302856
0.496457	3	1	3	15316	0.00245714
0.497029	1	1	3	48353	0.00302856
0.497457	3	1	3	15316	0.00245714
0.498029	1	1	3	48353	0.00302856
0.498457	3	1	3	15316	0.00245714
0.498529	1	1	3	20115	0.00252857
0.499457	3	1	3	15316	0.00245714
0.500457	3	1	3	15316	0.00245714
0.501457	3	1	3	15316	0.00245714
0.502457	3	1	3	15316	0.00245714
0.503457	3	1	3	15316	0.00245714
0.504457	3	1	3	15316	0.00245714
0.505029	1	1	3	15316	0.00802856
0.505457	3	1	3	15316	0.00245714
0.506029	1	1	3	15316	0.00802856
0.506457	3	1	3	15316	0.00245714
0.507029	1	1	3	15316	0.00802856
0.507457	3	1	3	15316	0.00245714
0.508029	1	1	3	15316	0.00802856
0.508457	3	1	3	15316	0.00245714
0.509029	1	1	3	15316	0.00802856
0.509457	3	1	3	15316	0.00245714
0.510029	1	1	3	21022	0.00302856
0.510457	3	1	3	15316	0.00245714
0.511029	1	1	3	48353	0.00302856
0.511457	3	1	3	15316	0.00245714
0.512029	1	1	3	48353	0.00302856
0.512457	3	1	3	15316	0.00245714
0.512529	1	1	3	20115	0.00252857
0.513457	3	1	3	15316	0.00245714
0.514457	3	1	3	15316	0.00245714
0.515457	3	1	3	15316	0.00245714
0.516457	3	1	3	15316	0.00245714
0.517457	3	1	3	15316	0.00245714
0.518457	3	1	3	15316	0.00245714
0.519029	1	1	3	15316	0.00802856
0.519457	3	1	3	15316	0.00245714
0.520029	1	1	3	15316	0.00802856
0.520457	3	1	3	15316	0.00245714
0.521029	1	1	3	15316	0.00802856
0.521457	3	1	3	15316	0.00245714
0.522029	1	1	3	15316	0.00802856
0.522457	3	1	3	15316	0.00245714
0.523029	1	1	3	15316	0.00802856
0.523457	3	1	3	15316	0.00245714
0.524029	1	1	3	21022	0.00302856
0.524457	3	1	3	15316	0.00245714
0.525029	1	1	3	48353	0.00302856
0.525457	3	1	3	15316	0.00245714
0.526029	1	1	3	48353	0.00302856
0.526457	3	1	3	15316	0.00245714
0.526529	1	1	3	20115	0.00252857
0.527457	3	1	3	15316	0.00245714
0.528457	3	1	3	15316	0.00245714
0.529457	3	1	3	15316	0.00245714
0.530457	3	1	3	15316	0.00245714
0.531457	3	1	3	15316	0.00245714
0.532457	3	1	3	15316	0.00245714
0.533029	1	1	3	15316	0.00802856
0.533457	3	1	3	15316	0.00245714
0.534029	1	1	3	15316	0.00802856
0.534457	3	1	3	15316	0.00245714
0.535029	1	1	3	15316	0.00802856
0.535457	3	1	3	15316	0.00245714
0.536029	1	1	3	15316	0.00802856
0.536457	3	1	3	15316	0.00245714
0.537029	1	1	3	15316	0.00802856
0.537457	3	1	3	15316	0.00245714
0.538029	1	1	3	21022	0.00302856
0.538457	3	1	3	15316	0.00245714
0.538957	1	1	3	44326	0.00295714
0.539457	3	1	3	15316	0.00245714
0.540029	1	1	3	48353	0.00302856
0.540457	3	1	3	15316	0.00245714
0.5406	1	1	3	24142	0.0026
0.541457	3	1	3	15316	0.00245714
0.542457	3	1	3	15316	0.00245714
0.543457	3	1	3	15316	0.00245714
0.544457	3	1	3	15316	0.00245714
0.545457	3	1	3	15316	0.00245714
0.546457	3	1	3	15316	0.00245714
0.547029	1	1	3	15316	0.00802856
0.547457	3	1	3	15316	0.00245714
0.548029	1	1	3	15316	0.00802856
0.548457	3	1	3	15316	0.00245714
0.549029	1	1	3	15316	0.00802856
0.549457	3	1	3	15316	0.00245714
0.550029	1	1	3	15316	0.00802856
0.550457	3	1	3	15316	0.00245714
0.551029	1	1	3	15316	0.00802856
0.551457	3	1	3	15316	0.00245714
0.552029	1	1	3	21022	0.00302856
0.552457	3	1	3	15316	0.00245714
0.553029	1	1	3	48353	0.00302856
0.553457	3	1	3	15316	0.00245714
0.554029	1	1	3	48353	0.00302856
0.554457	3	1	3	15316	0.00245714
0.554529	1	1	3	20115	0.00252857
0.555457	3	1	3	15316	0.00245714
0.556457	3	1	3	15316	0.00245714
0.557457	3	1	3	15316	0.00245714
0.558457	3	1	3	15316	0.00245714
0.559457	3	1	3	15316	0.00245714
0.560457	3	1	3	15316	0.00245714
0.561029	1	1	3	15316	0.00802856
0.561457	3	1	3	15316	0.00245714
0.562029	1	1	3	15316	0.00802856
0.562457	3	1	3	15316	0.00245714
0.563029	1	1	3	15316	0.00802856
0.563457	3	1	3	15316	0.00245714
0.564029	1	1	3	15316	0.00802856
0.564457	3	1	3	15316	0.00245714
0.565029	1	1	3	15316	0.00802856
0.565457	3	1	3	15316	0.00245714
0.566029	1	1	3	21022	0.00302856
0.566457	3	1	3	15316	0.00245714
0.567029	1	1	3	48353	0.00302856
0.567457	3	1	3	15316	0.00245714
0.568029	1	1	3	48353	0.00302856
0.568457	3	1	3	15316	0.00245714
0.568529	1	1	3	20115	0.00252857
0.569457	3	1	3	15316	0.00245714
0.570457	3	1	3	15316	0.00245714
0.571457	3	1	3	15316	0.00245714
0.572457	3	1	3	15316	0.00245714
0.573457	3	1	3	15316	0.00245714
0.574457	3	1	3	15316	0.00245714
0.575029	1	1	3	15316	0.00802856
0.575457	3	1	3	15316	0.00245714
0.576029	1	1	3	15316	0.00802856
0.576457	3	1	3	15316	0.00245714
0.577029	1	1	3	15316	0.00802856
0.577457	3	1	3	15316	0.00245714
0.578029	1	1	3	15316	0.00802856
0.578457	3	1	3	15316	0.00245714
0.579029	1	1	3	15316	0.00802856
0.579457	3	1	3	15316	0.00245714
0.580029	1	1	3	21022	0.00302856
0.580457	3	1	3	15316	0.00245714
0.581029	1	1	3	48353	0.00302856
0.581457	3	1	3	15316	0.00245714
0.582029	1	1	3	48353	0.00302856
0.582457	3	1	3	15316	0.00245714
0.582529	1	1	3	20115	0.00252857
0.583457	3	1	3	15316	0.00245714
0.584457	3	1	3	15316	0.00245714
0.585457	3	1	3	15316	0.00245714
0.586457	3	1	3	15316	0.00245714
0.587457	3	1	3	15316	0.00245714
0.588457	3	1	3	15316	0.00245714
0.589029	1	1	3	15316	0.00802856
0.589457	3	1	3	15316	0.00245714
0.590029	1	1	3	15316	0.00802856
0.590457	3	1	3	15316	0.00245714
0.591029	1	1	3	15316	0.00802856
0.591457	3	1	3	15316	0.00245714
0.592029	1	1	3	15316	0.00802856
0.592457	3	1	3	15316	0.00245714
0.593029	1	1	3	15316	0.00802856
0.593457	3	1	3	15316	0.00245714
0.594029	1	1	3	21022	0.00302856
0.594457	3	1	3	15316	0.00245714
0.595029	1	1	3	48353	0.00302856
0.595457	3	1	3	15316	0.00245714
0.596029	1	1	3	48353	0.00302856
0.596457	3	1	3	15316	0.00245714
0.596529	1	1	3	20115	0.00252857
0.597457	3	1	3	15316	0.00245714
0.598457	3	1	3	15316	0.00245714
0.599457	3	1	3	15316	0.00245714
0.600457	3	1	3	15316	0.00245714
0.601457	3	1	3	15316	0.00245714
0.602457	3	1	3	15316	0.00245714
0.603029	1	1	3	15316	0.00802856
0.603457	3	1	3	15316	0.00245714
0.604029	1	1	3	15316	0.00802856
