Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.413929	DL	41	3	0	1	12	1	0	1	1404	0	1	0	10.3975	9	0	0
0.413929	DL	41	3	0	1	12	3	0	1	1404	0	1	0	36.5145	15	0	0
0.414929	DL	41	4	0	1	12	1	0	1	1404	0	1	0	10.3975	9	0	0
0.414929	DL	41	4	0	1	12	3	0	1	1404	0	1	0	36.5145	15	0	0
0.415929	DL	41	5	0	1	12	1	0	1	1404	0	1	0	10.3975	9	0	0
0.415929	DL	41	5	0	1	12	3	0	1	1404	0	1	0	36.5145	15	0	0
0.416929	DL	41	6	0	1	12	1	0	1	1404	0	1	0	10.3975	9	0	0
0.416929	DL	41	6	0	1	12	3	0	1	1404	0	1	0	36.5145	15	0	0
0.417929	DL	41	7	0	1	12	1	0	1	1404	0	1	0	10.3975	9	0	0
0.417929	DL	41	7	0	1	12	3	0	1	1404	0	1	0	36.5145	15	0	0
0.418929	DL	41	8	0	1	12	1	0	1	1404	0	1	0	10.3975	9	0	0
0.418929	DL	41	8	0	1	12	3	0	1	1404	0	1	0	36.5145	15	0	0
0.419929	DL	41	9	0	1	12	1	0	1	21025	16	1	0	10.3975	9	0	0
0.419929	DL	41	9	0	1	12	3	0	1	48356	28	1	0	36.5145	15	0	0
0.420929	DL	42	0	0	1	12	1	0	1	21025	16	1	0	10.3975	9	0	0
0.420929	DL	42	0	0	1	12	3	0	1	48356	28	1	0	36.5145	15	0	0
0.421714	DL	42	1	0	1	9	3	0	1	36268	28	1	0	36.5145	15	0	0
0.421929	DL	42	1	0	1	12	1	0	1	21025	16	1	0	24.2216	15	0	0
0.422357	DL	42	2	0	1	4	3	0	1	16118	28	1	0	36.5145	15	0	0
0.422929	DL	42	2	0	1	12	1	0	1	21025	16	1	0	28.3673	15	0	0
0.423357	DL	42	3	0	1	4	3	0	1	16118	28	1	0	36.5145	15	0	0
0.423929	DL	42	3	0	1	12	1	0	1	21025	16	1	0	28.3673	15	0	0
0.424357	DL	42	4	0	1	4	3	0	1	16118	28	1	0	36.5145	15	0	0
0.424929	DL	42	4	0	1	12	1	0	1	21025	16	1	0	28.3673	15	0	0
0.425357	DL	42	5	0	1	4	3	0	1	16118	28	1	0	36.5145	15	0	0
0.425929	DL	42	5	0	1	12	1	0	1	21025	16	1	0	28.3673	15	0	0
0.426357	DL	42	6	0	1	4	3	0	1	16118	28	1	0	36.5145	15	0	0
