Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.0589286	gNB PHY Rxed	5	8	0	1	0	0	SRS
0.0819286	gNB PHY Rxed	8	1	0	3	0	0	SRS
0.138929	gNB PHY Rxed	13	8	0	1	0	0	SRS
0.161929	gNB PHY Rxed	16	1	0	3	0	0	SRS
0.218929	gNB PHY Rxed	21	8	0	1	0	0	SRS
0.241929	gNB PHY Rxed	24	1	0	3	0	0	SRS
0.298929	gNB PHY Rxed	29	8	0	1	0	0	SRS
0.321929	gNB PHY Rxed	32	1	0	3	0	0	SRS
0.378929	gNB PHY Rxed	37	8	0	1	0	0	SRS
0.401929	gNB PHY Rxed	40	1	0	3	0	0	SRS
0.416	gNB PHY Rxed	41	5	0	1	1	0	DL_HARQ
0.416	gNB PHY Rxed	41	5	0	3	1	0	DL_HARQ
0.417	gNB PHY Rxed	41	6	0	1	1	0	DL_CQI
0.417	gNB PHY Rxed	41	6	0	1	1	0	DL_HARQ
0.417	gNB PHY Rxed	41	6	0	3	1	0	DL_CQI
0.417	gNB PHY Rxed	41	6	0	3	1	0	DL_HARQ
0.418	gNB PHY Rxed	41	7	0	1	1	0	DL_CQI
0.418	gNB PHY Rxed	41	7	0	1	1	0	DL_HARQ
0.418	gNB PHY Rxed	41	7	0	3	1	0	DL_CQI
0.418	gNB PHY Rxed	41	7	0	3	1	0	DL_HARQ
0.419	gNB PHY Rxed	41	8	0	1	1	0	DL_CQI
0.419	gNB PHY Rxed	41	8	0	1	1	0	DL_HARQ
0.419	gNB PHY Rxed	41	8	0	3	1	0	DL_CQI
0.419	gNB PHY Rxed	41	8	0	3	1	0	DL_HARQ
0.42	gNB PHY Rxed	41	9	0	1	1	0	DL_CQI
0.42	gNB PHY Rxed	41	9	0	1	1	0	DL_HARQ
0.42	gNB PHY Rxed	41	9	0	3	1	0	DL_CQI
0.42	gNB PHY Rxed	41	9	0	3	1	0	DL_HARQ
0.421	gNB PHY Rxed	42	0	0	1	1	0	DL_CQI
0.421	gNB PHY Rxed	42	0	0	1	1	0	DL_HARQ
0.421	gNB PHY Rxed	42	0	0	3	1	0	DL_CQI
0.421	gNB PHY Rxed	42	0	0	3	1	0	DL_HARQ
0.422	gNB PHY Rxed	42	1	0	3	1	0	DL_CQI
0.422	gNB PHY Rxed	42	1	0	3	1	0	DL_HARQ
0.422	gNB PHY Rxed	42	1	0	1	1	0	DL_CQI
0.422	gNB PHY Rxed	42	1	0	1	1	0	DL_HARQ
0.423	gNB PHY Rxed	42	2	0	3	1	0	DL_CQI
0.423	gNB PHY Rxed	42	2	0	3	1	0	DL_HARQ
0.423	gNB PHY Rxed	42	2	0	1	1	0	DL_CQI
0.423	gNB PHY Rxed	42	2	0	1	1	0	DL_HARQ
0.424	gNB PHY Rxed	42	3	0	3	1	0	DL_CQI
0.424	gNB PHY Rxed	42	3	0	3	1	0	DL_HARQ
0.424	gNB PHY Rxed	42	3	0	1	1	0	DL_CQI
0.424	gNB PHY Rxed	42	3	0	1	1	0	DL_HARQ
0.425	gNB PHY Rxed	42	4	0	3	1	0	DL_CQI
0.425	gNB PHY Rxed	42	4	0	3	1	0	DL_HARQ
0.425	gNB PHY Rxed	42	4	0	1	1	0	DL_CQI
0.425	gNB PHY Rxed	42	4	0	1	1	0	DL_HARQ
0.426	gNB PHY Rxed	42	5	0	3	1	0	DL_CQI
0.426	gNB PHY Rxed	42	5	0	3	1	0	DL_HARQ
0.426	gNB PHY Rxed	42	5	0	1	1	0	DL_CQI
0.426	gNB PHY Rxed	42	5	0	1	1	0	DL_HARQ
0.427	gNB PHY Rxed	42	6	0	3	1	0	DL_CQI
0.427	gNB PHY Rxed	42	6	0	3	1	0	DL_HARQ
0.427	gNB PHY Rxed	42	6	0	1	1	0	DL_CQI
0.427	gNB PHY Rxed	42	6	0	1	1	0	DL_HARQ
0.428	gNB PHY Rxed	42	7	0	3	1	0	DL_CQI
0.428	gNB PHY Rxed	42	7	0	3	1	0	DL_HARQ
0.428	gNB PHY Rxed	42	7	0	1	1	0	DL_CQI
0.428	gNB PHY Rxed	42	7	0	1	1	0	DL_HARQ
0.429	gNB PHY Rxed	42	8	0	3	1	0	DL_CQI
0.429	gNB PHY Rxed	42	8	0	3	1	0	DL_HARQ
0.429	gNB PHY Rxed	42	8	0	1	1	0	DL_CQI
0.429	gNB PHY Rxed	42	8	0	1	1	0	DL_HARQ
0.43	gNB PHY Rxed	42	9	0	3	1	0	DL_CQI
0.43	gNB PHY Rxed	42	9	0	3	1	0	DL_HARQ
0.43	gNB PHY Rxed	42	9	0	1	1	0	DL_CQI
0.43	gNB PHY Rxed	42	9	0	1	1	0	DL_HARQ
0.431	gNB PHY Rxed	43	0	0	3	1	0	DL_CQI
0.431	gNB PHY Rxed	43	0	0	3	1	0	DL_HARQ
0.431	gNB PHY Rxed	43	0	0	1	1	0	DL_CQI
0.431	gNB PHY Rxed	43	0	0	1	1	0	DL_HARQ
0.432	gNB PHY Rxed	43	1	0	3	1	0	DL_CQI
0.432	gNB PHY Rxed	43	1	0	3	1	0	DL_HARQ
0.432	gNB PHY Rxed	43	1	0	1	1	0	DL_CQI
0.432	gNB PHY Rxed	43	1	0	1	1	0	DL_HARQ
0.433	gNB PHY Rxed	43	2	0	3	1	0	DL_CQI
0.433	gNB PHY Rxed	43	2	0	3	1	0	DL_HARQ
0.433	gNB PHY Rxed	43	2	0	1	1	0	DL_CQI
0.433	gNB PHY Rxed	43	2	0	1	1	0	DL_HARQ
0.434	gNB PHY Rxed	43	3	0	3	1	0	DL_CQI
0.434	gNB PHY Rxed	43	3	0	3	1	0	DL_HARQ
0.434	gNB PHY Rxed	43	3	0	1	1	0	DL_CQI
0.434	gNB PHY Rxed	43	3	0	1	1	0	DL_HARQ
0.435	gNB PHY Rxed	43	4	0	3	1	0	DL_CQI
0.435	gNB PHY Rxed	43	4	0	3	1	0	DL_HARQ
0.435	gNB PHY Rxed	43	4	0	1	1	0	DL_CQI
0.435	gNB PHY Rxed	43	4	0	1	1	0	DL_HARQ
0.436	gNB PHY Rxed	43	5	0	3	1	0	DL_CQI
0.436	gNB PHY Rxed	43	5	0	3	1	0	DL_HARQ
0.436	gNB PHY Rxed	43	5	0	1	1	0	DL_CQI
0.436	gNB PHY Rxed	43	5	0	1	1	0	DL_HARQ
0.437	gNB PHY Rxed	43	6	0	3	1	0	DL_CQI
0.437	gNB PHY Rxed	43	6	0	3	1	0	DL_HARQ
0.437	gNB PHY Rxed	43	6	0	1	1	0	DL_CQI
