Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	2	-116.824
0.0179286	3	0	3	-88.2555
0.0588571	1	0	2	-116.824
0.0818571	3	0	3	-88.2555
0.138857	1	0	2	-116.824
0.161857	3	0	3	-88.2555
0.218857	1	0	2	-116.824
0.241857	3	0	3	-88.2555
0.298857	1	0	2	-116.824
0.321857	3	0	3	-88.2555
0.378857	1	0	2	-116.824
0.401857	3	0	3	-88.2555
0.415929	1	0	2	-116.824
0.415929	3	0	3	-88.2555
0.416929	1	0	2	-116.824
0.416929	3	0	3	-88.2555
0.417929	1	0	2	-116.824
0.417929	3	0	3	-88.2555
0.418929	1	0	2	-116.824
0.418929	3	0	3	-88.2555
0.419929	1	0	2	-116.824
0.419929	3	0	3	-88.2555
0.420929	1	0	2	-116.824
0.420929	3	0	3	-88.2555
0.421929	3	0	3	-88.2555
0.421929	1	0	2	-116.824
0.422929	3	0	3	-88.2555
0.422929	1	0	2	-116.824
0.423929	3	0	3	-88.2555
0.423929	1	0	2	-116.824
0.424929	3	0	3	-88.2555
0.424929	1	0	2	-116.824
0.425929	3	0	3	-88.2555
0.425929	1	0	2	-116.824
0.426929	3	0	3	-88.2555
0.426929	1	0	2	-116.824
0.427929	3	0	3	-88.2555
0.427929	1	0	2	-116.824
0.428929	3	0	3	-88.2555
0.428929	1	0	2	-116.824
0.429929	3	0	3	-88.2555
0.429929	1	0	2	-116.824
0.430929	3	0	3	-88.2555
0.430929	1	0	2	-116.824
0.431929	3	0	3	-88.2555
0.431929	1	0	2	-116.824
0.432929	3	0	3	-88.2555
0.432929	1	0	2	-116.824
0.433929	3	0	3	-88.2555
0.433929	1	0	2	-116.824
0.434929	3	0	3	-88.2555
0.434929	1	0	2	-116.824
0.435929	3	0	3	-88.2555
0.435929	1	0	2	-116.824
0.436929	3	0	3	-88.2555
0.436929	1	0	2	-116.824
0.437929	3	0	3	-88.2555
0.437929	1	0	2	-116.824
0.438929	3	0	3	-88.2555
0.438929	1	0	2	-116.824
0.439929	3	0	3	-88.2555
0.439929	1	0	2	-116.824
0.440929	3	0	3	-88.2555
0.440929	1	0	2	-116.824
0.441929	3	0	3	-88.2555
0.441929	1	0	2	-116.824
0.442929	3	0	3	-88.2555
0.442929	1	0	2	-116.824
0.443929	3	0	3	-88.2555
0.443929	1	0	2	-116.824
0.444929	3	0	3	-88.2555
0.444929	1	0	2	-116.824
0.445929	3	0	3	-88.2555
0.445929	1	0	2	-116.824
0.446929	3	0	3	-88.2555
0.446929	1	0	2	-116.824
0.447929	3	0	3	-88.2555
0.447929	1	0	2	-116.824
0.448929	3	0	3	-88.2555
0.448929	1	0	2	-116.824
0.449929	3	0	3	-88.2555
0.449929	1	0	2	-116.824
0.450929	3	0	3	-88.2555
0.450929	1	0	2	-116.824
0.451929	3	0	3	-88.2555
0.451929	1	0	2	-116.824
0.452929	3	0	3	-88.2555
0.452929	1	0	2	-116.824
0.453929	3	0	3	-88.2555
0.453929	1	0	2	-116.824
0.454929	3	0	3	-88.2555
0.454929	1	0	2	-116.824
0.455929	3	0	3	-88.2555
0.455929	1	0	2	-116.824
0.456929	3	0	3	-88.2555
0.456929	1	0	2	-116.824
0.457929	3	0	3	-88.2555
0.457929	1	0	2	-116.824
0.458857	1	0	2	-116.824
0.458929	3	0	3	-88.2555
0.458929	1	0	2	-116.824
0.459929	3	0	3	-88.2555
0.459929	1	0	2	-116.824
0.460929	3	0	3	-88.2555
0.460929	1	0	2	-116.824
0.461929	3	0	3	-88.2555
0.461929	1	0	2	-116.824
0.462929	3	0	3	-88.2555
0.462929	1	0	2	-116.824
0.463929	3	0	3	-88.2555
0.463929	1	0	2	-116.824
0.464929	3	0	3	-88.2555
0.464929	1	0	2	-116.824
0.465929	3	0	3	-88.2555
0.465929	1	0	2	-116.824
0.466929	3	0	3	-88.2555
0.466929	1	0	2	-116.824
0.467929	3	0	3	-88.2555
0.467929	1	0	2	-116.824
0.468929	3	0	3	-88.2555
0.468929	1	0	2	-116.824
0.469929	3	0	3	-88.2555
0.469929	1	0	2	-116.824
0.470929	3	0	3	-88.2555
0.470929	1	0	2	-116.824
0.471929	3	0	3	-88.2555
0.471929	1	0	2	-116.824
0.472929	3	0	3	-88.2555
0.472929	1	0	2	-116.824
0.473929	3	0	3	-88.2555
0.473929	1	0	2	-116.824
0.474929	3	0	3	-88.2555
0.474929	1	0	2	-116.824
0.475929	3	0	3	-88.2555
0.475929	1	0	2	-116.824
0.476929	3	0	3	-88.2555
0.476929	1	0	2	-116.824
0.477929	3	0	3	-88.2555
0.477929	1	0	2	-116.824
0.478929	3	0	3	-88.2555
0.478929	1	0	2	-116.824
0.479929	3	0	3	-88.2555
0.479929	1	0	2	-116.824
0.480929	3	0	3	-88.2555
0.480929	1	0	2	-116.824
0.481857	3	0	3	-88.2555
0.481929	1	0	2	-116.824
0.481929	3	0	3	-88.2555
0.482929	3	0	3	-88.2555
0.482929	1	0	2	-116.824
0.483929	3	0	3	-88.2555
0.483929	1	0	2	-116.824
0.484929	3	0	3	-88.2555
0.484929	1	0	2	-116.824
0.485929	3	0	3	-88.2555
0.485929	1	0	2	-116.824
0.486929	3	0	3	-88.2555
0.486929	1	0	2	-116.824
0.487929	3	0	3	-88.2555
0.487929	1	0	2	-116.824
0.488929	3	0	3	-88.2555
0.488929	1	0	2	-116.824
0.489929	3	0	3	-88.2555
0.489929	1	0	2	-116.824
0.490929	3	0	3	-88.2555
0.490929	1	0	2	-116.824
0.491929	3	0	3	-88.2555
0.491929	1	0	2	-116.824
0.492929	3	0	3	-88.2555
0.492929	1	0	2	-116.824
0.493929	3	0	3	-88.2555
0.493929	1	0	2	-116.824
0.494929	3	0	3	-88.2555
0.494929	1	0	2	-116.824
0.495929	3	0	3	-88.2555
0.495929	1	0	2	-116.824
0.496929	3	0	3	-88.2555
0.496929	1	0	2	-116.824
0.497929	3	0	3	-88.2555
0.497929	1	0	2	-116.824
0.498929	3	0	3	-88.2555
0.498929	1	0	2	-116.824
0.499929	3	0	3	-88.2555
0.499929	1	0	2	-116.824
0.500929	3	0	3	-88.2555
0.500929	1	0	2	-116.824
0.501929	3	0	3	-88.2555
0.501929	1	0	2	-116.824
0.502929	3	0	3	-88.2555
0.502929	1	0	2	-116.824
0.503929	3	0	3	-88.2555
0.503929	1	0	2	-116.824
0.504929	3	0	3	-88.2555
0.504929	1	0	2	-116.824
0.505929	3	0	3	-88.2555
0.505929	1	0	2	-116.824
0.506929	3	0	3	-88.2555
0.506929	1	0	2	-116.824
0.507929	3	0	3	-88.2555
0.507929	1	0	2	-116.824
0.508929	3	0	3	-88.2555
0.508929	1	0	2	-116.824
0.509929	3	0	3	-88.2555
0.509929	1	0	2	-116.824
0.510929	3	0	3	-88.2555
0.510929	1	0	2	-116.824
0.511929	3	0	3	-88.2555
0.511929	1	0	2	-116.824
0.512929	3	0	3	-88.2555
0.512929	1	0	2	-116.824
0.513929	3	0	3	-88.2555
0.513929	1	0	2	-116.824
0.514929	3	0	3	-88.2555
0.514929	1	0	2	-116.824
0.515929	3	0	3	-88.2555
0.515929	1	0	2	-116.824
0.516929	3	0	3	-88.2555
0.516929	1	0	2	-116.824
0.517929	3	0	3	-88.2555
0.517929	1	0	2	-116.824
0.518929	3	0	3	-88.2555
0.518929	1	0	2	-116.824
0.519929	3	0	3	-88.2555
0.519929	1	0	2	-116.824
0.520929	3	0	3	-88.2555
0.520929	1	0	2	-116.824
0.521929	3	0	3	-88.2555
0.521929	1	0	2	-116.824
0.522929	3	0	3	-88.2555
0.522929	1	0	2	-116.824
0.523929	3	0	3	-88.2555
0.523929	1	0	2	-116.824
0.524929	3	0	3	-88.2555
0.524929	1	0	2	-116.824
0.525929	3	0	3	-88.2555
0.525929	1	0	2	-116.824
0.526929	3	0	3	-88.2555
0.526929	1	0	2	-116.824
0.527929	3	0	3	-88.2555
0.527929	1	0	2	-116.824
0.528929	3	0	3	-88.2555
0.528929	1	0	2	-116.824
0.529929	3	0	3	-88.2555
0.529929	1	0	2	-116.824
0.530929	3	0	3	-88.2555
0.530929	1	0	2	-116.824
0.531929	3	0	3	-88.2555
0.531929	1	0	2	-116.824
0.532929	3	0	3	-88.2555
0.532929	1	0	2	-116.824
0.533929	3	0	3	-88.2555
0.533929	1	0	2	-116.824
0.534929	3	0	3	-88.2555
0.534929	1	0	2	-116.824
0.535929	3	0	3	-88.2555
0.535929	1	0	2	-116.824
0.536929	3	0	3	-88.2555
0.536929	1	0	2	-116.824
0.537929	3	0	3	-88.2555
0.537929	1	0	2	-116.824
0.538857	1	0	2	-116.824
0.538929	3	0	3	-88.2555
0.538929	1	0	2	-116.824
0.539929	3	0	3	-88.2555
0.539929	1	0	2	-116.824
0.540929	3	0	3	-88.2555
0.540929	1	0	2	-116.824
0.541929	3	0	3	-88.2555
0.541929	1	0	2	-116.824
0.542929	3	0	3	-88.2555
0.542929	1	0	2	-116.824
0.543929	3	0	3	-88.2555
0.543929	1	0	2	-116.824
0.544929	3	0	3	-88.2555
0.544929	1	0	2	-116.824
0.545929	3	0	3	-88.2555
0.545929	1	0	2	-116.824
0.546929	3	0	3	-88.2555
0.546929	1	0	2	-116.824
0.547929	3	0	3	-88.2555
0.547929	1	0	2	-116.824
0.548929	3	0	3	-88.2555
0.548929	1	0	2	-116.824
0.549929	3	0	3	-88.2555
0.549929	1	0	2	-116.824
0.550929	3	0	3	-88.2555
0.550929	1	0	2	-116.824
0.551929	3	0	3	-88.2555
0.551929	1	0	2	-116.824
0.552929	3	0	3	-88.2555
0.552929	1	0	2	-116.824
0.553929	3	0	3	-88.2555
0.553929	1	0	2	-116.824
0.554929	3	0	3	-88.2555
0.554929	1	0	2	-116.824
0.555929	3	0	3	-88.2555
0.555929	1	0	2	-116.824
0.556929	3	0	3	-88.2555
0.556929	1	0	2	-116.824
0.557929	3	0	3	-88.2555
0.557929	1	0	2	-116.824
0.558929	3	0	3	-88.2555
0.558929	1	0	2	-116.824
0.559929	3	0	3	-88.2555
0.559929	1	0	2	-116.824
0.560929	3	0	3	-88.2555
0.560929	1	0	2	-116.824
0.561857	3	0	3	-88.2555
0.561929	1	0	2	-116.824
0.561929	3	0	3	-88.2555
0.562929	3	0	3	-88.2555
0.562929	1	0	2	-116.824
0.563929	3	0	3	-88.2555
0.563929	1	0	2	-116.824
0.564929	3	0	3	-88.2555
0.564929	1	0	2	-116.824
0.565929	3	0	3	-88.2555
0.565929	1	0	2	-116.824
0.566929	3	0	3	-88.2555
0.566929	1	0	2	-116.824
0.567929	3	0	3	-88.2555
0.567929	1	0	2	-116.824
0.568929	3	0	3	-88.2555
0.568929	1	0	2	-116.824
0.569929	3	0	3	-88.2555
0.569929	1	0	2	-116.824
0.570929	3	0	3	-88.2555
0.570929	1	0	2	-116.824
0.571929	3	0	3	-88.2555
0.571929	1	0	2	-116.824
0.572929	3	0	3	-88.2555
0.572929	1	0	2	-116.824
0.573929	3	0	3	-88.2555
0.573929	1	0	2	-116.824
0.574929	3	0	3	-88.2555
0.574929	1	0	2	-116.824
0.575929	3	0	3	-88.2555
0.575929	1	0	2	-116.824
0.576929	3	0	3	-88.2555
0.576929	1	0	2	-116.824
0.577929	3	0	3	-88.2555
0.577929	1	0	2	-116.824
0.578929	3	0	3	-88.2555
0.578929	1	0	2	-116.824
0.579929	3	0	3	-88.2555
0.579929	1	0	2	-116.824
0.580929	3	0	3	-88.2555
0.580929	1	0	2	-116.824
0.581929	3	0	3	-88.2555
0.581929	1	0	2	-116.824
0.582929	3	0	3	-88.2555
0.582929	1	0	2	-116.824
0.583929	3	0	3	-88.2555
0.583929	1	0	2	-116.824
0.584929	3	0	3	-88.2555
0.584929	1	0	2	-116.824
0.585929	3	0	3	-88.2555
0.585929	1	0	2	-116.824
0.586929	3	0	3	-88.2555
0.586929	1	0	2	-116.824
0.587929	3	0	3	-88.2555
0.587929	1	0	2	-116.824
0.588929	3	0	3	-88.2555
0.588929	1	0	2	-116.824
0.589929	3	0	3	-88.2555
0.589929	1	0	2	-116.824
0.590929	3	0	3	-88.2555
0.590929	1	0	2	-116.824
0.591929	3	0	3	-88.2555
0.591929	1	0	2	-116.824
0.592929	3	0	3	-88.2555
0.592929	1	0	2	-116.824
0.593929	3	0	3	-88.2555
0.593929	1	0	2	-116.824
0.594929	3	0	3	-88.2555
0.594929	1	0	2	-116.824
0.595929	3	0	3	-88.2555
0.595929	1	0	2	-116.824
0.596929	3	0	3	-88.2555
0.596929	1	0	2	-116.824
0.597929	3	0	3	-88.2555
0.597929	1	0	2	-116.824
0.598929	3	0	3	-88.2555
0.598929	1	0	2	-116.824
0.599929	3	0	3	-88.2555
0.599929	1	0	2	-116.824
0.600929	3	0	3	-88.2555
0.600929	1	0	2	-116.824
0.601929	3	0	3	-88.2555
0.601929	1	0	2	-116.824
0.602929	3	0	3	-88.2555
0.602929	1	0	2	-116.824
0.603929	3	0	3	-88.2555
0.603929	1	0	2	-116.824
0.604929	3	0	3	-88.2555
0.604929	1	0	2	-116.824
0.605929	3	0	3	-88.2555
0.605929	1	0	2	-116.824
0.606929	3	0	3	-88.2555
0.606929	1	0	2	-116.824
0.607929	3	0	3	-88.2555
0.607929	1	0	2	-116.824
0.608929	3	0	3	-88.2555
0.608929	1	0	2	-116.824
0.609929	3	0	3	-88.2555
0.609929	1	0	2	-116.824
0.610929	3	0	3	-88.2555
0.610929	1	0	2	-116.824
0.611929	3	0	3	-88.2555
0.611929	1	0	2	-116.824
0.612929	3	0	3	-88.2555
0.612929	1	0	2	-116.824
0.613929	3	0	3	-88.2555
0.613929	1	0	2	-116.824
0.614929	3	0	3	-88.2555
0.614929	1	0	2	-116.824
0.615929	3	0	3	-88.2555
0.615929	1	0	2	-116.824
0.616929	3	0	3	-88.2555
0.616929	1	0	2	-116.824
0.617929	3	0	3	-88.2555
0.617929	1	0	2	-116.824
0.618857	1	0	2	-116.824
0.618929	3	0	3	-88.2555
0.618929	1	0	2	-116.824
0.619929	3	0	3	-88.2555
0.619929	1	0	2	-116.824
0.620929	3	0	3	-88.2555
0.620929	1	0	2	-116.824
0.621929	3	0	3	-88.2555
0.621929	1	0	2	-116.824
0.622929	3	0	3	-88.2555
0.622929	1	0	2	-116.824
0.623929	3	0	3	-88.2555
0.623929	1	0	2	-116.824
0.624929	3	0	3	-88.2555
0.624929	1	0	2	-116.824
0.625929	3	0	3	-88.2555
0.625929	1	0	2	-116.824
0.626929	3	0	3	-88.2555
0.626929	1	0	2	-116.824
0.627929	3	0	3	-88.2555
0.627929	1	0	2	-116.824
0.628929	3	0	3	-88.2555
0.628929	1	0	2	-116.824
0.629929	3	0	3	-88.2555
0.629929	1	0	2	-116.824
0.630929	3	0	3	-88.2555
0.630929	1	0	2	-116.824
0.631929	3	0	3	-88.2555
0.631929	1	0	2	-116.824
0.632929	3	0	3	-88.2555
0.632929	1	0	2	-116.824
0.633929	3	0	3	-88.2555
0.633929	1	0	2	-116.824
0.634929	3	0	3	-88.2555
0.634929	1	0	2	-116.824
0.635929	3	0	3	-88.2555
0.635929	1	0	2	-116.824
0.636929	3	0	3	-88.2555
0.636929	1	0	2	-116.824
0.637929	3	0	3	-88.2555
0.637929	1	0	2	-116.824
0.638929	3	0	3	-88.2555
0.638929	1	0	2	-116.824
0.639929	3	0	3	-88.2555
0.639929	1	0	2	-116.824
0.640929	3	0	3	-88.2555
0.640929	1	0	2	-116.824
0.641857	3	0	3	-88.2555
0.641929	1	0	2	-116.824
0.641929	3	0	3	-88.2555
0.642929	1	0	2	-116.824
0.642929	3	0	3	-88.2555
0.643929	1	0	2	-116.824
0.643929	3	0	3	-88.2555
0.644929	3	0	3	-88.2555
0.644929	1	0	2	-116.824
0.645929	3	0	3	-88.2555
0.645929	1	0	2	-116.824
0.646929	3	0	3	-88.2555
0.646929	1	0	2	-116.824
0.647929	3	0	3	-88.2555
0.647929	1	0	2	-116.824
0.648929	3	0	3	-88.2555
0.648929	1	0	2	-116.824
0.649929	3	0	3	-88.2555
0.649929	1	0	2	-116.824
0.650929	3	0	3	-88.2555
0.650929	1	0	2	-116.824
0.651929	3	0	3	-88.2555
0.651929	1	0	2	-116.824
0.652929	3	0	3	-88.2555
0.652929	1	0	2	-116.824
0.653929	3	0	3	-88.2555
0.653929	1	0	2	-116.824
0.654929	3	0	3	-88.2555
0.654929	1	0	2	-116.824
0.655929	3	0	3	-88.2555
0.655929	1	0	2	-116.824
0.656929	3	0	3	-88.2555
0.656929	1	0	2	-116.824
0.657929	3	0	3	-88.2555
0.657929	1	0	2	-116.824
0.658929	3	0	3	-88.2555
0.658929	1	0	2	-116.824
0.659929	3	0	3	-88.2555
0.659929	1	0	2	-116.824
0.660929	3	0	3	-88.2555
0.660929	1	0	2	-116.824
0.661929	3	0	3	-88.2555
0.661929	1	0	2	-116.824
0.662929	3	0	3	-88.2555
0.662929	1	0	2	-116.824
0.663929	3	0	3	-88.2555
0.663929	1	0	2	-116.824
0.664929	3	0	3	-88.2555
0.664929	1	0	2	-116.824
0.665929	3	0	3	-88.2555
0.665929	1	0	2	-116.824
0.666929	3	0	3	-88.2555
0.666929	1	0	2	-116.824
0.667929	3	0	3	-88.2555
0.667929	1	0	2	-116.824
0.668929	3	0	3	-88.2555
0.668929	1	0	2	-116.824
0.669929	3	0	3	-88.2555
0.669929	1	0	2	-116.824
0.670929	3	0	3	-88.2555
0.670929	1	0	2	-116.824
0.671929	3	0	3	-88.2555
0.671929	1	0	2	-116.824
0.672929	3	0	3	-88.2555
0.672929	1	0	2	-116.824
0.673929	3	0	3	-88.2555
0.673929	1	0	2	-116.824
0.674929	3	0	3	-88.2555
0.674929	1	0	2	-116.824
0.675929	3	0	3	-88.2555
0.675929	1	0	2	-116.824
0.676929	3	0	3	-88.2555
0.676929	1	0	2	-116.824
0.677929	3	0	3	-88.2555
0.677929	1	0	2	-116.824
0.678929	3	0	3	-88.2555
0.678929	1	0	2	-116.824
0.679929	3	0	3	-88.2555
0.679929	1	0	2	-116.824
0.680929	3	0	3	-88.2555
0.680929	1	0	2	-116.824
0.681929	3	0	3	-88.2555
0.681929	1	0	2	-116.824
0.682929	3	0	3	-88.2555
0.682929	1	0	2	-116.824
0.683929	3	0	3	-88.2555
0.683929	1	0	2	-116.824
0.684929	3	0	3	-88.2555
0.684929	1	0	2	-116.824
0.685929	3	0	3	-88.2555
0.685929	1	0	2	-116.824
0.686929	3	0	3	-88.2555
0.686929	1	0	2	-116.824
0.687929	3	0	3	-88.2555
0.687929	1	0	2	-116.824
0.688929	3	0	3	-88.2555
0.688929	1	0	2	-116.824
0.689929	3	0	3	-88.2555
0.689929	1	0	2	-116.824
0.690929	3	0	3	-88.2555
0.690929	1	0	2	-116.824
0.691929	3	0	3	-88.2555
0.691929	1	0	2	-116.824
0.692929	3	0	3	-88.2555
0.692929	1	0	2	-116.824
0.693929	3	0	3	-88.2555
0.693929	1	0	2	-116.824
0.694929	3	0	3	-88.2555
0.694929	1	0	2	-116.824
0.695929	3	0	3	-88.2555
0.695929	1	0	2	-116.824
0.696929	3	0	3	-88.2555
0.696929	1	0	2	-116.824
0.697929	3	0	3	-88.2555
0.697929	1	0	2	-116.824
0.698857	1	0	2	-116.824
0.698929	3	0	3	-88.2555
0.698929	1	0	2	-116.824
0.699929	3	0	3	-88.2555
0.699929	1	0	2	-116.824
0.700929	3	0	3	-88.2555
0.700929	1	0	2	-116.824
0.701929	3	0	3	-88.2555
0.701929	1	0	2	-116.824
0.702929	3	0	3	-88.2555
0.702929	1	0	2	-116.824
0.703929	3	0	3	-88.2555
0.703929	1	0	2	-116.824
0.704929	3	0	3	-88.2555
0.704929	1	0	2	-116.824
0.705929	3	0	3	-88.2555
0.705929	1	0	2	-116.824
0.706929	3	0	3	-88.2555
0.706929	1	0	2	-116.824
0.707929	3	0	3	-88.2555
0.707929	1	0	2	-116.824
0.708929	3	0	3	-88.2555
0.708929	1	0	2	-116.824
0.709929	3	0	3	-88.2555
0.709929	1	0	2	-116.824
0.710929	3	0	3	-88.2555
0.710929	1	0	2	-116.824
0.711929	3	0	3	-88.2555
0.711929	1	0	2	-116.824
0.712929	3	0	3	-88.2555
0.712929	1	0	2	-116.824
0.713929	3	0	3	-88.2555
0.713929	1	0	2	-116.824
0.714929	3	0	3	-88.2555
0.714929	1	0	2	-116.824
0.715929	3	0	3	-88.2555
0.715929	1	0	2	-116.824
0.716929	3	0	3	-88.2555
0.716929	1	0	2	-116.824
0.717929	3	0	3	-88.2555
0.717929	1	0	2	-116.824
0.718929	3	0	3	-88.2555
0.718929	1	0	2	-116.824
0.719929	3	0	3	-88.2555
0.719929	1	0	2	-116.824
0.720929	3	0	3	-88.2555
0.720929	1	0	2	-116.824
0.721857	3	0	3	-88.2555
0.721929	1	0	2	-116.824
0.721929	3	0	3	-88.2555
0.722929	3	0	3	-88.2555
0.722929	1	0	2	-116.824
0.723929	3	0	3	-88.2555
0.723929	1	0	2	-116.824
0.724929	3	0	3	-88.2555
0.724929	1	0	2	-116.824
0.725929	3	0	3	-88.2555
0.725929	1	0	2	-116.824
0.726929	3	0	3	-88.2555
0.726929	1	0	2	-116.824
0.727929	3	0	3	-88.2555
0.727929	1	0	2	-116.824
0.728929	3	0	3	-88.2555
0.728929	1	0	2	-116.824
0.729929	3	0	3	-88.2555
0.729929	1	0	2	-116.824
0.730929	3	0	3	-88.2555
0.730929	1	0	2	-116.824
0.731929	3	0	3	-88.2555
0.731929	1	0	2	-116.824
0.732929	3	0	3	-88.2555
0.732929	1	0	2	-116.824
0.733929	3	0	3	-88.2555
0.733929	1	0	2	-116.824
0.734929	3	0	3	-88.2555
0.734929	1	0	2	-116.824
0.735929	3	0	3	-88.2555
0.735929	1	0	2	-116.824
0.736929	3	0	3	-88.2555
0.736929	1	0	2	-116.824
0.737929	3	0	3	-88.2555
0.737929	1	0	2	-116.824
0.738929	3	0	3	-88.2555
0.738929	1	0	2	-116.824
0.739929	3	0	3	-88.2555
0.739929	1	0	2	-116.824
0.740929	3	0	3	-88.2555
0.740929	1	0	2	-116.824
0.741929	3	0	3	-88.2555
0.741929	1	0	2	-116.824
0.742929	3	0	3	-88.2555
0.742929	1	0	2	-116.824
0.743929	3	0	3	-88.2555
0.743929	1	0	2	-116.824
0.744929	3	0	3	-88.2555
0.744929	1	0	2	-116.824
0.745929	3	0	3	-88.2555
0.745929	1	0	2	-116.824
0.746929	3	0	3	-88.2555
0.746929	1	0	2	-116.824
0.747929	3	0	3	-88.2555
0.747929	1	0	2	-116.824
0.748929	3	0	3	-88.2555
0.748929	1	0	2	-116.824
0.749929	3	0	3	-88.2555
0.749929	1	0	2	-116.824
0.750929	3	0	3	-88.2555
0.750929	1	0	2	-116.824
0.751929	3	0	3	-88.2555
0.751929	1	0	2	-116.824
0.752929	3	0	3	-88.2555
0.752929	1	0	2	-116.824
0.753929	3	0	3	-88.2555
0.753929	1	0	2	-116.824
0.754929	3	0	3	-88.2555
0.754929	1	0	2	-116.824
0.755929	3	0	3	-88.2555
0.755929	1	0	2	-116.824
0.756929	3	0	3	-88.2555
0.756929	1	0	2	-116.824
0.757929	3	0	3	-88.2555
0.757929	1	0	2	-116.824
0.758929	3	0	3	-88.2555
0.758929	1	0	2	-116.824
0.759929	3	0	3	-88.2555
0.759929	1	0	2	-116.824
0.760929	3	0	3	-88.2555
0.760929	1	0	2	-116.824
0.761929	3	0	3	-88.2555
0.761929	1	0	2	-116.824
0.762929	3	0	3	-88.2555
0.762929	1	0	2	-116.824
0.763929	3	0	3	-88.2555
0.763929	1	0	2	-116.824
0.764929	3	0	3	-88.2555
0.764929	1	0	2	-116.824
0.765929	3	0	3	-88.2555
0.765929	1	0	2	-116.824
0.766929	3	0	3	-88.2555
0.766929	1	0	2	-116.824
0.767929	3	0	3	-88.2555
0.767929	1	0	2	-116.824
0.768929	3	0	3	-88.2555
0.768929	1	0	2	-116.824
0.769929	3	0	3	-88.2555
0.769929	1	0	2	-116.824
0.770929	3	0	3	-88.2555
0.770929	1	0	2	-116.824
0.771929	3	0	3	-88.2555
0.771929	1	0	2	-116.824
0.772929	3	0	3	-88.2555
0.772929	1	0	2	-116.824
0.773929	3	0	3	-88.2555
0.773929	1	0	2	-116.824
0.774929	3	0	3	-88.2555
0.774929	1	0	2	-116.824
0.775929	3	0	3	-88.2555
0.775929	1	0	2	-116.824
0.776929	3	0	3	-88.2555
0.776929	1	0	2	-116.824
0.777929	3	0	3	-88.2555
0.777929	1	0	2	-116.824
0.778857	1	0	2	-116.824
0.778929	3	0	3	-88.2555
0.778929	1	0	2	-116.824
0.779929	3	0	3	-88.2555
0.779929	1	0	2	-116.824
0.780929	3	0	3	-88.2555
0.780929	1	0	2	-116.824
0.781929	3	0	3	-88.2555
0.781929	1	0	2	-116.824
0.782929	3	0	3	-88.2555
0.782929	1	0	2	-116.824
0.783929	3	0	3	-88.2555
0.783929	1	0	2	-116.824
0.784929	3	0	3	-88.2555
0.784929	1	0	2	-116.824
0.785929	3	0	3	-88.2555
0.785929	1	0	2	-116.824
0.786929	3	0	3	-88.2555
0.786929	1	0	2	-116.824
0.787929	3	0	3	-88.2555
0.787929	1	0	2	-116.824
0.788929	3	0	3	-88.2555
0.788929	1	0	2	-116.824
0.789929	3	0	3	-88.2555
0.789929	1	0	2	-116.824
0.790929	3	0	3	-88.2555
0.790929	1	0	2	-116.824
0.791929	3	0	3	-88.2555
0.791929	1	0	2	-116.824
0.792929	3	0	3	-88.2555
0.792929	1	0	2	-116.824
0.793929	3	0	3	-88.2555
0.793929	1	0	2	-116.824
0.794929	3	0	3	-88.2555
0.794929	1	0	2	-116.824
0.795929	3	0	3	-88.2555
0.795929	1	0	2	-116.824
0.796929	3	0	3	-88.2555
0.796929	1	0	2	-116.824
0.797929	3	0	3	-88.2555
0.797929	1	0	2	-116.824
0.798929	3	0	3	-88.2555
0.798929	1	0	2	-116.824
0.799929	3	0	3	-88.2555
0.799929	1	0	2	-116.824
0.800929	3	0	3	-88.2555
0.800929	1	0	2	-116.824
0.801857	3	0	3	-88.2555
0.801929	1	0	2	-116.824
0.801929	3	0	3	-88.2555
0.802929	3	0	3	-88.2555
0.802929	1	0	2	-116.824
0.803929	3	0	3	-88.2555
0.803929	1	0	2	-116.824
0.804929	3	0	3	-88.2555
0.804929	1	0	2	-116.824
0.805929	3	0	3	-88.2555
0.805929	1	0	2	-116.824
0.806929	3	0	3	-88.2555
0.806929	1	0	2	-116.824
0.807929	3	0	3	-88.2555
0.807929	1	0	2	-116.824
0.808929	3	0	3	-88.2555
0.808929	1	0	2	-116.824
0.809929	3	0	3	-88.2555
0.809929	1	0	2	-116.824
0.810929	3	0	3	-88.2555
0.810929	1	0	2	-116.824
0.811929	3	0	3	-88.2555
0.811929	1	0	2	-116.824
0.812929	3	0	3	-88.2555
0.812929	1	0	2	-116.824
0.813929	3	0	3	-88.2555
0.813929	1	0	2	-116.824
0.814929	3	0	3	-88.2555
0.814929	1	0	2	-116.824
0.815929	3	0	3	-88.2555
0.815929	1	0	2	-116.824
