Time	CellId	RNTI	BWPId	SINR(dB)
0.113143	1	21	0	20.4355
0.113214	1	26	0	31.2555
0.113286	1	27	0	44.2835
0.113357	1	10	0	27.9363
0.114143	1	5	0	-26.8362
0.115143	1	3	0	0.575117
0.115214	1	12	0	-7.44897
0.115286	1	23	0	-41.7781
0.116143	1	8	0	18.6175
0.116214	1	7	0	47.7917
0.116286	1	24	0	-25.8119
0.117143	1	9	0	-13.5206
0.117214	1	1	0	5.24503
0.117286	1	11	0	12.1698
0.118143	1	22	0	-18.8268
0.119929	1	5	0	-28.2829
0.1205	1	23	0	-42.0619
0.120929	1	12	0	-6.98433
0.121643	1	24	0	-27.6677
0.122929	1	9	0	-13.7308
0.123786	1	22	0	-20.5763
0.124714	1	5	0	-29.338
0.125714	1	23	0	-42.4664
0.126714	1	24	0	-27.0377
0.127143	1	4	0	12.0724
0.127214	1	6	0	-6.53056
0.127286	1	28	0	-25.887
0.127357	1	25	0	19.9913
0.127429	1	2	0	4.59076
0.128857	1	22	0	-23.7111
0.129786	1	5	0	-27.8199
0.130714	1	23	0	-43.0565
0.131643	1	24	0	-26.5624
0.132857	1	28	0	-22.9191
0.133857	1	22	0	-20.0793
0.137929	1	28	0	-23.5674
0.142929	1	28	0	-23.6962
0.144143	1	27	0	44.1137
0.147143	1	7	0	49.6423
0.159143	1	10	0	28.9167
0.159214	1	26	0	31.2832
3.11314	1	21	0	40.8978
3.11414	1	5	0	-5.62661
3.11514	1	12	0	-38.1419
3.11521	1	3	0	36.0108
3.11529	1	23	0	-12.8765
3.11614	1	8	0	34.7153
3.11621	1	24	0	22.0051
3.11714	1	9	0	47.91
3.11721	1	1	0	13.9305
3.11729	1	11	0	-21.5919
3.11814	1	22	0	-2.4309
3.11914	1	6	0	27.6668
3.1205	1	23	0	-14.3875
3.12093	1	12	0	-39.3476
3.12114	1	2	0	27.7882
3.12121	1	25	0	-12.6025
3.12293	1	11	0	-20.0772
3.12314	1	28	0	14.0098
3.12321	1	4	0	46.4632
3.12571	1	12	0	-36.454
3.12686	1	25	0	-13.632
3.12779	1	11	0	-20.1446
3.13079	1	12	0	-39.3677
3.24514	1	21	0	42.5577
3.24814	1	24	0	44.0902
3.24914	1	9	0	10.1622
3.25114	1	5	0	37.1115
3.25214	1	3	0	37.372
3.25221	1	8	0	36.5598
3.25493	1	9	0	10.2986
3.25514	1	4	0	1.34767
3.26093	1	4	0	0.521823
3.26593	1	4	0	0.242955
3.26614	1	6	0	27.0109
3.26714	1	2	0	6.24223
3.27293	1	2	0	5.89263
3.27793	1	2	0	6.70323
