% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.111	1	0	0	21	11	3	0	1	1	15	1	0	0	114
0.111	1	0	0	26	11	3	0	2	1	15	1	0	0	114
0.111	1	0	0	27	11	3	0	3	1	15	1	0	0	114
0.111	1	0	0	10	11	3	0	4	1	15	1	0	0	114
0.112	1	0	0	5	11	4	0	1	1	15	1	0	0	114
0.113	1	0	0	3	11	5	0	1	1	15	1	0	0	114
0.113	1	0	0	12	11	5	0	2	1	15	1	0	0	114
0.113	1	0	0	23	11	5	0	3	1	15	1	0	0	114
0.114	1	0	0	8	11	6	0	1	1	15	1	0	0	114
0.114	1	0	0	7	11	6	0	2	1	15	1	0	0	114
0.114	1	0	0	24	11	6	0	3	1	15	1	0	0	114
0.115	1	0	0	9	11	7	0	1	1	15	1	0	0	114
0.115	1	0	0	1	11	7	0	2	1	15	1	0	0	114
0.115	1	0	0	11	11	7	0	3	1	15	1	0	0	114
0.116	1	0	0	22	11	8	0	1	1	15	1	0	0	114
0.125	1	0	0	4	12	7	0	1	1	15	1	0	0	114
0.125	1	0	0	6	12	7	0	2	1	15	1	0	0	114
0.125	1	0	0	28	12	7	0	3	1	15	1	0	0	114
0.125	1	0	0	25	12	7	0	4	1	15	1	0	0	114
0.125	1	0	0	2	12	7	0	5	1	15	1	0	0	114
0.142	1	0	0	27	14	4	0	1	1	15	1	0	28	4030
0.145	1	0	0	7	14	7	0	1	1	15	1	0	28	4030
0.157	1	0	0	10	15	9	0	1	1	15	1	0	28	4030
0.157	1	0	0	26	15	9	0	2	1	15	1	0	28	4030
3.111	1	0	0	21	311	3	0	1	1	15	1	0	0	114
3.112	1	0	0	5	311	4	0	1	1	15	1	0	0	114
3.113	1	0	0	12	311	5	0	1	1	15	1	0	0	114
3.113	1	0	0	3	311	5	0	2	1	15	1	0	0	114
3.113	1	0	0	23	311	5	0	3	1	15	1	0	0	114
3.114	1	0	0	8	311	6	0	1	1	15	1	0	0	114
3.114	1	0	0	24	311	6	0	2	1	15	1	0	0	114
3.115	1	0	0	9	311	7	0	1	1	15	1	0	0	114
3.115	1	0	0	1	311	7	0	2	1	15	1	0	0	114
3.115	1	0	0	11	311	7	0	3	1	15	1	0	0	114
3.116	1	0	0	22	311	8	0	1	1	15	1	0	0	114
3.117	1	0	0	6	311	9	0	1	1	15	1	0	0	114
3.119	1	0	0	2	312	1	0	1	1	15	1	0	0	114
3.119	1	0	0	25	312	1	0	2	1	15	1	0	0	114
3.121	1	0	0	28	312	3	0	1	1	15	1	0	0	114
3.121	1	0	0	4	312	3	0	2	1	15	1	0	0	114
3.243	1	0	0	21	324	5	0	1	1	15	1	0	28	4030
3.246	1	0	0	24	324	8	0	1	1	15	1	0	26	3725
3.247	1	0	0	9	324	9	0	1	1	15	1	0	28	4030
3.249	1	0	0	5	325	1	0	1	1	15	1	0	0	114
3.25	1	0	0	3	325	2	0	1	1	15	1	0	28	4030
3.25	1	0	0	8	325	2	0	2	1	15	1	0	28	4030
3.253	1	0	0	4	325	5	0	1	1	15	1	0	28	4030
3.264	1	0	0	6	326	6	0	1	1	15	1	0	28	4030
3.265	1	0	0	2	326	7	0	1	1	15	1	0	28	4030
