time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.113243	1	21	4	58	0.00285291
0.113314	1	26	4	58	0.00280521
0.113386	1	27	4	58	0.00275234
0.113457	1	10	4	58	0.00271227
0.115243	1	3	4	58	0.00313951
0.116243	1	8	4	58	0.00275621
0.116314	1	7	4	58	0.00268269
0.117314	1	1	4	58	0.00284576
0.117386	1	11	4	58	0.00262131
0.121029	1	12	4	58	0.00836366
0.123029	1	9	4	58	0.00900753
0.127243	1	4	4	58	0.00744972
0.127314	1	6	4	58	0.0105081
0.127457	1	25	4	58	0.00854053
0.127529	1	2	4	58	0.00946625
0.133957	1	22	4	58	0.0182836
0.143029	1	28	4	58	0.0240179
0.144243	1	27	4	54	0.00235683
0.147243	1	7	4	54	0.00228541
0.159243	1	10	4	54	0.00228541
0.159314	1	26	4	54	0.00242826
3.11324	1	21	4	58	0.00285291
3.11531	1	3	4	58	0.00321094
3.11624	1	8	4	58	0.00275621
3.11724	1	9	4	58	0.00322182
3.11731	1	1	4	58	0.00284576
3.11824	1	22	4	58	0.00256935
3.11924	1	6	4	58	0.00243666
3.12124	1	2	4	58	0.00318054
3.12324	1	28	4	58	0.00423222
3.12331	1	4	4	58	0.00352115
3.12696	1	25	4	58	0.00804052
3.12789	1	11	4	58	0.0131213
3.21424	1	5	4	58	0.102367
3.21631	1	24	4	58	0.103162
3.2206	1	23	4	58	0.10785
3.24524	1	21	4	54	0.00321398
3.24824	1	24	4	54	0.00321398
3.25124	1	5	4	54	0.00321398
3.25224	1	3	4	54	0.00321398
3.25231	1	8	4	54	0.00235683
3.25503	1	9	4	54	0.00899969
3.26603	1	4	4	54	0.014214
3.26624	1	6	4	54	0.00321398
3.27803	1	2	4	54	0.0130711
