time(s)	cellId	rnti	lcid	packetSize
0.11039	1	21	4	58
0.110509	1	26	4	58
0.110633	1	27	4	58
0.110745	1	10	4	58
0.111876	1	5	4	58
0.112103	1	3	4	58
0.112665	1	12	4	58
0.11275	1	23	4	58
0.113152	1	24	4	58
0.113487	1	8	4	58
0.113632	1	7	4	58
0.114021	1	9	4	58
0.114469	1	1	4	58
0.114764	1	11	4	58
0.115674	1	22	4	58
0.116806	1	6	4	58
0.118062	1	2	4	58
0.118917	1	25	4	58
0.119011	1	28	4	58
0.119793	1	4	4	58
0.141886	1	27	4	54
0.144957	1	7	4	54
0.156886	1	26	4	54
0.156957	1	10	4	54
3.11039	1	21	4	58
3.11188	1	5	4	58
3.1121	1	3	4	58
3.11266	1	12	4	58
3.11275	1	23	4	58
3.11315	1	24	4	58
3.11349	1	8	4	58
3.11402	1	9	4	58
3.11447	1	1	4	58
3.11476	1	11	4	58
3.11567	1	22	4	58
3.11681	1	6	4	58
3.11806	1	2	4	58
3.11892	1	25	4	58
3.11901	1	28	4	58
3.11979	1	4	4	58
3.24203	1	21	4	54
3.24503	1	24	4	54
3.24603	1	9	4	54
3.24803	1	5	4	54
3.24903	1	3	4	54
3.24996	1	8	4	54
3.25181	1	4	4	54
3.26303	1	6	4	54
3.26496	1	2	4	54
