time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.113243	1	21	4	60	0.00224286
0.113314	1	26	4	60	0.00231428
0.113386	1	27	4	60	0.00238571
0.113457	1	10	4	60	0.00245714
0.115243	1	3	4	60	0.00224286
0.116243	1	8	4	60	0.00224286
0.116314	1	7	4	60	0.00231428
0.117314	1	1	4	60	0.00231428
0.117386	1	11	4	60	0.00238571
0.121029	1	12	4	60	0.00802856
0.123029	1	9	4	60	0.00802856
0.127243	1	4	4	60	0.00224286
0.127314	1	6	4	60	0.00231428
0.127457	1	25	4	60	0.00245714
0.127529	1	2	4	60	0.00252857
0.133957	1	22	4	60	0.0179571
0.143029	1	28	4	60	0.0180286
0.144243	1	27	4	56	0.00224286
0.147243	1	7	4	56	0.00224286
0.159243	1	10	4	56	0.00224286
0.159314	1	26	4	56	0.00231428
3.11324	1	21	4	60	0.00224286
3.11424	1	5	4	60	0.00224286
3.11531	1	3	4	60	0.00231428
3.11624	1	8	4	60	0.00224286
3.11631	1	24	4	60	0.00231428
3.11724	1	9	4	60	0.00224286
3.11731	1	1	4	60	0.00231428
3.11824	1	22	4	60	0.00224286
3.11924	1	6	4	60	0.00224286
3.1206	1	23	4	60	0.0076
3.12124	1	2	4	60	0.00224286
3.12324	1	28	4	60	0.00224286
3.12331	1	4	4	60	0.00231428
3.12696	1	25	4	60	0.00795714
3.12789	1	11	4	60	0.0128857
3.24524	1	21	4	56	0.00224286
3.24824	1	24	4	56	0.00224286
3.25124	1	5	4	56	0.00224286
3.25224	1	3	4	56	0.00224286
3.25231	1	8	4	56	0.00231428
3.25503	1	9	4	56	0.00802856
3.26603	1	4	4	56	0.0130286
3.26624	1	6	4	56	0.00224286
3.27803	1	2	4	56	0.0130286
