time(s)	cellId	rnti	lcid	packetSize
0.111	1	21	4	60
0.111	1	26	4	60
0.111	1	27	4	60
0.111	1	10	4	60
0.112	1	5	4	60
0.113	1	3	4	60
0.113	1	12	4	60
0.113	1	23	4	60
0.114	1	8	4	60
0.114	1	7	4	60
0.114	1	24	4	60
0.115	1	9	4	60
0.115	1	1	4	60
0.115	1	11	4	60
0.116	1	22	4	60
0.125	1	4	4	60
0.125	1	6	4	60
0.125	1	28	4	60
0.125	1	25	4	60
0.125	1	2	4	60
0.142	1	27	4	56
0.145	1	7	4	56
0.157	1	10	4	56
0.157	1	26	4	56
3.111	1	21	4	60
3.112	1	5	4	60
3.113	1	12	4	60
3.113	1	3	4	60
3.113	1	23	4	60
3.114	1	8	4	60
3.114	1	24	4	60
3.115	1	9	4	60
3.115	1	1	4	60
3.115	1	11	4	60
3.116	1	22	4	60
3.117	1	6	4	60
3.119	1	2	4	60
3.119	1	25	4	60
3.121	1	28	4	60
3.121	1	4	4	60
3.243	1	21	4	56
3.246	1	24	4	56
3.247	1	9	4	56
3.249	1	5	4	56
3.25	1	3	4	56
3.25	1	8	4	56
3.253	1	4	4	56
3.264	1	6	4	56
3.265	1	2	4	56
