time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.121886	1	27	3	58	0.0085
0.124957	1	7	3	58	0.00864285
0.136886	1	26	3	58	0.0235714
0.136957	1	10	3	58	0.0235
3.22203	1	21	3	58	0.108786
3.22203	1	21	3	58	0.108786
3.22503	1	24	3	58	0.00871428
3.22603	1	9	3	58	0.108786
3.22603	1	9	3	58	0.103
3.22803	1	5	3	58	0.0137857
3.22903	1	3	3	58	0.113786
3.22903	1	3	3	58	0.113714
3.22996	1	8	3	58	0.113714
3.22996	1	8	3	58	0.113714
3.23181	1	4	3	58	0.1085
3.23181	1	4	3	58	0.104571
3.24303	1	6	3	58	0.123786
3.24303	1	6	3	58	0.115714
3.24496	1	2	3	58	0.123714
3.24496	1	2	3	58	0.117429
