time(s)	cellId	rnti	lcid	packetSize
0.113243	1	21	3	58
0.113314	1	26	3	58
0.113386	1	27	3	58
0.113457	1	10	3	58
0.115243	1	3	3	58
0.116243	1	8	3	58
0.116314	1	7	3	58
0.117314	1	1	3	58
0.117386	1	11	3	58
0.121029	1	12	3	58
0.123029	1	9	3	58
0.127243	1	4	3	58
0.127314	1	6	3	58
0.127457	1	25	3	58
0.127529	1	2	3	58
0.133957	1	22	3	58
0.143029	1	28	3	58
3.11324	1	21	3	58
3.11324	1	21	3	58
3.11524	1	3	3	58
3.11531	1	3	3	58
3.11624	1	8	3	58
3.11624	1	8	3	58
3.11724	1	9	3	58
3.11731	1	1	3	58
3.11731	1	1	3	58
3.11739	1	11	3	58
3.11824	1	22	3	58
3.11924	1	6	3	58
3.12103	1	12	3	58
3.12124	1	2	3	58
3.12303	1	9	3	58
3.12324	1	28	3	58
3.12331	1	4	3	58
3.12696	1	25	3	58
3.12724	1	4	3	58
3.12731	1	6	3	58
3.12746	1	25	3	58
3.12753	1	2	3	58
3.12789	1	11	3	58
3.13396	1	22	3	58
3.14303	1	28	3	58
3.21424	1	5	3	58
3.21631	1	24	3	58
3.2206	1	23	3	58
