time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.121886	1	27	3	60	0.00281428
0.124957	1	7	3	60	0.00288571
0.136886	1	26	3	60	0.0178143
0.136957	1	10	3	60	0.0178857
3.12203	1	21	3	106	0.00295714
3.12603	1	9	3	106	0.00295714
3.12903	1	3	3	106	0.00795714
3.12996	1	8	3	106	0.00788571
3.13181	1	4	3	106	0.00274285
3.13196	1	9	3	16	0.00288571
3.13303	1	21	3	16	0.00795714
3.13689	1	4	3	16	0.00281428
3.13989	1	3	3	16	0.00781428
3.13996	1	8	3	16	0.00788571
3.14303	1	6	3	60	0.0179571
3.14496	1	2	3	60	0.0178857
3.15103	1	2	3	60	0.0179571
3.15196	1	6	3	60	0.0178857
3.22503	1	24	3	60	0.00295714
3.22803	1	5	3	60	0.00795714
