time(s)	cellId	rnti	lcid	packetSize
0.119071	1	10	3	60
0.119071	1	21	3	60
0.119071	1	26	3	60
0.119071	1	27	3	60
0.121071	1	3	3	60
0.122071	1	7	3	60
0.122071	1	8	3	60
0.123071	1	1	3	60
0.123071	1	11	3	60
0.127071	1	12	3	60
0.129071	1	9	3	60
0.133071	1	2	3	60
0.133071	1	4	3	60
0.133071	1	6	3	60
0.133071	1	25	3	60
0.139071	1	22	3	60
0.149071	1	28	3	60
3.11907	1	21	3	106
3.12107	1	3	3	106
3.12207	1	8	3	106
3.12307	1	1	3	106
3.12307	1	9	3	106
3.12307	1	11	3	60
3.12407	1	22	3	60
3.12507	1	6	3	60
3.12507	1	21	3	16
3.12707	1	2	3	60
3.12707	1	12	3	60
3.12907	1	4	3	106
3.12907	1	9	3	16
3.12907	1	28	3	60
3.13207	1	3	3	16
3.13207	1	8	3	16
3.13207	1	25	3	106
3.13307	1	2	3	60
3.13407	1	4	3	16
3.13407	1	6	3	60
3.13407	1	11	3	60
3.14007	1	22	3	60
3.14907	1	28	3	60
3.22007	1	5	3	60
3.22207	1	24	3	60
3.22607	1	23	3	60
