Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.113143	DL	11	3	0	1	1	1	0	21	114	0	1	0	20.4355	13	0	0
0.113214	DL	11	3	0	2	1	1	0	26	114	0	1	0	31.2555	15	0	0
0.113286	DL	11	3	0	3	1	1	0	27	114	0	1	0	44.2835	15	0	0
0.113357	DL	11	3	0	4	1	1	0	10	114	0	1	0	27.9363	15	0	0
0.114143	DL	11	4	0	1	1	1	0	5	114	0	1	0	-26.8362	0	1	1
0.115143	DL	11	5	0	1	1	1	0	3	114	0	1	0	0.575117	4	0	0
0.115214	DL	11	5	0	2	1	1	0	12	114	0	1	0	-7.44897	0	1	0.937022
0.115286	DL	11	5	0	3	1	1	0	23	114	0	1	0	-41.7781	0	1	1
0.116143	DL	11	6	0	1	1	1	0	8	114	0	1	0	18.6175	12	0	0
0.116214	DL	11	6	0	2	1	1	0	7	114	0	1	0	47.7917	15	0	0
0.116286	DL	11	6	0	3	1	1	0	24	114	0	1	0	-25.8119	0	1	1
0.117143	DL	11	7	0	1	1	1	0	9	114	0	1	0	-13.5206	0	1	1
0.117214	DL	11	7	0	2	1	1	0	1	114	0	1	0	5.24503	6	0	0
0.117286	DL	11	7	0	3	1	1	0	11	114	0	1	0	12.1698	9	0	0
0.118143	DL	11	8	0	1	1	1	0	22	114	0	1	0	-18.8268	0	1	1
0.119929	DL	11	9	0	1	12	1	0	5	114	0	1	1	-17.5477	0	1	1
0.1205	DL	12	0	0	1	6	1	0	23	114	0	1	1	-34.2885	0	1	1
0.120929	DL	12	0	0	7	6	1	0	12	114	0	1	1	0.789043	4	0	0
0.121643	DL	12	1	0	1	8	1	0	24	114	0	1	1	-18.6612	0	1	1
0.121714	UL	12	1	0	9	1	1	0	10	114	0	1	0	-15.5165	255	1	1
0.121714	UL	12	1	0	9	1	1	0	10	114	0	1	0	-15.5165	255	1	1
0.121786	UL	12	1	0	10	1	1	0	27	114	0	1	0	0.466966	255	0	0
0.121786	UL	12	1	0	10	1	1	0	27	114	0	1	0	0.466966	255	0	0
0.121857	UL	12	1	0	11	1	1	0	26	114	0	1	0	-12.4084	255	1	1
0.121857	UL	12	1	0	11	1	1	0	26	114	0	1	0	-12.4084	255	1	1
0.121929	UL	12	1	0	12	1	1	0	21	114	0	1	0	-23.0336	255	1	1
0.121929	UL	12	1	0	12	1	1	0	21	114	0	1	0	-23.0336	255	1	1
0.122929	DL	12	2	0	1	12	1	0	9	114	0	1	1	-2.9957	2	0	0
0.123786	DL	12	3	0	1	10	1	0	22	114	0	1	1	-10.6329	0	1	1
0.123857	UL	12	3	0	11	1	1	0	3	114	0	1	0	-42.8927	255	1	1
0.123857	UL	12	3	0	11	1	1	0	3	114	0	1	0	-42.8927	255	1	1
0.124714	DL	12	4	0	1	9	1	0	5	114	0	1	2	-19.8522	0	1	1
0.124786	UL	12	4	0	10	1	1	0	8	114	0	1	0	-25.2476	255	1	1
0.124786	UL	12	4	0	10	1	1	0	8	114	0	1	0	-25.2476	255	1	1
0.124857	UL	12	4	0	11	1	1	0	7	114	0	1	0	3.92122	255	0	0
0.124857	UL	12	4	0	11	1	1	0	7	114	0	1	0	3.92122	255	0	0
0.125714	DL	12	5	0	1	9	1	0	23	114	0	1	2	-32.9806	0	1	1
0.125786	UL	12	5	0	10	1	1	0	11	114	0	1	0	-32.5006	255	1	1
0.125786	UL	12	5	0	10	1	1	0	11	114	0	1	0	-32.5006	255	1	1
0.125857	UL	12	5	0	11	1	1	0	1	114	0	1	0	-37.9869	255	1	1
0.125857	UL	12	5	0	11	1	1	0	1	114	0	1	0	-37.9869	255	1	1
0.126714	DL	12	6	0	1	9	1	0	24	114	0	1	2	-17.5519	0	1	1
0.126786	UL	12	6	0	10	1	1	0	21	114	0	1	1	-23.4152	255	1	1
0.126786	UL	12	6	0	10	1	1	0	21	114	0	1	1	-23.4152	255	1	1
0.126857	UL	12	6	0	11	1	1	0	26	114	0	1	1	-12.4174	255	1	1
0.126857	UL	12	6	0	11	1	1	0	26	114	0	1	1	-12.4174	255	1	1
