Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.0259286	gNB PHY Rxed	2	5	0	1	0	0	SRS
0.026	gNB PHY Rxed	2	5	0	1	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	1	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	1	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	1	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	1	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	1	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	1	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	1	0	0	RACH_PREAMBLE
0.0349286	gNB PHY Rxed	3	4	0	1	0	0	SRS
0.0369286	gNB PHY Rxed	3	6	0	1	0	0	SRS
0.0389286	gNB PHY Rxed	3	8	0	1	0	0	SRS
0.0439286	gNB PHY Rxed	4	3	0	1	0	0	SRS
0.0449286	gNB PHY Rxed	4	4	0	1	0	0	SRS
0.0459286	gNB PHY Rxed	4	5	0	1	0	0	SRS
0.0509286	gNB PHY Rxed	5	0	0	1	0	0	SRS
0.0529286	gNB PHY Rxed	5	2	0	1	0	0	SRS
0.0559286	gNB PHY Rxed	5	5	0	1	0	0	SRS
0.0589286	gNB PHY Rxed	5	8	0	1	0	0	SRS
0.0619286	gNB PHY Rxed	6	1	0	1	0	0	SRS
0.0639286	gNB PHY Rxed	6	3	0	1	0	0	SRS
0.0649286	gNB PHY Rxed	6	4	0	1	0	0	SRS
0.0679286	gNB PHY Rxed	6	7	0	1	0	0	SRS
0.0899286	gNB PHY Rxed	8	9	0	1	0	0	SRS
0.0949286	gNB PHY Rxed	9	4	0	1	0	0	SRS
0.0959286	gNB PHY Rxed	9	5	0	1	0	0	SRS
0.0989286	gNB PHY Rxed	9	8	0	1	0	0	SRS
0.100929	gNB PHY Rxed	10	0	0	1	0	0	SRS
0.105929	gNB PHY Rxed	10	5	0	1	0	0	SRS
0.114929	gNB PHY Rxed	11	4	0	1	0	0	SRS
0.116	gNB PHY Rxed	11	5	0	1	21	0	DL_HARQ
0.116	gNB PHY Rxed	11	5	0	1	26	0	DL_HARQ
0.116	gNB PHY Rxed	11	5	0	1	27	0	DL_HARQ
0.116	gNB PHY Rxed	11	5	0	1	10	0	DL_HARQ
0.116929	gNB PHY Rxed	11	6	0	1	0	0	SRS
0.117	gNB PHY Rxed	11	6	0	1	21	0	DL_CQI
0.117	gNB PHY Rxed	11	6	0	1	0	0	SR
