Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0258571	UE  PHY Txed	2	5	0	1	4	0	SRS
0.0259286	UE  PHY Txed	2	5	0	1	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	1	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	1	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	1	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	1	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	1	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	1	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	1	0	0	RACH_PREAMBLE
0.0348571	UE  PHY Txed	3	4	0	1	7	0	SRS
0.0368571	UE  PHY Txed	3	6	0	1	3	0	SRS
0.0388571	UE  PHY Txed	3	8	0	1	5	0	SRS
0.0438571	UE  PHY Txed	4	3	0	1	22	0	SRS
0.0448571	UE  PHY Txed	4	4	0	1	28	0	SRS
0.0458571	UE  PHY Txed	4	5	0	1	12	0	SRS
0.0508571	UE  PHY Txed	5	0	0	1	23	0	SRS
0.0528571	UE  PHY Txed	5	2	0	1	10	0	SRS
0.0558571	UE  PHY Txed	5	5	0	1	24	0	SRS
0.0588571	UE  PHY Txed	5	8	0	1	1	0	SRS
0.0618571	UE  PHY Txed	6	1	0	1	9	0	SRS
0.0638571	UE  PHY Txed	6	3	0	1	11	0	SRS
0.0648571	UE  PHY Txed	6	4	0	1	2	0	SRS
0.0678571	UE  PHY Txed	6	7	0	1	27	0	SRS
0.0898571	UE  PHY Txed	8	9	0	1	21	0	SRS
0.0948571	UE  PHY Txed	9	4	0	1	26	0	SRS
0.0958571	UE  PHY Txed	9	5	0	1	6	0	SRS
0.0988571	UE  PHY Txed	9	8	0	1	8	0	SRS
0.100857	UE  PHY Txed	10	0	0	1	25	0	SRS
0.105857	UE  PHY Txed	10	5	0	1	4	0	SRS
0.114857	UE  PHY Txed	11	4	0	1	7	0	SRS
0.115929	UE  PHY Txed	11	5	0	1	0	0	DL_HARQ
0.115929	UE  PHY Txed	11	5	0	1	0	0	DL_HARQ
0.115929	UE  PHY Txed	11	5	0	1	0	0	DL_HARQ
0.115929	UE  PHY Txed	11	5	0	1	0	0	DL_HARQ
0.116857	UE  PHY Txed	11	6	0	1	3	0	SRS
0.116929	UE  PHY Txed	11	6	0	1	0	0	DL_CQI
0.116929	UE  PHY Txed	11	6	0	1	0	0	SR
0.116929	UE  PHY Txed	11	6	0	1	0	0	DL_CQI
0.116929	UE  PHY Txed	11	6	0	1	0	0	SR
0.116929	UE  PHY Txed	11	6	0	1	0	0	DL_CQI
0.116929	UE  PHY Txed	11	6	0	1	0	0	SR
0.116929	UE  PHY Txed	11	6	0	1	0	0	DL_CQI
0.116929	UE  PHY Txed	11	6	0	1	0	0	SR
