Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	5.67972
7.1427e-05	1	0	0	17.5
7.1427e-05	1	0	0	11.8602
7.1427e-05	1	0	0	22.3896
7.1427e-05	1	0	0	18.0272
7.1427e-05	1	0	0	8.97367
7.1427e-05	1	0	0	13.4831
7.1427e-05	3	0	0	4.16153
7.1427e-05	3	0	0	17.207
7.1427e-05	3	0	0	7.09511
7.1427e-05	3	0	0	18.1349
7.1427e-05	3	0	0	12.0508
7.1427e-05	3	0	0	-5.65782
7.1427e-05	3	0	0	16.2934
7.1427e-05	3	0	0	5.52338
7.1427e-05	3	0	0	5.20475
7.1427e-05	3	0	0	6.72216
7.1427e-05	3	0	0	10.5219
7.1427e-05	3	0	0	17.3453
7.1427e-05	3	0	0	25.2304
7.1427e-05	3	0	0	9.42627
7.1427e-05	3	0	0	15.429
7.1427e-05	3	0	0	24.3152
7.1427e-05	3	0	0	-5.38425
0.00507143	1	0	0	15.427
0.00507143	1	0	0	27.3697
0.00507143	1	0	0	23.5725
0.00507143	1	0	0	32.7371
0.00507143	1	0	0	11.7654
0.00507143	1	0	0	10.3257
0.00507143	1	0	0	16.0309
0.00507143	3	0	0	-0.138469
0.00507143	3	0	0	26.5563
0.00507143	3	0	0	4.86413
0.00507143	3	0	0	16.1481
0.00507143	3	0	0	11.0592
0.00507143	3	0	0	4.27898
0.00507143	3	0	0	23.179
0.00507143	3	0	0	6.74589
0.00507143	3	0	0	5.12365
0.00507143	3	0	0	9.20298
0.00507143	3	0	0	13.2011
0.00507143	3	0	0	27.4498
0.00507143	3	0	0	28.7144
0.00507143	3	0	0	1.32907
0.00507143	3	0	0	13.607
0.00507143	3	0	0	26.283
0.00507143	3	0	0	-0.439287
0.0100714	1	0	0	15.1184
0.0100714	1	0	0	27.8027
0.0100714	1	0	0	23.6999
0.0100714	1	0	0	32.7774
0.0100714	1	0	0	11.6673
0.0100714	1	0	0	10.4944
0.0100714	1	0	0	15.9428
0.0100714	3	0	0	-0.832637
0.0100714	3	0	0	26.7641
0.0100714	3	0	0	4.84121
0.0100714	3	0	0	17.4718
0.0100714	3	0	0	11.3575
0.0100714	3	0	0	4.23462
0.0100714	3	0	0	23.1767
0.0100714	3	0	0	6.72362
0.0100714	3	0	0	4.76747
0.0100714	3	0	0	8.57861
0.0100714	3	0	0	13.7246
0.0100714	3	0	0	29.1303
0.0100714	3	0	0	28.3293
0.0100714	3	0	0	1.56349
0.0100714	3	0	0	14.9299
0.0100714	3	0	0	26.1204
0.0100714	3	0	0	-0.677929
0.0150714	1	0	0	14.9019
0.0150714	1	0	0	27.7037
0.0150714	1	0	0	23.4536
0.0150714	1	0	0	32.7033
0.0150714	1	0	0	11.8275
0.0150714	1	0	0	10.5445
0.0150714	1	0	0	15.3925
0.0150714	3	0	0	0.0190731
0.0150714	3	0	0	27.0384
0.0150714	3	0	0	5.31966
0.0150714	3	0	0	16.5571
0.0150714	3	0	0	11.2818
0.0150714	3	0	0	4.74161
0.0150714	3	0	0	23.6636
0.0150714	3	0	0	6.2452
0.0150714	3	0	0	5.77407
0.0150714	3	0	0	8.30987
0.0150714	3	0	0	13.592
0.0150714	3	0	0	24.9556
0.0150714	3	0	0	27.909
0.0150714	3	0	0	2.13167
0.0150714	3	0	0	15.1046
0.0150714	3	0	0	25.9798
0.0150714	3	0	0	-0.908447
0.0200714	1	0	0	15.1472
0.0200714	1	0	0	27.3097
0.0200714	1	0	0	23.4793
0.0200714	1	0	0	33.0732
0.0200714	1	0	0	12.0955
0.0200714	1	0	0	10.4271
0.0200714	1	0	0	15.5521
0.0200714	3	0	0	-0.113252
0.0200714	3	0	0	26.9263
0.0200714	3	0	0	5.51257
0.0200714	3	0	0	14.3669
0.0200714	3	0	0	11.7781
0.0200714	3	0	0	4.86959
0.0200714	3	0	0	24.1761
0.0200714	3	0	0	6.56736
0.0200714	3	0	0	5.77885
0.0200714	3	0	0	8.29711
0.0200714	3	0	0	13.4076
0.0200714	3	0	0	24.4239
0.0200714	3	0	0	27.3015
0.0200714	3	0	0	2.01559
0.0200714	3	0	0	13.9265
0.0200714	3	0	0	26.659
0.0200714	3	0	0	-0.521087
0.0230714	1	1	0	15.2391
0.0230714	1	2	0	27.8582
0.0230714	1	3	0	23.2916
0.0230714	1	4	0	33.3281
0.0230714	1	5	0	12.2724
0.0230714	1	6	0	10.7331
0.0230714	1	7	0	15.6406
0.0230714	3	1	0	0.680944
0.0230714	3	2	0	27.0138
0.0230714	3	3	0	5.08343
0.0230714	3	4	0	15.2135
0.0230714	3	5	0	12.1914
0.0230714	3	6	0	4.55777
0.0230714	3	7	0	24.0655
0.0230714	3	8	0	6.42417
0.0230714	3	9	0	5.79513
0.0230714	3	10	0	8.4631
0.0230714	3	11	0	13.0782
0.0230714	3	0	0	24.2468
0.0230714	3	0	0	27.5201
0.0230714	3	0	0	1.75108
0.0230714	3	0	0	13.3119
0.0230714	3	0	0	27.1291
0.0230714	3	0	0	-0.247244
0.0250714	1	1	0	15.2278
0.0250714	1	2	0	28.0249
0.0250714	1	3	0	22.9952
0.0250714	1	4	0	33.51
0.0250714	1	5	0	12.4195
0.0250714	1	6	0	10.823
0.0250714	1	7	0	15.5659
0.0250714	3	1	0	0.185521
0.0250714	3	2	0	26.9697
0.0250714	3	3	0	4.97086
0.0250714	3	4	0	14.5635
0.0250714	3	5	0	12.2944
0.0250714	3	6	0	4.64816
0.0250714	3	7	0	24.1575
0.0250714	3	8	0	6.68014
0.0250714	3	9	0	5.87886
0.0250714	3	10	0	8.5206
0.0250714	3	11	0	13.537
0.0250714	3	0	0	28.7127
0.0250714	3	0	0	27.6242
0.0250714	3	0	0	1.95269
0.0250714	3	0	0	13.0677
0.0250714	3	0	0	27.4978
0.0250714	3	0	0	-0.512391
0.0270714	3	1	0	21.0714
0.0270714	3	2	0	40.4452
0.0270714	3	3	0	28.8461
0.0270714	3	4	0	34.6299
0.0270714	3	5	0	29.1397
0.0270714	3	6	0	34.8575
0.0270714	3	7	0	27.5004
0.0270714	3	8	0	30.5279
0.0270714	3	9	0	26.2495
0.0270714	3	10	0	35.5298
0.0270714	3	11	0	28.4363
0.0270714	3	0	0	38.5563
0.0270714	3	0	0	44.1062
0.0270714	3	0	0	24.3104
0.0270714	3	0	0	40.7759
0.0270714	3	0	0	48.6065
0.0270714	3	0	0	31.3634
0.0280714	3	1	0	20.7799
0.0280714	3	2	0	40.5565
0.0280714	3	3	0	29.1536
0.0280714	3	4	0	34.5859
0.0280714	3	5	0	28.9959
0.0280714	3	6	0	34.9144
0.0280714	3	7	0	27.5418
0.0280714	3	8	0	31.1011
0.0280714	3	9	0	26.2677
0.0280714	3	10	0	35.5844
0.0280714	3	11	0	28.4112
0.0280714	3	0	0	38.7584
0.0280714	3	0	0	44.2608
0.0280714	3	0	0	24.228
0.0280714	3	0	0	40.9947
0.0280714	3	0	0	48.7253
0.0280714	3	0	0	30.8197
0.0300714	1	1	0	15.1458
0.0300714	1	2	0	27.7404
0.0300714	1	3	0	22.9131
0.0300714	1	4	0	33.3535
0.0300714	1	5	0	12.2732
0.0300714	1	6	0	11.0546
0.0300714	1	7	0	15.6048
0.0300714	3	1	0	-0.441484
0.0300714	3	2	0	27.6016
0.0300714	3	3	0	5.50042
0.0300714	3	4	0	14.554
0.0300714	3	5	0	12.5966
0.0300714	3	6	0	4.7743
0.0300714	3	7	0	24.3143
0.0300714	3	8	0	6.86632
0.0300714	3	9	0	6.04501
0.0300714	3	10	0	8.53458
0.0300714	3	11	0	13.4272
0.0300714	3	18	0	28.9129
0.0300714	3	19	0	27.9717
0.0300714	3	20	0	2.3416
0.0300714	3	21	0	13.2251
0.0300714	3	22	0	27.9531
0.0300714	3	23	0	-0.780775
0.0320714	1	1	0	31.1447
0.0320714	1	2	0	36.9713
0.0320714	1	3	0	41.1164
0.0320714	1	4	0	41.5701
0.0320714	1	5	0	23.7687
0.0320714	1	6	0	28.8237
0.0320714	1	7	0	24.1791
0.0340714	1	1	0	31.0626
0.0340714	1	2	0	37.1204
0.0340714	1	3	0	40.8344
0.0340714	1	4	0	41.6879
0.0340714	1	5	0	23.716
0.0340714	1	6	0	28.8547
0.0340714	1	7	0	24.0384
0.0350714	1	1	0	15.6352
0.0350714	1	2	0	27.9328
0.0350714	1	3	0	22.8903
0.0350714	1	4	0	33.7384
0.0350714	1	5	0	12.3941
0.0350714	1	6	0	11.0597
0.0350714	1	7	0	15.2513
0.0350714	3	1	0	-1.24822
0.0350714	3	2	0	27.968
0.0350714	3	3	0	5.97194
