Time	CellId	RNTI	BWPId	SINR(dB)
0.413143	1	7	0	33.512
0.413143	3	23	0	27.9329
0.413214	1	6	0	44.9052
0.413214	3	22	0	52.668
0.413286	3	21	0	33.4129
0.413357	1	5	0	31.1986
0.413357	3	20	0	28.3228
0.413429	3	19	0	51.4241
0.4135	1	4	0	52.6637
0.4135	3	18	0	30.6984
0.413571	3	11	0	41.8424
0.413643	1	3	0	39.7654
0.413643	3	10	0	33.9118
0.413714	3	9	0	31.2023
0.413786	1	2	0	26.3899
0.413786	3	8	0	33.7423
0.413857	3	7	0	37.8828
0.413929	1	1	0	47.1438
0.414143	1	7	0	33.0204
0.414143	3	23	0	28.0197
0.414214	1	6	0	44.8598
0.414214	3	22	0	52.1529
0.414286	3	21	0	33.6098
0.414357	1	5	0	31.2376
0.414357	3	20	0	28.5389
0.414429	3	19	0	51.4422
0.4145	1	4	0	52.6376
0.4145	3	18	0	30.5356
0.414571	3	11	0	41.9387
0.414643	1	3	0	39.6512
0.414643	3	10	0	33.7334
0.414714	3	9	0	31.2782
0.414786	1	2	0	26.2611
0.414786	3	8	0	33.0202
0.414857	3	7	0	38.0148
0.414929	1	1	0	47.3489
0.415143	1	7	0	33.143
0.415143	3	23	0	28.2624
0.415214	1	6	0	44.9884
0.415214	3	22	0	53.1878
0.415286	1	5	0	33.5627
0.415286	3	21	0	33.6052
0.415357	3	20	0	39.899
0.415429	1	4	0	53.2449
0.415429	3	19	0	51.5461
0.4155	3	18	0	33.0961
0.415571	1	3	0	39.8598
0.415571	3	11	0	41.9028
0.415643	3	10	0	40.3266
0.415714	1	2	0	14.3783
0.415714	3	9	0	31.4299
0.415786	3	8	0	27.8606
0.415857	1	1	0	46.3746
0.415857	3	7	0	38.2786
0.415929	3	6	0	53.4432
0.416143	1	7	0	32.7396
0.416143	3	23	0	27.7789
0.416214	1	6	0	45.2154
0.416214	3	22	0	52.2019
0.416286	3	21	0	33.4111
0.416357	1	5	0	30.8266
0.416357	3	20	0	28.0651
0.416429	3	19	0	51.2359
0.4165	1	4	0	52.5646
0.4165	3	18	0	30.3131
0.416571	3	11	0	41.7136
0.416643	1	3	0	39.7867
0.416643	3	10	0	33.6134
0.416714	3	9	0	31.5294
0.416786	1	2	0	26.0048
0.416786	3	8	0	33.9142
0.416857	3	7	0	38.186
0.416929	1	1	0	33.4456
0.416929	3	6	0	29.0259
0.417143	1	7	0	32.851
0.417143	3	23	0	28.1345
0.417214	1	6	0	45.3374
0.417214	3	22	0	52.1942
0.417286	3	21	0	33.2375
0.417357	1	5	0	30.8397
0.417357	3	20	0	28.083
0.417429	3	19	0	51.2558
0.4175	1	4	0	52.3885
0.4175	3	18	0	30.3654
0.417571	3	11	0	41.8856
0.417643	1	3	0	39.6297
0.417643	3	10	0	33.4251
0.417714	3	9	0	31.7581
0.417786	1	2	0	25.8436
0.417786	3	8	0	33.1813
0.417857	3	7	0	38.3023
0.417929	1	1	0	33.5259
0.417929	3	6	0	29.0659
0.418143	1	7	0	33.505
0.418143	3	23	0	28.3527
0.418214	1	6	0	45.352
