% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.411	1	0	0	7	41	3	0	1	1	15	1	0	0	114
0.411	1	0	0	6	41	3	0	2	1	15	1	0	0	114
0.411	1	0	0	5	41	3	0	3	2	15	1	0	0	231
0.411	1	0	0	4	41	3	0	5	2	15	1	0	0	231
0.411	1	0	0	3	41	3	0	7	2	15	1	0	0	231
0.411	1	0	0	2	41	3	0	9	2	15	1	0	0	231
0.411	1	0	0	1	41	3	0	11	2	15	1	0	0	231
0.411	3	0	0	23	41	3	0	1	1	15	1	0	0	114
0.411	3	0	0	22	41	3	0	2	1	15	1	0	0	114
0.411	3	0	0	21	41	3	0	3	1	15	1	0	0	114
0.411	3	0	0	20	41	3	0	4	1	15	1	0	0	114
0.411	3	0	0	19	41	3	0	5	1	15	1	0	0	114
0.411	3	0	0	18	41	3	0	6	1	15	1	0	0	114
0.411	3	0	0	11	41	3	0	7	1	15	1	0	0	114
0.411	3	0	0	10	41	3	0	8	1	15	1	0	0	114
0.411	3	0	0	9	41	3	0	9	1	15	1	0	0	114
0.411	3	0	0	8	41	3	0	10	1	15	1	0	0	114
0.411	3	0	0	7	41	3	0	11	1	15	1	0	0	114
0.412	1	0	0	7	41	4	0	1	1	14	1	0	0	114
0.412	1	0	0	6	41	4	0	2	1	14	1	0	0	114
0.412	1	0	0	5	41	4	0	3	2	14	1	0	0	231
0.412	1	0	0	4	41	4	0	5	2	14	1	0	0	231
0.412	1	0	0	3	41	4	0	7	2	14	1	0	0	231
0.412	1	0	0	2	41	4	0	9	2	14	1	0	0	231
0.412	1	0	0	1	41	4	0	11	2	14	1	0	0	231
0.412	3	0	0	23	41	4	0	1	1	14	1	0	0	114
0.412	3	0	0	22	41	4	0	2	1	14	1	0	0	114
0.412	3	0	0	21	41	4	0	3	1	14	1	0	0	114
0.412	3	0	0	20	41	4	0	4	1	14	1	0	0	114
0.412	3	0	0	19	41	4	0	5	1	14	1	0	0	114
0.412	3	0	0	18	41	4	0	6	1	14	1	0	0	114
0.412	3	0	0	11	41	4	0	7	1	14	1	0	0	114
0.412	3	0	0	10	41	4	0	8	1	14	1	0	0	114
0.412	3	0	0	9	41	4	0	9	1	14	1	0	0	114
0.412	3	0	0	8	41	4	0	10	1	14	1	0	0	114
0.412	3	0	0	7	41	4	0	11	1	14	1	0	0	114
0.413	1	0	0	7	41	5	0	1	1	13	1	0	0	114
0.413	1	0	0	6	41	5	0	2	1	13	1	0	0	114
0.413	1	0	0	5	41	5	0	3	1	13	1	0	0	114
0.413	1	0	0	4	41	5	0	4	2	13	1	0	0	231
0.413	1	0	0	3	41	5	0	6	2	13	1	0	0	231
0.413	1	0	0	2	41	5	0	8	2	13	1	0	0	231
0.413	1	0	0	1	41	5	0	10	2	13	1	0	0	231
0.413	3	0	0	23	41	5	0	1	1	13	1	0	0	114
0.413	3	0	0	22	41	5	0	2	1	13	1	0	0	114
0.413	3	0	0	21	41	5	0	3	1	13	1	0	0	114
0.413	3	0	0	20	41	5	0	4	1	13	1	0	0	114
0.413	3	0	0	19	41	5	0	5	1	13	1	0	0	114
0.413	3	0	0	18	41	5	0	6	1	13	1	0	0	114
0.413	3	0	0	11	41	5	0	7	1	13	1	0	0	114
0.413	3	0	0	10	41	5	0	8	1	13	1	0	0	114
