time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.419243	1	7	3	1530	0.00921761
0.419243	1	7	3	1530	0.00821761
0.419243	1	7	3	1530	0.00721761
0.419243	3	23	3	1530	0.00921133
0.419243	3	23	3	1530	0.00821133
0.419243	3	23	3	1530	0.00721133
0.419314	1	6	3	1530	0.00929155
0.419314	1	6	3	1530	0.00829155
0.419314	1	6	3	1530	0.00729155
0.419314	3	22	3	1530	0.00928402
0.419314	3	22	3	1530	0.00828402
0.419314	3	22	3	1530	0.00728402
0.419386	3	21	3	1530	0.0093567
0.419386	3	21	3	1530	0.0083567
0.419386	3	21	3	1530	0.0073567
0.419457	1	5	3	1530	0.00943567
0.419457	1	5	3	1530	0.00843567
0.419457	1	5	3	1530	0.00743567
0.419457	1	5	3	1530	0.00643567
0.419457	1	5	3	1530	0.00543567
0.419457	1	5	3	1530	0.00443567
0.419457	3	20	3	1530	0.00942939
0.419457	3	20	3	1530	0.00842939
0.419457	3	20	3	1530	0.00742939
0.419529	3	19	3	1530	0.00950207
0.419529	3	19	3	1530	0.00850207
0.419529	3	19	3	1530	0.00750207
0.4196	1	4	3	1530	0.00957978
0.4196	1	4	3	1530	0.00857978
0.4196	1	4	3	1530	0.00757978
0.4196	1	4	3	1530	0.00657978
0.4196	1	4	3	1530	0.00557978
0.4196	1	4	3	1530	0.00457978
0.4196	3	18	3	1530	0.00957601
0.4196	3	18	3	1530	0.00857601
0.4196	3	18	3	1530	0.00757601
0.419671	3	11	3	1530	0.00965246
0.419671	3	11	3	1530	0.00865246
0.419671	3	11	3	1530	0.00765246
0.419743	1	3	3	1530	0.00972515
0.419743	1	3	3	1530	0.00872515
0.419743	1	3	3	1530	0.00772515
0.419743	1	3	3	1530	0.00672515
0.419743	1	3	3	1530	0.00572515
0.419743	1	3	3	1530	0.00472515
0.419743	3	10	3	1530	0.0097264
0.419743	3	10	3	1530	0.0087264
0.419743	3	10	3	1530	0.0077264
0.419814	3	9	3	1530	0.00979909
0.419814	3	9	3	1530	0.00879908
0.419814	3	9	3	1530	0.00779909
0.419886	1	2	3	1530	0.00988182
0.419886	1	2	3	1530	0.00888182
0.419886	1	2	3	1530	0.00788182
0.419886	1	2	3	1530	0.00688182
0.419886	1	2	3	1530	0.00588182
0.419886	1	2	3	1530	0.00488182
0.419886	3	8	3	1530	0.00987177
0.419886	3	8	3	1530	0.00887177
0.419886	3	8	3	1530	0.00787177
0.419957	3	7	3	1530	0.00994445
0.419957	3	7	3	1530	0.00894445
0.419957	3	7	3	1530	0.00794445
0.420029	1	1	3	1530	0.0100259
0.420029	1	1	3	1530	0.00902593
0.420029	1	1	3	1530	0.00802593
0.420029	1	1	3	1530	0.00702593
0.420029	1	1	3	1530	0.00602593
0.420029	1	1	3	1530	0.00502593
0.420243	3	23	3	1530	0.00721133
0.420243	3	23	3	1530	0.00621133
0.420314	1	7	3	1530	0.00728904
0.420314	1	7	3	1530	0.00628904
0.420314	1	7	3	1530	0.00528904
0.420314	1	7	3	1530	0.00428904
0.420314	1	7	3	1530	0.00328904
0.420314	3	22	3	1530	0.00728402
0.420314	3	22	3	1530	0.00628402
0.420386	3	21	3	1530	0.0073567
0.420386	3	21	3	1530	0.0063567
0.420457	1	6	3	1530	0.00743441
0.420457	1	6	3	1530	0.00643441
0.420457	1	6	3	1530	0.00543441
0.420457	1	6	3	1530	0.00443441
0.420457	1	6	3	1530	0.00343441
0.420457	3	20	3	1530	0.00742939
0.420457	3	20	3	1530	0.00642939
0.420529	1	5	3	1530	0.00450709
0.420529	1	5	3	1530	0.00350709
0.420529	3	19	3	1530	0.00750207
0.420529	3	19	3	1530	0.00650207
0.4206	1	4	3	1530	0.00457978
0.4206	1	4	3	1530	0.00357978
0.4206	3	18	3	1530	0.00757601
0.4206	3	18	3	1530	0.00657601
0.420671	1	3	3	1530	0.00465372
0.420671	1	3	3	1530	0.00365372
0.420671	3	11	3	1530	0.00765246
0.420671	3	11	3	1530	0.00665246
0.420743	3	10	3	1530	0.0077264
0.420743	3	10	3	1530	0.0067264
0.420814	1	1	3	1530	0.00481165
0.420814	1	1	3	1530	0.00381165
0.420814	3	9	3	1530	0.00779909
0.420814	3	9	3	1530	0.00679909
0.420886	3	8	3	1530	0.00787177
0.420886	3	8	3	1530	0.00687177
0.420957	3	7	3	1530	0.00794445
0.420957	3	7	3	1530	0.00694445
0.421243	1	7	3	1530	0.00321761
0.421243	3	23	3	1530	0.00621133
0.421243	3	23	3	1530	0.00521133
0.421243	3	23	3	1530	0.00421133
0.421314	1	6	3	1530	0.00329155
0.421314	3	22	3	1530	0.00628402
0.421314	3	22	3	1530	0.00528402
0.421314	3	22	3	1530	0.00428402
0.421386	1	5	3	1530	0.00336424
0.421386	3	21	3	1530	0.0063567
0.421386	3	21	3	1530	0.0053567
0.421386	3	21	3	1530	0.0043567
0.421457	1	4	3	1530	0.00343692
0.421457	3	20	3	1530	0.00642939
0.421457	3	20	3	1530	0.00542939
0.421457	3	20	3	1530	0.00442939
0.421529	1	3	3	1530	0.00351086
0.421529	3	19	3	1530	0.00650207
0.421529	3	19	3	1530	0.00550207
0.421529	3	19	3	1530	0.00450207
0.421671	1	1	3	1530	0.00366879
0.421671	3	11	3	1530	0.00665246
0.421671	3	11	3	1530	0.00565246
0.421671	3	11	3	1530	0.00465246
0.421743	3	10	3	1530	0.0067264
0.421743	3	10	3	1530	0.0057264
0.421743	3	10	3	1530	0.0047264
0.421814	3	9	3	1530	0.00679909
0.421814	3	9	3	1530	0.00579909
0.421814	3	9	3	1530	0.00479909
0.421886	3	8	3	1530	0.00687177
0.421886	3	8	3	1530	0.00587177
0.421886	3	8	3	1530	0.00487177
0.421957	3	7	3	1530	0.00694445
0.421957	3	7	3	1530	0.00594445
0.421957	3	7	3	1530	0.00494445
0.422029	3	6	3	1530	0.0120171
0.422029	3	6	3	1530	0.0110171
0.422243	1	7	3	1530	0.00321761
0.422243	3	23	3	1530	0.00421133
0.422243	3	23	3	1530	0.00321133
0.422314	1	6	3	1530	0.00329155
0.422314	3	22	3	1530	0.00428402
0.422314	3	22	3	1530	0.00328402
0.422386	1	5	3	1530	0.00336424
0.422386	3	21	3	1530	0.0043567
0.422386	3	21	3	1530	0.0033567
0.422457	1	4	3	1530	0.00343692
