time(s)	cellId	rnti	lcid	packetSize
0.411	1	7	3	111
0.411	1	6	3	111
0.411	1	5	3	228
0.411	1	4	3	228
0.411	1	3	3	228
0.411	1	2	3	228
0.411	1	1	3	228
0.411	3	23	3	111
0.411	3	22	3	111
0.411	3	21	3	111
0.411	3	20	3	111
0.411	3	19	3	111
0.411	3	18	3	111
0.411	3	11	3	111
0.411	3	10	3	111
0.411	3	9	3	111
0.411	3	8	3	111
0.411	3	7	3	111
0.412	1	7	3	111
0.412	1	6	3	111
0.412	1	5	3	228
0.412	1	4	3	228
0.412	1	3	3	228
0.412	1	2	3	228
0.412	1	1	3	228
0.412	3	23	3	111
0.412	3	22	3	111
0.412	3	21	3	111
0.412	3	20	3	111
0.412	3	19	3	111
0.412	3	18	3	111
0.412	3	11	3	111
0.412	3	10	3	111
0.412	3	9	3	111
0.412	3	8	3	111
0.412	3	7	3	111
0.413	1	7	3	111
0.413	1	6	3	111
0.413	1	5	3	111
0.413	1	4	3	228
0.413	1	3	3	228
0.413	1	2	3	228
0.413	1	1	3	228
0.413	3	23	3	111
0.413	3	22	3	111
0.413	3	21	3	111
0.413	3	20	3	111
0.413	3	19	3	111
0.413	3	18	3	111
0.413	3	11	3	111
0.413	3	10	3	111
0.413	3	9	3	111
0.413	3	8	3	111
0.413	3	7	3	111
0.413	3	6	3	111
0.414	1	7	3	111
0.414	1	6	3	111
0.414	1	5	3	228
0.414	1	4	3	228
0.414	1	3	3	228
0.414	1	2	3	228
0.414	1	1	3	228
0.414	3	23	3	111
0.414	3	22	3	111
0.414	3	21	3	111
0.414	3	20	3	111
0.414	3	19	3	111
0.414	3	18	3	111
0.414	3	11	3	111
0.414	3	10	3	111
0.414	3	9	3	111
0.414	3	8	3	111
0.414	3	7	3	111
0.414	3	6	3	111
0.415	1	7	3	111
0.415	1	6	3	111
0.415	1	5	3	228
0.415	1	4	3	228
0.415	1	3	3	228
0.415	1	2	3	228
0.415	1	1	3	228
0.415	3	23	3	111
0.415	3	22	3	111
0.415	3	21	3	111
0.415	3	20	3	111
0.415	3	19	3	111
0.415	3	18	3	111
0.415	3	11	3	111
0.415	3	10	3	111
0.415	3	9	3	111
0.415	3	8	3	111
0.415	3	7	3	111
0.415	3	6	3	111
0.416	1	7	3	111
0.416	1	6	3	111
0.416	1	5	3	228
0.416	1	4	3	228
0.416	1	3	3	228
0.416	1	2	3	228
0.416	1	1	3	228
0.416	3	23	3	111
0.416	3	22	3	111
0.416	3	21	3	111
0.416	3	20	3	111
0.416	3	19	3	111
0.416	3	18	3	111
0.416	3	11	3	111
0.416	3	10	3	111
0.416	3	9	3	111
0.416	3	8	3	111
0.416	3	7	3	111
0.416	3	6	3	111
0.417	1	7	3	4027
0.417	1	6	3	4027
0.417	1	5	3	8057
0.417	1	4	3	8057
0.417	1	3	3	8057
0.417	1	2	3	8057
0.417	1	1	3	8057
0.417	3	23	3	4027
0.417	3	22	3	4027
0.417	3	21	3	4027
0.417	3	20	3	4027
0.417	3	19	3	4027
0.417	3	18	3	4027
0.417	3	11	3	4027
0.417	3	10	3	4027
0.417	3	9	3	4027
0.417	3	8	3	4027
0.417	3	7	3	4027
0.418	1	7	3	7574
0.418	1	6	3	7574
0.418	1	5	3	2959
0.418	1	4	3	2842
0.418	1	3	3	2842
0.418	1	2	3	2842
0.418	1	1	3	2842
0.418	3	23	3	4027
0.418	3	22	3	4027
0.418	3	21	3	4027
0.418	3	20	3	4027
0.418	3	19	3	4027
0.418	3	18	3	4027
0.418	3	11	3	4027
0.418	3	10	3	4027
0.418	3	9	3	4027
0.418	3	8	3	4027
0.418	3	7	3	4027
0.418	3	6	3	111
0.419	1	7	3	1532
0.419	1	6	3	1532
0.419	1	5	3	1532
0.419	1	4	3	1532
0.419	1	3	3	1532
0.419	1	2	3	1532
0.419	1	1	3	1532
0.419	3	23	3	4027
0.419	3	22	3	4027
0.419	3	21	3	4027
0.419	3	20	3	4027
0.419	3	19	3	4027
0.419	3	18	3	4027
0.419	3	11	3	4027
0.419	3	10	3	4027
0.419	3	9	3	4027
0.419	3	8	3	4027
0.419	3	7	3	4027
0.419	3	6	3	4027
0.42	1	7	3	1532
0.42	1	6	3	1532
0.42	1	5	3	1532
0.42	1	4	3	1532
0.42	1	3	3	1532
0.42	1	2	3	1532
0.42	1	1	3	1532
0.42	3	23	3	2588
0.42	3	22	3	2588
0.42	3	21	3	2588
0.42	3	20	3	2588
0.42	3	19	3	2588
0.42	3	18	3	2588
0.42	3	11	3	2588
0.42	3	10	3	2588
0.42	3	9	3	2588
0.42	3	8	3	2588
0.42	3	7	3	2588
0.421	1	7	3	1532
0.421	1	6	3	1532
0.421	1	5	3	1532
0.421	1	4	3	1532
0.421	1	3	3	1532
0.421	1	2	3	1532
0.421	1	1	3	1532
0.421	3	23	3	1532
0.421	3	22	3	1532
0.421	3	21	3	1532
0.421	3	20	3	1532
0.421	3	19	3	1532
0.421	3	18	3	1532
0.421	3	11	3	1532
0.421	3	10	3	1532
0.421	3	9	3	1532
0.421	3	8	3	1532
0.421	3	7	3	1532
0.421	3	6	3	4027
0.422	1	7	3	1532
0.422	1	6	3	1532
0.422	1	5	3	1532
0.422	1	4	3	1532
0.422	1	3	3	1532
0.422	1	2	3	1532
0.422	1	1	3	1532
0.422	3	23	3	1532
0.422	3	22	3	1532
0.422	3	21	3	1532
0.422	3	20	3	1532
0.422	3	19	3	1532
0.422	3	18	3	1532
0.422	3	11	3	1532
0.422	3	10	3	1532
0.422	3	9	3	1532
0.422	3	8	3	1532
0.422	3	7	3	1532
0.422	3	6	3	4027
0.423	3	23	3	1532
0.423	3	22	3	1532
0.423	3	21	3	1532
0.423	3	20	3	1532
0.423	3	19	3	1532
0.423	3	18	3	1532
0.423	3	11	3	1532
0.423	3	10	3	1532
0.423	3	9	3	1532
0.423	3	8	3	1532
0.423	3	7	3	1532
0.428	1	7	3	4027
0.428	1	6	3	4027
0.428	1	5	3	8057
0.428	1	4	3	8057
0.428	1	3	3	8057
0.428	1	2	3	4815
0.428	1	1	3	8057
0.428	3	23	3	4027
0.428	3	22	3	4027
0.428	3	21	3	4027
0.428	3	20	3	4027
0.428	3	19	3	4027
0.428	3	18	3	3722
0.428	3	11	3	4027
0.428	3	10	3	4027
0.428	3	9	3	4027
0.428	3	8	3	4027
0.428	3	7	3	4027
0.429	1	7	3	6696
0.429	1	6	3	6696
0.429	1	5	3	2667
0.429	1	4	3	2667
0.429	1	3	3	2667
0.429	1	2	3	5909
0.429	1	1	3	2667
0.429	3	23	3	4027
0.429	3	22	3	4027
0.429	3	21	3	4027
0.429	3	20	3	4027
0.429	3	19	3	4027
0.429	3	18	3	4027
0.429	3	11	3	4027
0.429	3	10	3	4027
0.429	3	9	3	4027
0.429	3	8	3	4027
0.429	3	7	3	4027
0.429	3	6	3	4027
0.43	1	7	3	1532
0.43	1	6	3	1532
0.43	1	5	3	1532
0.43	1	4	3	1532
0.43	1	3	3	1532
0.43	1	2	3	1532
0.43	1	1	3	1532
0.43	3	23	3	2672
0.43	3	22	3	2672
0.43	3	21	3	2672
0.43	3	20	3	2672
0.43	3	19	3	2672
0.43	3	18	3	2977
0.43	3	11	3	2672
0.43	3	10	3	2672
0.43	3	9	3	2672
0.43	3	8	3	2672
0.43	3	7	3	2672
0.43	3	6	3	4027
0.431	1	7	3	1532
0.431	1	6	3	1532
0.431	1	5	3	1532
0.431	1	4	3	1532
0.431	1	3	3	1532
0.431	1	2	3	1532
0.431	1	1	3	1532
0.431	3	23	3	1532
0.431	3	22	3	1532
0.431	3	21	3	1532
0.431	3	20	3	1532
0.431	3	19	3	1532
0.431	3	18	3	1532
0.431	3	11	3	1532
0.431	3	10	3	1532
0.431	3	9	3	1532
0.431	3	8	3	1532
0.431	3	7	3	1532
0.431	3	6	3	4027
0.432	1	7	3	1532
0.432	1	6	3	1532
0.432	1	5	3	1532
0.432	1	4	3	1532
0.432	1	3	3	1532
0.432	1	2	3	1532
0.432	1	1	3	1532
0.432	3	23	3	1532
0.432	3	22	3	1532
0.432	3	21	3	1532
0.432	3	20	3	1532
0.432	3	19	3	1532
0.432	3	18	3	1532
0.432	3	11	3	1532
0.432	3	10	3	1532
0.432	3	9	3	1532
0.432	3	8	3	1532
0.432	3	7	3	1532
0.432	3	6	3	4027
0.433	1	7	3	1532
0.433	1	6	3	1532
0.433	1	5	3	1532
0.433	1	4	3	1532
0.433	1	3	3	1532
0.433	1	2	3	1532
0.433	1	1	3	1532
0.433	3	23	3	1532
0.433	3	22	3	1532
0.433	3	21	3	1532
0.433	3	20	3	1532
0.433	3	19	3	1532
0.433	3	18	3	1532
0.433	3	11	3	1532
0.433	3	10	3	1532
0.433	3	9	3	1532
0.433	3	8	3	1532
0.433	3	7	3	1532
0.433	3	6	3	4027
0.434	3	23	3	1532
0.434	3	22	3	1532
0.434	3	21	3	1532
0.434	3	20	3	1532
0.434	3	19	3	1532
0.434	3	18	3	1532
0.434	3	11	3	1532
0.434	3	10	3	1532
0.434	3	9	3	1532
0.434	3	8	3	1532
0.434	3	7	3	1532
0.434	3	6	3	4014
0.435	1	7	3	3064
0.435	1	6	3	3064
0.435	1	5	3	3064
0.435	1	4	3	3064
0.435	1	3	3	3064
0.435	1	2	3	3064
0.435	1	1	3	3064
0.435	3	23	3	1532
0.435	3	22	3	1532
0.435	3	21	3	1532
0.435	3	20	3	1532
0.435	3	19	3	1532
0.435	3	18	3	1532
0.435	3	11	3	1532
0.435	3	10	3	1532
0.435	3	9	3	1532
0.435	3	8	3	1532
0.435	3	7	3	1532
0.436	3	23	3	1532
0.436	3	22	3	1532
0.436	3	21	3	1532
0.436	3	20	3	1532
0.436	3	19	3	1532
0.436	3	18	3	1532
0.436	3	11	3	1532
0.436	3	10	3	1532
0.436	3	9	3	1532
0.436	3	8	3	1532
0.436	3	7	3	1532
0.436	3	6	3	3064
0.437	1	7	3	3064
0.437	1	6	3	3064
0.437	1	5	3	3064
0.437	1	4	3	3064
0.437	1	3	3	3064
0.437	1	2	3	3064
0.437	1	1	3	3064
0.437	3	23	3	1532
0.437	3	22	3	1532
0.437	3	21	3	1532
0.437	3	20	3	1532
0.437	3	19	3	1532
0.437	3	18	3	1532
0.437	3	11	3	1532
0.437	3	10	3	1532
0.437	3	9	3	1532
0.437	3	8	3	1532
0.437	3	7	3	1532
0.437	3	6	3	1532
0.438	1	7	3	1532
0.438	1	6	3	1532
0.438	1	5	3	1532
0.438	1	4	3	1532
0.438	1	3	3	1532
0.438	1	2	3	1532
0.438	1	1	3	1532
0.438	3	23	3	1532
0.438	3	22	3	1532
0.438	3	21	3	1532
0.438	3	20	3	1532
0.438	3	19	3	1532
0.438	3	18	3	1532
0.438	3	11	3	1532
0.438	3	10	3	1532
0.438	3	9	3	1532
0.438	3	8	3	1532
0.438	3	7	3	1532
0.438	3	6	3	1532
0.439	1	7	3	1532
0.439	1	6	3	1532
0.439	1	5	3	1532
0.439	1	4	3	1532
0.439	1	3	3	1532
0.439	1	2	3	1532
0.439	1	1	3	1532
0.44	1	7	3	1532
0.44	1	6	3	1532
0.44	1	5	3	1532
0.44	1	4	3	1532
0.44	1	3	3	1532
0.44	1	2	3	1532
0.44	1	1	3	1532
0.44	3	23	3	3064
0.44	3	22	3	3064
0.44	3	21	3	3064
