Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.413143	DL	41	3	0	1	1	1	0	7	114	0	1	0	33.512	15	0	0
0.413143	DL	41	3	0	1	1	3	0	23	114	0	1	0	27.9329	15	0	0
0.413214	DL	41	3	0	2	1	1	0	6	114	0	1	0	44.9052	15	0	0
0.413214	DL	41	3	0	2	1	3	0	22	114	0	1	0	52.668	15	0	0
0.413286	DL	41	3	0	3	1	3	0	21	114	0	1	0	33.4129	15	0	0
0.413357	DL	41	3	0	3	2	1	0	5	231	0	1	0	31.1986	15	0	0
0.413357	DL	41	3	0	4	1	3	0	20	114	0	1	0	28.3228	15	0	0
0.413429	DL	41	3	0	5	1	3	0	19	114	0	1	0	51.4241	15	0	0
0.4135	DL	41	3	0	5	2	1	0	4	231	0	1	0	52.6637	15	0	0
0.4135	DL	41	3	0	6	1	3	0	18	114	0	1	0	30.6984	15	0	0
0.413571	DL	41	3	0	7	1	3	0	11	114	0	1	0	41.8424	15	0	0
0.413643	DL	41	3	0	7	2	1	0	3	231	0	1	0	39.7654	15	0	0
0.413643	DL	41	3	0	8	1	3	0	10	114	0	1	0	33.9118	15	0	0
0.413714	DL	41	3	0	9	1	3	0	9	114	0	1	0	31.2023	15	0	0
0.413786	DL	41	3	0	9	2	1	0	2	231	0	1	0	26.3899	15	0	0
0.413786	DL	41	3	0	10	1	3	0	8	114	0	1	0	33.7423	15	0	0
0.413857	DL	41	3	0	11	1	3	0	7	114	0	1	0	37.8828	15	0	0
0.413929	DL	41	3	0	11	2	1	0	1	231	0	1	0	47.1438	15	0	0
0.414143	DL	41	4	0	1	1	1	0	7	114	0	1	0	33.0204	15	0	0
0.414143	DL	41	4	0	1	1	3	0	23	114	0	1	0	28.0197	15	0	0
0.414214	DL	41	4	0	2	1	1	0	6	114	0	1	0	44.8598	15	0	0
0.414214	DL	41	4	0	2	1	3	0	22	114	0	1	0	52.1529	15	0	0
