Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	2	-104.416
0.0179286	1	0	3	-101.495
0.0179286	3	0	4	-116.828
0.0179286	3	0	5	-96.6578
0.0179286	3	0	6	-107.124
0.0179286	3	0	7	-106.098
0.0179286	3	0	8	-107.146
0.0179286	3	0	9	-101.692
0.0179286	3	0	10	-106.887
0.0179286	3	0	11	-101.936
0.0179286	3	0	12	-112.179
0.0179286	3	0	13	-99.6124
0.0179286	1	0	14	-99.0328
0.0179286	3	0	15	-106.772
0.0179286	1	0	16	-96.8409
0.0179286	1	0	17	-109.351
0.0179286	1	0	18	-108.455
0.0179286	3	0	19	-94.4599
0.0179286	1	0	20	-106.754
0.0179286	3	0	21	-95.6853
0.0179286	3	0	22	-114.391
0.0179286	3	0	23	-98.6588
0.0179286	3	0	24	-93.8941
0.0179286	3	0	25	-102.854
0.0258571	3	0	9	-101.701
0.0258571	1	0	16	-96.4236
0.0259286	3	0	19	-94.4258
0.0259286	3	0	21	-95.1006
0.0259286	3	0	22	-114.956
0.0259286	3	0	23	-99.5545
0.0259286	3	0	24	-93.394
0.0259286	3	0	25	-103.244
0.0308571	3	0	10	-106.559
0.0348571	1	0	20	-106.987
0.0368571	1	0	14	-100.604
0.0378571	3	0	13	-100.112
0.0388571	1	0	17	-109.492
0.0418571	3	0	23	-99.1969
0.0438571	3	0	25	-103.523
0.0588571	1	0	2	-104.116
0.0648571	1	0	3	-102.047
0.0758571	3	0	21	-95.5875
0.0768571	3	0	12	-112.061
0.0788571	3	0	6	-108.678
0.0798571	3	0	24	-93.0388
0.0818571	3	0	7	-106.149
0.0848571	3	0	11	-100.409
0.0868571	3	0	15	-109.274
0.0938571	3	0	4	-117.344
0.0948571	3	0	19	-93.5646
0.0958571	1	0	18	-108.927
0.0998571	3	0	5	-94.7304
0.102857	3	0	8	-106.087
0.105857	3	0	9	-101.383
0.105857	1	0	16	-94.2039
0.107857	3	0	22	-113.722
0.110857	3	0	10	-107.379
0.114857	1	0	20	-104.973
0.116857	1	0	14	-103.261
0.117857	3	0	13	-100.917
0.118857	1	0	17	-108.56
0.121857	3	0	23	-99.6412
0.123857	3	0	25	-104.739
0.138857	1	0	2	-103.162
