time(s)	cellId	rnti	lcid	packetSize
0.410003	1	1	3	1530
0.410004	1	2	3	1530
0.410005	3	1	3	1530
0.410006	3	2	3	1530
0.410008	3	3	3	1530
0.410009	3	4	3	1530
0.41001	3	5	3	1530
0.410011	3	6	3	1530
0.410013	3	7	3	1530
0.410014	3	8	3	1530
0.410015	3	9	3	1530
0.410016	3	10	3	1530
0.410018	1	3	3	1530
0.410019	3	11	3	1530
0.41002	1	4	3	1530
0.410021	1	5	3	1530
0.410023	1	6	3	1530
0.410024	3	12	3	1530
0.410025	1	7	3	1530
0.410026	3	18	3	1530
0.410028	3	19	3	1530
0.410029	3	20	3	1530
0.41003	3	21	3	1530
0.410032	3	22	3	1530
0.411003	1	1	3	1530
0.411004	1	2	3	1530
0.411005	3	1	3	1530
0.411006	3	2	3	1530
0.411008	3	3	3	1530
0.411009	3	4	3	1530
0.41101	3	5	3	1530
0.411011	3	6	3	1530
0.411013	3	7	3	1530
0.411014	3	8	3	1530
0.411015	3	9	3	1530
0.411016	3	10	3	1530
0.411018	1	3	3	1530
0.411019	3	11	3	1530
0.41102	1	4	3	1530
0.411021	1	5	3	1530
0.411023	1	6	3	1530
0.411024	3	12	3	1530
0.411025	1	7	3	1530
0.411026	3	18	3	1530
0.411028	3	19	3	1530
0.411029	3	20	3	1530
0.41103	3	21	3	1530
0.411032	3	22	3	1530
0.412003	1	1	3	1530
0.412004	1	2	3	1530
0.412005	3	1	3	1530
0.412006	3	2	3	1530
0.412008	3	3	3	1530
0.412009	3	4	3	1530
0.41201	3	5	3	1530
0.412011	3	6	3	1530
0.412013	3	7	3	1530
0.412014	3	8	3	1530
0.412015	3	9	3	1530
0.412016	3	10	3	1530
0.412018	1	3	3	1530
0.412019	3	11	3	1530
0.41202	1	4	3	1530
0.412021	1	5	3	1530
0.412023	1	6	3	1530
0.412024	3	12	3	1530
0.412025	1	7	3	1530
0.412026	3	18	3	1530
0.412028	3	19	3	1530
0.412029	3	20	3	1530
