Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0	gNB PHY Txed	0	0	0	3	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.005	gNB PHY Txed	0	5	0	3	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.01	gNB PHY Txed	1	0	0	3	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.015	gNB PHY Txed	1	5	0	3	0	0	SIB1
0.02	gNB PHY Txed	2	0	0	1	0	0	RAR
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.02	gNB PHY Txed	2	0	0	3	0	0	RAR
0.02	gNB PHY Txed	2	0	0	3	0	0	MIB
0.023	gNB PHY Txed	2	3	0	1	0	0	UL_UCI
0.024	gNB PHY Txed	2	4	0	3	0	0	UL_UCI
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	3	0	0	SIB1
0.028	gNB PHY Txed	2	8	0	3	0	0	RAR
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.03	gNB PHY Txed	3	0	0	3	0	0	MIB
0.032	gNB PHY Txed	3	2	0	1	0	0	UL_UCI
0.033	gNB PHY Txed	3	3	0	3	0	0	UL_UCI
0.034	gNB PHY Txed	3	4	0	1	0	0	UL_UCI
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.035	gNB PHY Txed	3	5	0	3	0	0	SIB1
0.036	gNB PHY Txed	3	6	0	1	0	0	UL_UCI
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.04	gNB PHY Txed	4	0	0	3	0	0	MIB
0.041	gNB PHY Txed	4	1	0	3	0	0	UL_UCI
0.045	gNB PHY Txed	4	5	0	1	0	0	SIB1
0.045	gNB PHY Txed	4	5	0	3	0	0	SIB1
0.047	gNB PHY Txed	4	7	0	3	0	0	UL_UCI
0.05	gNB PHY Txed	5	0	0	1	0	0	MIB
0.05	gNB PHY Txed	5	0	0	3	0	0	MIB
0.053	gNB PHY Txed	5	3	0	3	0	0	UL_UCI
0.055	gNB PHY Txed	5	5	0	1	0	0	SIB1
0.055	gNB PHY Txed	5	5	0	3	0	0	SIB1
0.056	gNB PHY Txed	5	6	0	1	0	0	UL_UCI
0.057	gNB PHY Txed	5	7	0	3	0	0	UL_UCI
0.059	gNB PHY Txed	5	9	0	3	0	0	UL_UCI
0.06	gNB PHY Txed	6	0	0	1	0	0	MIB
0.06	gNB PHY Txed	6	0	0	3	0	0	MIB
0.062	gNB PHY Txed	6	2	0	1	0	0	UL_UCI
0.063	gNB PHY Txed	6	3	0	3	0	0	UL_UCI
0.065	gNB PHY Txed	6	5	0	1	0	0	SIB1
0.065	gNB PHY Txed	6	5	0	3	0	0	SIB1
0.07	gNB PHY Txed	7	0	0	1	0	0	MIB
0.07	gNB PHY Txed	7	0	0	3	0	0	MIB
0.071	gNB PHY Txed	7	1	0	3	0	0	UL_UCI
0.073	gNB PHY Txed	7	3	0	3	0	0	UL_UCI
0.075	gNB PHY Txed	7	5	0	1	0	0	SIB1
0.075	gNB PHY Txed	7	5	0	3	0	0	SIB1
0.079	gNB PHY Txed	7	9	0	3	0	0	UL_UCI
0.08	gNB PHY Txed	8	0	0	1	0	0	MIB
0.08	gNB PHY Txed	8	0	0	3	0	0	MIB
0.082	gNB PHY Txed	8	2	0	3	0	0	UL_UCI
0.083	gNB PHY Txed	8	3	0	3	0	0	UL_UCI
