Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	35.7926
7.1427e-05	1	0	0	31.675
7.1427e-05	1	0	0	44.0288
7.1427e-05	1	0	0	51.3857
7.1427e-05	1	0	0	35.036
7.1427e-05	1	0	0	53.9236
7.1427e-05	1	0	0	47.8174
7.1427e-05	1	0	0	32.1661
7.1427e-05	1	0	0	49.8618
7.1427e-05	1	0	0	44.9454
7.1427e-05	1	0	0	34.4362
7.1427e-05	1	0	0	48.2257
7.1427e-05	1	0	0	47.0605
7.1427e-05	1	0	0	36.6816
7.1427e-05	1	0	0	33.0961
7.1427e-05	1	0	0	42.7006
7.1427e-05	1	0	0	39.2066
7.1427e-05	1	0	0	50.92
7.1427e-05	1	0	0	33.7338
7.1427e-05	1	0	0	44.1847
0.00507143	1	0	0	32.1765
0.00507143	1	0	0	37.3243
0.00507143	1	0	0	38.1092
0.00507143	1	0	0	50.2809
0.00507143	1	0	0	47.3269
0.00507143	1	0	0	47.2315
0.00507143	1	0	0	52.3697
0.00507143	1	0	0	38.345
0.00507143	1	0	0	34.4097
0.00507143	1	0	0	37.1785
0.00507143	1	0	0	40.9331
0.00507143	1	0	0	40.1939
0.00507143	1	0	0	46.5178
0.00507143	1	0	0	35.2562
0.00507143	1	0	0	32.0245
0.00507143	1	0	0	43.3733
0.00507143	1	0	0	40.0883
0.00507143	1	0	0	48.8352
0.00507143	1	0	0	44.1796
0.00507143	1	0	0	47.6996
0.0100714	1	0	0	31.5651
0.0100714	1	0	0	36.8144
0.0100714	1	0	0	38.3784
0.0100714	1	0	0	50.8727
0.0100714	1	0	0	46.8728
0.0100714	1	0	0	46.8157
0.0100714	1	0	0	52.4226
0.0100714	1	0	0	38.093
0.0100714	1	0	0	34.6606
0.0100714	1	0	0	37.1575
0.0100714	1	0	0	40.5081
0.0100714	1	0	0	40.5517
0.0100714	1	0	0	46.3411
0.0100714	1	0	0	35.1432
0.0100714	1	0	0	32.0716
0.0100714	1	0	0	43.0335
0.0100714	1	0	0	40.1793
0.0100714	1	0	0	48.7128
0.0100714	1	0	0	44.8512
0.0100714	1	0	0	47.462
0.0150714	1	0	0	31.1552
0.0150714	1	0	0	36.8054
0.0150714	1	0	0	38.3007
0.0150714	1	0	0	51.3097
0.0150714	1	0	0	46.1783
0.0150714	1	0	0	46.5776
0.0150714	1	0	0	51.591
0.0150714	1	0	0	38.3501
0.0150714	1	0	0	35.1568
0.0150714	1	0	0	37.1265
0.0150714	1	0	0	40.4408
0.0150714	1	0	0	40.6285
0.0150714	1	0	0	46.4269
0.0150714	1	0	0	34.9162
0.0150714	1	0	0	33.0742
0.0150714	1	0	0	42.8258
0.0150714	1	0	0	40.1376
0.0150714	1	0	0	48.0053
0.0150714	1	0	0	44.409
0.0150714	1	0	0	47.3349
0.0200714	1	0	0	31.7224
0.0200714	1	0	0	36.8915
0.0200714	1	0	0	38.2134
0.0200714	1	0	0	51.2448
0.0200714	1	0	0	46.022
0.0200714	1	0	0	46.5857
0.0200714	1	0	0	51.198
0.0200714	1	0	0	38.6845
0.0200714	1	0	0	35.6715
0.0200714	1	0	0	37.1487
0.0200714	1	0	0	40.4657
0.0200714	1	0	0	40.2647
0.0200714	1	0	0	46.3364
0.0200714	1	0	0	34.6284
0.0200714	1	0	0	33.0895
0.0200714	1	0	0	42.6517
0.0200714	1	0	0	39.7472
0.0200714	1	0	0	48.2213
0.0200714	1	0	0	43.8535
0.0200714	1	0	0	47.387
0.0230714	1	1	0	30.6866
0.0230714	1	2	0	36.9242
0.0230714	1	3	0	38.476
0.0230714	1	4	0	51.6025
0.0230714	1	5	0	45.9383
0.0230714	1	6	0	46.2789
0.0230714	1	7	0	51.1025
0.0230714	1	8	0	38.9745
0.0230714	1	9	0	35.9596
0.0230714	1	10	0	37.1363
0.0230714	1	11	0	40.4083
0.0230714	1	12	0	40.1056
0.0230714	1	0	0	46.1534
0.0230714	1	0	0	34.9767
0.0230714	1	0	0	33.0425
0.0230714	1	0	0	42.2399
0.0230714	1	0	0	39.893
0.0230714	1	0	0	48.0357
0.0230714	1	0	0	43.983
0.0230714	1	0	0	47.1945
0.0240714	1	1	0	33.0208
0.0240714	1	2	0	36.9793
0.0240714	1	3	0	38.5731
0.0240714	1	4	0	51.7164
0.0240714	1	5	0	45.9547
0.0240714	1	6	0	46.2668
0.0240714	1	7	0	50.5385
0.0240714	1	8	0	39.2246
0.0240714	1	9	0	35.5955
0.0240714	1	10	0	37.2308
0.0240714	1	11	0	40.1836
0.0240714	1	12	0	40.0831
0.0240714	1	0	0	46.2046
0.0240714	1	0	0	35.1574
0.0240714	1	0	0	32.8607
0.0240714	1	0	0	42.3534
0.0240714	1	0	0	39.9434
0.0240714	1	0	0	48.0056
0.0240714	1	0	0	44.0274
0.0240714	1	0	0	47.2562
0.0250714	1	1	0	32.6754
0.0250714	1	2	0	37.16
0.0250714	1	3	0	38.4168
0.0250714	1	4	0	51.7705
0.0250714	1	5	0	46.0014
0.0250714	1	6	0	46.1498
0.0250714	1	7	0	51.2926
0.0250714	1	8	0	39.2755
0.0250714	1	9	0	35.4115
0.0250714	1	10	0	37.2597
0.0250714	1	11	0	40.0582
0.0250714	1	12	0	40.048
0.0250714	1	0	0	46.2622
0.0250714	1	0	0	35.0698
0.0250714	1	0	0	32.378
0.0250714	1	0	0	42.2224
0.0250714	1	0	0	40.103
0.0250714	1	0	0	48.3295
0.0250714	1	0	0	44.4293
0.0250714	1	0	0	47.3814
0.0280714	1	1	0	32.3147
0.0280714	1	2	0	36.9634
0.0280714	1	3	0	38.0839
0.0280714	1	4	0	51.7795
0.0280714	1	5	0	45.9514
0.0280714	1	6	0	45.7866
0.0280714	1	7	0	51.5551
0.0280714	1	8	0	39.17
0.0280714	1	9	0	35.6911
0.0280714	1	10	0	37.0874
0.0280714	1	11	0	40.1857
0.0280714	1	12	0	40.1887
0.0280714	1	0	0	46.1831
0.0280714	1	0	0	35.233
0.0280714	1	0	0	32.5388
0.0280714	1	0	0	42.3448
0.0280714	1	0	0	40.049
0.0280714	1	0	0	48.5785
0.0280714	1	0	0	43.9867
0.0280714	1	0	0	47.4687
0.0300714	1	1	0	33.4732
0.0300714	1	2	0	37.0518
0.0300714	1	3	0	38.0773
0.0300714	1	4	0	51.97
0.0300714	1	5	0	45.9994
0.0300714	1	6	0	45.7333
0.0300714	1	7	0	51.8857
