Time	CellId	RNTI	BWPId	SINR(dB)
0.413143	1	28	0	65.4604
0.413214	1	27	0	59.0121
0.413286	1	26	0	55.3869
0.413357	1	25	0	63.5467
0.413429	1	24	0	66.2595
0.4135	1	23	0	53.5765
0.413571	1	22	0	52.6087
0.413643	1	21	0	61.1533
0.413714	1	12	0	60.4763
0.413786	1	11	0	59.714
0.413857	1	10	0	51.7034
0.413929	1	9	0	58.3476
0.414143	1	28	0	65.5016
0.414214	1	27	0	59.0501
0.414286	1	26	0	55.4684
0.414357	1	25	0	63.7012
0.414429	1	24	0	66.3534
0.4145	1	23	0	53.448
0.414571	1	22	0	52.847
0.414643	1	21	0	61.3556
0.414714	1	12	0	60.3887
0.414786	1	11	0	59.4683
0.414857	1	10	0	51.6469
0.415143	1	28	0	65.5457
0.415214	1	27	0	58.856
0.415286	1	26	0	55.429
0.415357	1	25	0	63.7846
0.415429	1	24	0	66.2417
0.4155	1	23	0	53.5068
0.415571	1	22	0	53.0467
0.415643	1	21	0	61.3457
0.415714	1	12	0	60.1773
0.415786	1	11	0	59.3639
0.415857	1	10	0	51.6281
0.416143	1	28	0	65.4874
0.416214	1	27	0	58.8545
0.416286	1	26	0	55.4311
0.416357	1	25	0	63.6775
0.416429	1	24	0	66.2934
0.4165	1	23	0	53.4767
0.416571	1	22	0	52.899
0.416643	1	21	0	61.4813
0.416714	1	12	0	60.2758
0.416786	1	11	0	59.535
0.416857	1	10	0	51.6707
0.416929	1	9	0	58.2124
0.417143	1	28	0	65.3366
0.417214	1	27	0	58.7641
0.417286	1	26	0	55.6604
0.417357	1	25	0	63.7581
0.417429	1	24	0	66.2681
0.4175	1	23	0	53.2958
0.417571	1	22	0	52.6118
0.417643	1	21	0	61.6481
0.417714	1	12	0	60.2673
0.417786	1	11	0	59.7792
0.417857	1	10	0	51.7749
0.417929	1	9	0	58.2239
0.418143	1	28	0	65.1748
0.418214	1	27	0	58.6404
0.418286	1	26	0	55.591
0.418357	1	25	0	63.766
0.418429	1	24	0	66.0356
0.4185	1	23	0	53.4274
0.418571	1	22	0	52.7895
0.418643	1	21	0	61.6488
0.418714	1	12	0	60.2427
0.418786	1	11	0	60.0286
0.418857	1	10	0	51.8781
0.419143	1	28	0	65.1747
0.419214	1	27	0	58.6658
0.419286	1	26	0	55.5578
0.419357	1	25	0	63.9722
0.419429	1	24	0	66.157
0.4195	1	23	0	53.5966
0.419571	1	22	0	52.5735
0.419643	1	21	0	61.4523
0.419714	1	12	0	60.2749
0.419786	1	11	0	59.9955
0.419857	1	10	0	51.7743
0.419929	1	9	0	58.5057
0.420143	1	28	0	65.2842
0.420214	1	27	0	58.7706
0.420286	1	26	0	55.7958
0.420357	1	25	0	63.7069
0.420429	1	24	0	65.9858
0.4205	1	23	0	53.9902
0.420571	1	22	0	52.6053
0.420643	1	21	0	61.2936
0.420714	1	12	0	60.6192
0.420786	1	11	0	59.8216
0.420857	1	10	0	51.5776
0.421143	1	28	0	65.2067
0.421214	1	27	0	58.8437
0.421286	1	26	0	55.9262
0.421357	1	25	0	63.592
0.421429	1	24	0	65.9931
0.4215	1	23	0	53.8494
