% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.781	1	0	0	5	78	3	0	1	1	15	1	0	0	114
0.781	1	0	0	28	78	3	0	2	1	15	1	0	0	114
0.781	1	0	0	22	78	3	0	3	1	15	1	0	0	114
0.781	1	0	0	12	78	3	0	4	1	15	1	0	0	114
0.781	1	0	0	11	78	3	0	5	1	15	1	0	0	114
0.781	1	0	0	10	78	3	0	6	1	15	1	0	0	114
0.781	1	0	0	4	78	3	0	7	1	15	1	0	0	114
0.781	1	0	0	3	78	3	0	8	1	15	1	0	0	114
0.781	1	0	0	1	78	3	0	9	1	15	1	0	0	114
0.781	1	0	0	26	78	3	0	10	1	15	1	0	0	114
0.781	1	0	0	24	78	3	0	11	1	15	1	0	0	114
0.782	1	0	0	5	78	4	0	1	1	14	1	0	0	114
0.782	1	0	0	28	78	4	0	2	1	14	1	0	0	114
0.782	1	0	0	22	78	4	0	3	1	14	1	0	0	114
0.782	1	0	0	12	78	4	0	4	1	14	1	0	0	114
0.782	1	0	0	11	78	4	0	5	1	14	1	0	0	114
0.782	1	0	0	10	78	4	0	6	1	14	1	0	0	114
0.782	1	0	0	4	78	4	0	7	1	14	1	0	0	114
0.782	1	0	0	3	78	4	0	8	1	14	1	0	0	114
0.782	1	0	0	1	78	4	0	9	1	14	1	0	0	114
0.782	1	0	0	26	78	4	0	10	1	14	1	0	0	114
0.782	1	0	0	24	78	4	0	11	1	14	1	0	0	114
0.783	1	0	0	5	78	5	0	1	1	13	1	0	0	114
0.783	1	0	0	28	78	5	0	2	1	13	1	0	0	114
0.783	1	0	0	22	78	5	0	3	1	13	1	0	0	114
0.783	1	0	0	12	78	5	0	4	1	13	1	0	0	114
0.783	1	0	0	11	78	5	0	5	1	13	1	0	0	114
0.783	1	0	0	10	78	5	0	6	1	13	1	0	0	114
0.783	1	0	0	4	78	5	0	7	1	13	1	0	0	114
0.783	1	0	0	3	78	5	0	8	1	13	1	0	0	114
0.783	1	0	0	1	78	5	0	9	1	13	1	0	0	114
0.783	1	0	0	26	78	5	0	10	1	13	1	0	0	114
0.783	1	0	0	24	78	5	0	11	1	13	1	0	0	114
0.783	1	0	0	23	78	5	0	12	1	15	1	0	0	114
0.784	1	0	0	5	78	6	0	1	1	12	1	0	0	114
0.784	1	0	0	28	78	6	0	2	1	12	1	0	0	114
0.784	1	0	0	22	78	6	0	3	1	12	1	0	0	114
0.784	1	0	0	11	78	6	0	4	1	12	1	0	0	114
0.784	1	0	0	12	78	6	0	5	1	12	1	0	0	114
0.784	1	0	0	10	78	6	0	6	1	12	1	0	0	114
0.784	1	0	0	4	78	6	0	7	1	12	1	0	0	114
0.784	1	0	0	3	78	6	0	8	1	12	1	0	0	114
0.784	1	0	0	1	78	6	0	9	1	12	1	0	0	114
0.784	1	0	0	26	78	6	0	10	1	12	1	0	0	114
0.784	1	0	0	24	78	6	0	11	1	12	1	0	0	114
