time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.419243	1	28	3	1054	0.0092244
0.419243	1	28	3	1054	0.0082244
0.419243	1	28	3	1054	0.0072244
0.419243	1	28	3	1054	0.0062244
0.419314	1	27	3	1054	0.0092967
0.419314	1	27	3	1054	0.0082967
0.419314	1	27	3	1054	0.0072967
0.419314	1	27	3	1054	0.0062967
0.419386	1	26	3	1054	0.009369
0.419386	1	26	3	1054	0.008369
0.419386	1	26	3	1054	0.007369
0.419386	1	26	3	1054	0.006369
0.419457	1	25	3	1054	0.00944131
0.419457	1	25	3	1054	0.00844131
0.419457	1	25	3	1054	0.00744131
0.419457	1	25	3	1054	0.00644131
0.419529	1	24	3	1054	0.00951361
0.419529	1	24	3	1054	0.00851361
0.419529	1	24	3	1054	0.00751361
0.419529	1	24	3	1054	0.00651361
0.4196	1	23	3	1054	0.00958591
0.4196	1	23	3	1054	0.00858591
0.4196	1	23	3	1054	0.00758591
0.4196	1	23	3	1054	0.00658591
0.419671	1	22	3	1054	0.00965821
0.419671	1	22	3	1054	0.00865821
0.419671	1	22	3	1054	0.00765821
0.419671	1	22	3	1054	0.00665821
0.419743	1	21	3	1054	0.00973052
0.419743	1	21	3	1054	0.00873052
0.419743	1	21	3	1054	0.00773052
0.419743	1	21	3	1054	0.00673052
0.419814	1	12	3	1054	0.00980282
0.419814	1	12	3	1054	0.00880282
0.419814	1	12	3	1054	0.00780282
0.419814	1	12	3	1054	0.00680282
0.419886	1	11	3	1054	0.00987512
0.419886	1	11	3	1054	0.00887512
0.419886	1	11	3	1054	0.00787512
0.419886	1	11	3	1054	0.00687512
0.419957	1	10	3	1054	0.00994743
0.419957	1	10	3	1054	0.00894743
0.419957	1	10	3	1054	0.00794743
0.419957	1	10	3	1054	0.00694743
0.420029	1	9	3	1054	0.0100197
0.420029	1	9	3	1054	0.00901973
0.420029	1	9	3	1054	0.00801973
0.420029	1	9	3	1054	0.00701973
0.420243	1	28	3	1054	0.0062244
0.420243	1	28	3	1054	0.0052244
0.420243	1	28	3	1054	0.0042244
0.420243	1	28	3	1054	0.0032244
0.420314	1	27	3	1054	0.0062967
0.420314	1	27	3	1054	0.0052967
0.420314	1	27	3	1054	0.0042967
0.420314	1	27	3	1054	0.0032967
0.420386	1	26	3	1054	0.006369
0.420386	1	26	3	1054	0.005369
0.420386	1	26	3	1054	0.004369
0.420386	1	26	3	1054	0.003369
0.420457	1	25	3	1054	0.00644131
0.420457	1	25	3	1054	0.00544131
0.420457	1	25	3	1054	0.00444131
0.420457	1	25	3	1054	0.00344131
0.420529	1	24	3	1054	0.00651361
0.420529	1	24	3	1054	0.00551361
0.420529	1	24	3	1054	0.00451361
0.420529	1	24	3	1054	0.00351361
0.4206	1	23	3	1054	0.00658591
0.4206	1	23	3	1054	0.00558591
0.4206	1	23	3	1054	0.00458591
0.4206	1	23	3	1054	0.00358591
0.420671	1	22	3	1054	0.00665821
0.420671	1	22	3	1054	0.00565821
0.420671	1	22	3	1054	0.00465821
0.420671	1	22	3	1054	0.00365821
0.420743	1	21	3	1054	0.00673052
0.420743	1	21	3	1054	0.00573052
0.420743	1	21	3	1054	0.00473052
0.420743	1	21	3	1054	0.00373052
0.420814	1	12	3	1054	0.00680282
0.420814	1	12	3	1054	0.00580282
0.420814	1	12	3	1054	0.00480282
0.420814	1	12	3	1054	0.00380282
0.420886	1	11	3	1054	0.00687512
0.420886	1	11	3	1054	0.00587512
0.420886	1	11	3	1054	0.00487512
0.420886	1	11	3	1054	0.00387512
0.420957	1	10	3	1054	0.00694743
0.420957	1	10	3	1054	0.00594743
0.420957	1	10	3	1054	0.00494743
0.420957	1	10	3	1054	0.00394743
0.421243	1	28	3	1054	0.0032244
0.421314	1	27	3	1054	0.0032967
0.421386	1	26	3	1054	0.003369
0.421457	1	25	3	1054	0.00344131
0.421529	1	24	3	1054	0.00351361
0.4216	1	23	3	1054	0.00358591
0.421671	1	22	3	1054	0.00365821
0.421743	1	21	3	1054	0.00373052
0.421814	1	12	3	1054	0.00380282
0.421886	1	11	3	1054	0.00387512
0.421957	1	10	3	1054	0.00394743
0.422029	1	9	3	1054	0.00801973
0.422029	1	9	3	1054	0.00701973
0.422029	1	9	3	1054	0.00601973
0.422243	1	28	3	1054	0.0032244
0.422314	1	27	3	1054	0.0032967
0.422386	1	26	3	1054	0.003369
0.422457	1	25	3	1054	0.00344131
0.422529	1	24	3	1054	0.00351361
0.4226	1	23	3	1054	0.00358591
0.422671	1	22	3	1054	0.00365821
0.422743	1	21	3	1054	0.00373052
0.422814	1	12	3	1054	0.00380282
0.422886	1	11	3	1054	0.00387512
0.422957	1	10	3	1054	0.00394743
0.423029	1	9	3	1054	0.00601973
0.423029	1	9	3	1054	0.00501973
0.423029	1	9	3	1054	0.00401973
0.423243	1	28	3	1054	0.0032244
0.423314	1	27	3	1054	0.0032967
0.423386	1	26	3	1054	0.003369
0.423457	1	25	3	1054	0.00344131
0.423529	1	24	3	1054	0.00351361
0.4236	1	23	3	1054	0.00358591
0.423671	1	22	3	1054	0.00365821
0.423743	1	21	3	1054	0.00373052
0.423814	1	12	3	1054	0.00380282
0.423886	1	11	3	1054	0.00387512
0.423957	1	10	3	1054	0.00394743
0.424029	1	9	3	1054	0.00401973
0.424243	1	28	3	1054	0.0032244
0.424314	1	27	3	1054	0.0032967
0.424386	1	26	3	1054	0.003369
0.424457	1	25	3	1054	0.00344131
0.424529	1	24	3	1054	0.00351361
0.4246	1	23	3	1054	0.00358591
0.424671	1	22	3	1054	0.00365821
0.424743	1	21	3	1054	0.00373052
0.424814	1	12	3	1054	0.00380282
0.424886	1	11	3	1054	0.00387512
0.424957	1	10	3	1054	0.00394743
0.425029	1	9	3	1054	0.00401973
0.425243	1	28	3	1054	0.0032244
0.425314	1	27	3	1054	0.0032967
0.425386	1	26	3	1054	0.003369
0.425457	1	25	3	1054	0.00344131
0.425529	1	24	3	1054	0.00351361
0.4256	1	23	3	1054	0.00358591
0.425671	1	22	3	1054	0.00365821
0.425743	1	21	3	1054	0.00373052
0.425814	1	12	3	1054	0.00380282
0.425886	1	11	3	1054	0.00387512
0.425957	1	10	3	1054	0.00394743
0.426243	1	28	3	1054	0.0032244
0.426314	1	27	3	1054	0.0032967
0.426386	1	26	3	1054	0.003369
0.426457	1	25	3	1054	0.00344131
0.426529	1	24	3	1054	0.00351361
0.4266	1	23	3	1054	0.00358591
0.426671	1	22	3	1054	0.00365821
0.426743	1	21	3	1054	0.00373052
0.426814	1	12	3	1054	0.00380282
0.426886	1	11	3	1054	0.00387512
0.426957	1	10	3	1054	0.00394743
0.427029	1	9	3	1054	0.00501973
0.427029	1	9	3	1054	0.00401973
0.427243	1	28	3	1054	0.0032244
0.427314	1	27	3	1054	0.0032967
0.427386	1	26	3	1054	0.003369
0.427457	1	25	3	1054	0.00344131
0.427529	1	24	3	1054	0.00351361
0.4276	1	23	3	1054	0.00358591
0.427671	1	22	3	1054	0.00365821
0.427743	1	21	3	1054	0.00373052
0.427814	1	12	3	1054	0.00380282
0.427886	1	11	3	1054	0.00387512
0.427957	1	10	3	1054	0.00394743
0.428029	1	9	3	1054	0.00401973
0.428243	1	28	3	1054	0.0032244
0.428314	1	27	3	1054	0.0032967
0.428386	1	26	3	1054	0.003369
0.428457	1	25	3	1054	0.00344131
0.428529	1	24	3	1054	0.00351361
0.4286	1	23	3	1054	0.00358591
0.428671	1	22	3	1054	0.00365821
0.428743	1	21	3	1054	0.00373052
0.428814	1	12	3	1054	0.00380282
0.428886	1	11	3	1054	0.00387512
0.428957	1	10	3	1054	0.00394743
0.429029	1	9	3	1054	0.00401973
0.429243	1	28	3	1054	0.0032244
0.429314	1	27	3	1054	0.0032967
0.429386	1	26	3	1054	0.003369
0.429457	1	25	3	1054	0.00344131
0.429529	1	24	3	1054	0.00351361
0.4296	1	23	3	1054	0.00358591
0.429671	1	22	3	1054	0.00365821
0.429743	1	21	3	1054	0.00373052
0.429814	1	12	3	1054	0.00380282
0.429886	1	11	3	1054	0.00387512
0.429957	1	10	3	1054	0.00394743
0.430029	1	9	3	1054	0.00401973
0.430243	1	28	3	1054	0.0032244
0.430314	1	27	3	1054	0.0032967
0.430386	1	26	3	1054	0.003369
0.430457	1	25	3	1054	0.00344131
0.430529	1	24	3	1054	0.00351361
0.4306	1	23	3	1054	0.00358591
0.430671	1	22	3	1054	0.00365821
0.430743	1	21	3	1054	0.00373052
0.430814	1	12	3	1054	0.00380282
0.430886	1	11	3	1054	0.00387512
0.430957	1	10	3	1054	0.00394743
0.431029	1	9	3	1054	0.00401973
0.431243	1	28	3	1054	0.0032244
0.431314	1	27	3	1054	0.0032967
0.431386	1	26	3	1054	0.003369
0.431457	1	25	3	1054	0.00344131
0.431529	1	24	3	1054	0.00351361
0.4316	1	23	3	1054	0.00358591
0.431671	1	22	3	1054	0.00365821
0.431743	1	21	3	1054	0.00373052
0.431814	1	12	3	1054	0.00380282
0.431886	1	11	3	1054	0.00387512
0.431957	1	10	3	1054	0.00394743
0.432029	1	9	3	1054	0.00401973
0.432243	1	28	3	1054	0.0032244
0.432314	1	27	3	1054	0.0032967
0.432386	1	26	3	1054	0.003369
0.432457	1	25	3	1054	0.00344131
0.432529	1	24	3	1054	0.00351361
0.4326	1	23	3	1054	0.00358591
0.432671	1	22	3	1054	0.00365821
0.432743	1	21	3	1054	0.00373052
0.432814	1	12	3	1054	0.00380282
0.432886	1	11	3	1054	0.00387512
0.432957	1	10	3	1054	0.00394743
0.433029	1	9	3	1054	0.00401973
0.433243	1	28	3	1054	0.0032244
0.433314	1	27	3	1054	0.0032967
0.433386	1	26	3	1054	0.003369
0.433457	1	25	3	1054	0.00344131
0.433529	1	24	3	1054	0.00351361
0.4336	1	23	3	1054	0.00358591
0.433671	1	22	3	1054	0.00365821
0.433743	1	21	3	1054	0.00373052
0.433814	1	12	3	1054	0.00380282
0.433886	1	11	3	1054	0.00387512
0.433957	1	10	3	1054	0.00394743
0.434029	1	9	3	1054	0.00401973
0.434243	1	28	3	1054	0.0032244
0.434314	1	27	3	1054	0.0032967
0.434386	1	26	3	1054	0.003369
0.434457	1	25	3	1054	0.00344131
0.434529	1	24	3	1054	0.00351361
0.4346	1	23	3	1054	0.00358591
0.434671	1	22	3	1054	0.00365821
0.434743	1	21	3	1054	0.00373052
0.434814	1	12	3	1054	0.00380282
0.434886	1	11	3	1054	0.00387512
0.434957	1	10	3	1054	0.00394743
0.435243	1	28	3	1054	0.0032244
0.435314	1	27	3	1054	0.0032967
0.435386	1	26	3	1054	0.003369
0.435457	1	25	3	1054	0.00344131
0.435529	1	24	3	1054	0.00351361
0.4356	1	23	3	1054	0.00358591
0.435671	1	22	3	1054	0.00365821
0.435743	1	21	3	1054	0.00373052
0.435814	1	12	3	1054	0.00380282
0.435886	1	11	3	1054	0.00387512
0.435957	1	10	3	1054	0.00394743
0.436029	1	9	3	1054	0.00501973
0.436029	1	9	3	1054	0.00401973
0.436243	1	28	3	1054	0.0032244
0.436314	1	27	3	1054	0.0032967
0.436386	1	26	3	1054	0.003369
0.436457	1	25	3	1054	0.00344131
