time(s)	cellId	rnti	lcid	packetSize
0.410002	1	1	3	1054
0.410003	1	2	3	1054
0.410004	1	3	3	1054
0.410004	1	4	3	1054
0.410005	1	5	3	1054
0.410006	1	6	3	1054
0.410007	1	7	3	1054
0.410008	1	8	3	1054
0.410009	1	9	3	1054
0.41001	1	10	3	1054
0.410011	1	11	3	1054
0.410011	1	12	3	1054
0.410012	1	21	3	1054
0.410013	1	22	3	1054
0.410014	1	23	3	1054
0.410015	1	24	3	1054
0.410016	1	25	3	1054
0.410017	1	26	3	1054
0.410018	1	27	3	1054
0.410018	1	28	3	1054
0.411002	1	1	3	1054
0.411003	1	2	3	1054
0.411004	1	3	3	1054
0.411004	1	4	3	1054
0.411005	1	5	3	1054
0.411006	1	6	3	1054
0.411007	1	7	3	1054
0.411008	1	8	3	1054
0.411009	1	9	3	1054
0.41101	1	10	3	1054
0.411011	1	11	3	1054
0.411011	1	12	3	1054
0.411012	1	21	3	1054
0.411013	1	22	3	1054
0.411014	1	23	3	1054
0.411015	1	24	3	1054
0.411016	1	25	3	1054
0.411017	1	26	3	1054
0.411018	1	27	3	1054
0.411018	1	28	3	1054
0.412002	1	1	3	1054
0.412003	1	2	3	1054
0.412004	1	3	3	1054
0.412004	1	4	3	1054
0.412005	1	5	3	1054
0.412006	1	6	3	1054
0.412007	1	7	3	1054
0.412008	1	8	3	1054
0.412009	1	9	3	1054
0.41201	1	10	3	1054
0.412011	1	11	3	1054
0.412011	1	12	3	1054
0.412012	1	21	3	1054
0.412013	1	22	3	1054
0.412014	1	23	3	1054
0.412015	1	24	3	1054
0.412016	1	25	3	1054
0.412017	1	26	3	1054
0.412018	1	27	3	1054
0.412018	1	28	3	1054
0.413002	1	1	3	1054
0.413003	1	2	3	1054
0.413004	1	3	3	1054
0.413004	1	4	3	1054
0.413005	1	5	3	1054
0.413006	1	6	3	1054
0.413007	1	7	3	1054
0.413008	1	8	3	1054
0.413009	1	9	3	1054
0.41301	1	10	3	1054
0.413011	1	11	3	1054
0.413011	1	12	3	1054
0.413012	1	21	3	1054
0.413013	1	22	3	1054
0.413014	1	23	3	1054
0.413015	1	24	3	1054
0.413016	1	25	3	1054
0.413017	1	26	3	1054
0.413018	1	27	3	1054
0.413018	1	28	3	1054
0.414002	1	1	3	1054
0.414003	1	2	3	1054
0.414004	1	3	3	1054
0.414004	1	4	3	1054
0.414005	1	5	3	1054
0.414006	1	6	3	1054
0.414007	1	7	3	1054
0.414008	1	8	3	1054
0.414009	1	9	3	1054
0.41401	1	10	3	1054
0.414011	1	11	3	1054
0.414011	1	12	3	1054
0.414012	1	21	3	1054
0.414013	1	22	3	1054
0.414014	1	23	3	1054
0.414015	1	24	3	1054
0.414016	1	25	3	1054
0.414017	1	26	3	1054
0.414018	1	27	3	1054
0.414018	1	28	3	1054
0.415002	1	1	3	1054
0.415003	1	2	3	1054
0.415004	1	3	3	1054
0.415004	1	4	3	1054
0.415005	1	5	3	1054
0.415006	1	6	3	1054
0.415007	1	7	3	1054
0.415008	1	8	3	1054
0.415009	1	9	3	1054
0.41501	1	10	3	1054
0.415011	1	11	3	1054
0.415011	1	12	3	1054
0.415012	1	21	3	1054
0.415013	1	22	3	1054
0.415014	1	23	3	1054
0.415015	1	24	3	1054
0.415016	1	25	3	1054
0.415017	1	26	3	1054
0.415018	1	27	3	1054
0.415018	1	28	3	1054
0.416002	1	1	3	1054
0.416003	1	2	3	1054
0.416004	1	3	3	1054
0.416004	1	4	3	1054
0.416005	1	5	3	1054
0.416006	1	6	3	1054
0.416007	1	7	3	1054
0.416008	1	8	3	1054
0.416009	1	9	3	1054
0.41601	1	10	3	1054
0.416011	1	11	3	1054
0.416011	1	12	3	1054
0.416012	1	21	3	1054
0.416013	1	22	3	1054
0.416014	1	23	3	1054
0.416015	1	24	3	1054
0.416016	1	25	3	1054
0.416017	1	26	3	1054
0.416018	1	27	3	1054
0.416018	1	28	3	1054
0.417002	1	1	3	1054
0.417003	1	2	3	1054
0.417004	1	3	3	1054
0.417004	1	4	3	1054
0.417005	1	5	3	1054
0.417006	1	6	3	1054
0.417007	1	7	3	1054
0.417008	1	8	3	1054
0.417009	1	9	3	1054
0.41701	1	10	3	1054
0.417011	1	11	3	1054
0.417011	1	12	3	1054
0.417012	1	21	3	1054
0.417013	1	22	3	1054
0.417014	1	23	3	1054
0.417015	1	24	3	1054
0.417016	1	25	3	1054
0.417017	1	26	3	1054
0.417018	1	27	3	1054
0.417018	1	28	3	1054
0.418002	1	1	3	1054
0.418003	1	2	3	1054
0.418004	1	3	3	1054
0.418004	1	4	3	1054
0.418005	1	5	3	1054
0.418006	1	6	3	1054
0.418007	1	7	3	1054
0.418008	1	8	3	1054
0.418009	1	9	3	1054
0.41801	1	10	3	1054
0.418011	1	11	3	1054
0.418011	1	12	3	1054
0.418012	1	21	3	1054
0.418013	1	22	3	1054
0.418014	1	23	3	1054
0.418015	1	24	3	1054
0.418016	1	25	3	1054
0.418017	1	26	3	1054
0.418018	1	27	3	1054
0.418018	1	28	3	1054
0.419002	1	1	3	1054
0.419003	1	2	3	1054
0.419004	1	3	3	1054
0.419004	1	4	3	1054
0.419005	1	5	3	1054
0.419006	1	6	3	1054
0.419007	1	7	3	1054
0.419008	1	8	3	1054
0.419009	1	9	3	1054
0.41901	1	10	3	1054
0.419011	1	11	3	1054
0.419011	1	12	3	1054
0.419012	1	21	3	1054
0.419013	1	22	3	1054
0.419014	1	23	3	1054
0.419015	1	24	3	1054
0.419016	1	25	3	1054
0.419017	1	26	3	1054
0.419018	1	27	3	1054
0.419018	1	28	3	1054
0.420002	1	1	3	1054
0.420003	1	2	3	1054
0.420004	1	3	3	1054
0.420004	1	4	3	1054
0.420005	1	5	3	1054
0.420006	1	6	3	1054
