time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.783243	1	5	3	111	0.00224286
0.783314	1	28	3	111	0.00231428
0.783457	1	12	3	111	0.00245714
0.7836	1	10	3	111	0.0026
0.783671	1	4	3	111	0.00267142
0.783743	1	3	3	111	0.00274285
0.783957	1	24	3	111	0.00295714
0.784243	1	5	3	111	0.00224286
0.784314	1	28	3	111	0.00231428
0.784457	1	12	3	111	0.00245714
0.7846	1	10	3	111	0.0026
0.784671	1	4	3	111	0.00267142
0.784743	1	3	3	111	0.00274285
0.784957	1	24	3	111	0.00295714
0.785243	1	5	3	111	0.00224286
0.785314	1	28	3	111	0.00231428
0.785457	1	12	3	111	0.00245714
0.7856	1	10	3	111	0.0026
0.785671	1	4	3	111	0.00267142
0.785743	1	3	3	111	0.00274285
0.785957	1	24	3	111	0.00295714
0.786243	1	5	3	111	0.00224286
0.786314	1	28	3	111	0.00231428
0.786529	1	12	3	111	0.00252857
0.7866	1	10	3	111	0.0026
0.786671	1	4	3	111	0.00267142
0.786743	1	3	3	111	0.00274285
0.786957	1	24	3	111	0.00295714
0.787243	1	5	3	111	0.00224286
0.787314	1	2	3	111	0.00231428
0.787386	1	28	3	111	0.00238571
0.7876	1	12	3	111	0.0026
0.787671	1	10	3	111	0.00267142
0.787743	1	4	3	111	0.00274285
0.787814	1	3	3	111	0.00281428
0.788743	1	1	3	111	0.00774285
0.789029	1	11	3	111	0.00802856
0.789457	1	26	3	111	0.00745714
0.789743	1	1	3	111	0.00774285
0.790029	1	11	3	111	0.00802856
0.790457	1	11	3	111	0.00745714
0.790743	1	1	3	111	0.00774285
0.791457	1	11	3	111	0.00745714
0.791743	1	1	3	111	0.00774285
0.792457	1	11	3	111	0.00745714
0.792743	1	1	3	111	0.00774285
0.793029	1	26	3	111	0.00802856
0.7936	1	26	3	111	0.0126
0.794029	1	22	3	111	0.0130286
0.795029	1	22	3	111	0.0130286
0.7956	1	22	3	111	0.0126
0.796029	1	26	3	111	0.0130286
0.7966	1	22	3	111	0.0126
0.797029	1	26	3	111	0.0130286
0.798029	1	22	3	111	0.0130286
0.798314	1	2	3	4027	0.00231428
0.798457	1	24	3	2406	0.00245714
0.7986	1	21	3	111	0.0026
0.798671	1	9	3	111	0.00267142
0.798743	1	28	3	4027	0.00274285
0.798957	1	27	3	111	0.00295714
0.799029	1	12	3	3282	0.00302856
0.799314	1	2	3	4027	0.00231428
0.799457	1	24	3	2406	0.00245714
0.7996	1	21	3	111	0.0026
0.799671	1	9	3	111	0.00267142
0.799743	1	28	3	4027	0.00274285
0.799957	1	27	3	111	0.00295714
0.800029	1	12	3	3282	0.00302856
0.802314	1	2	3	4027	0.00231428
0.802457	1	24	3	2406	0.00245714
0.8026	1	21	3	111	0.0026
0.802671	1	9	3	111	0.00267142
0.802743	1	28	3	4027	0.00274285
0.802957	1	27	3	111	0.00295714
0.803029	1	12	3	3282	0.00302856
0.803457	1	11	3	111	0.00745714
0.804029	1	5	3	1749	0.00802856
0.804457	1	11	3	111	0.00745714
0.805029	1	5	3	1749	0.00802856
0.805243	1	5	3	1401	0.00224286
0.805314	1	2	3	4027	0.00231428
0.805457	1	24	3	2406	0.00245714
0.8056	1	21	3	3722	0.0026
0.805671	1	9	3	433	0.00267142
0.805743	1	28	3	4027	0.00274285
0.805957	1	27	3	4027	0.00295714
0.806029	1	12	3	3282	0.00302856
0.806243	1	5	3	1401	0.00224286
0.806314	1	2	3	1736	0.00231428
0.806457	1	24	3	2406	0.00245714
0.8066	1	21	3	3722	0.0026
0.806671	1	9	3	433	0.00267142
0.806743	1	28	3	2355	0.00274285
0.806957	1	27	3	4027	0.00295714
0.807029	1	12	3	3282	0.00302856
0.807457	1	5	3	1749	0.00745714
0.808029	1	11	3	111	0.00802856
0.8086	1	22	3	111	0.0126
0.809529	1	22	3	111	0.0125286
0.8106	1	11	3	111	0.0076
0.811029	1	26	3	111	0.00802856
0.812029	1	11	3	111	0.00802856
0.813029	1	22	3	111	0.0130286
0.814029	1	26	3	111	0.0180286
0.814529	1	26	3	111	0.0175286
0.814886	1	5	3	2406	0.00788571
0.814957	1	2	3	4027	0.00295714
0.815529	1	22	3	111	0.0125286
0.815957	1	5	3	1401	0.00295714
0.817029	1	22	3	111	0.0130286
0.8176	1	26	3	111	0.0176
0.818243	1	5	3	1401	0.00224286
0.818314	1	2	3	4027	0.00231428
0.818386	1	24	3	2406	0.00238571
0.818814	1	21	3	3722	0.00281428
0.818886	1	12	3	3282	0.00288571
0.819243	1	5	3	1401	0.00224286
0.819314	1	2	3	4027	0.00231428
0.819386	1	24	3	2406	0.00238571
0.819529	1	9	3	433	0.00252857
0.819814	1	21	3	3722	0.00281428
0.819886	1	12	3	3282	0.00288571
0.820029	1	4	3	638	0.00302856
0.820957	1	23	3	111	0.0179571
0.8216	1	26	3	111	0.0176
0.822029	1	23	3	111	0.0180286
0.822243	1	5	3	1401	0.00224286
0.822314	1	2	3	4027	0.00231428
0.822386	1	24	3	2406	0.00238571
0.822457	1	23	3	111	0.00245714
0.822529	1	9	3	433	0.00252857
0.822957	1	26	3	111	0.00295714
0.823029	1	21	3	3722	0.00302856
0.8236	1	10	3	1401	0.0076
0.8236	1	26	3	111	0.0076
0.824029	1	9	3	433	0.00802856
0.824029	1	23	3	111	0.00802856
0.8246	1	10	3	1401	0.0076
0.8246	1	26	3	111	0.0076
0.825029	1	23	3	111	0.00802856
0.825243	1	5	3	1401	0.00224286
0.825314	1	2	3	3956	0.00231428
0.825457	1	24	3	2406	0.00245714
0.825529	1	23	3	111	0.00252857
0.8256	1	9	3	433	0.0026
0.826243	1	5	3	1401	0.00224286
0.826314	1	2	3	1056	0.00231428
0.826457	1	24	3	2406	0.00245714
0.8266	1	9	3	433	0.0026
0.827029	1	26	3	111	0.00302856
