time(s)	cellId	rnti	lcid	packetSize
0.781	1	5	3	111
0.781	1	28	3	111
0.781	1	22	3	111
0.781	1	12	3	111
0.781	1	11	3	111
0.781	1	10	3	111
0.781	1	4	3	111
0.781	1	3	3	111
0.781	1	1	3	111
0.781	1	26	3	111
0.781	1	24	3	111
0.782	1	5	3	111
0.782	1	28	3	111
0.782	1	22	3	111
0.782	1	12	3	111
0.782	1	11	3	111
0.782	1	10	3	111
0.782	1	4	3	111
0.782	1	3	3	111
0.782	1	1	3	111
0.782	1	26	3	111
0.782	1	24	3	111
0.783	1	5	3	111
0.783	1	28	3	111
0.783	1	22	3	111
0.783	1	12	3	111
0.783	1	11	3	111
0.783	1	10	3	111
0.783	1	4	3	111
0.783	1	3	3	111
0.783	1	1	3	111
0.783	1	26	3	111
0.783	1	24	3	111
0.783	1	23	3	111
0.784	1	5	3	111
0.784	1	28	3	111
0.784	1	22	3	111
0.784	1	11	3	111
0.784	1	12	3	111
0.784	1	10	3	111
0.784	1	4	3	111
0.784	1	3	3	111
0.784	1	1	3	111
0.784	1	26	3	111
0.784	1	24	3	111
0.784	1	23	3	111
0.785	1	5	3	111
0.785	1	2	3	111
0.785	1	28	3	111
0.785	1	22	3	111
0.785	1	11	3	111
0.785	1	12	3	111
0.785	1	10	3	111
0.785	1	4	3	111
0.785	1	3	3	111
0.785	1	1	3	111
0.785	1	26	3	111
0.796	1	5	3	1749
0.796	1	2	3	4027
0.796	1	26	3	111
0.796	1	24	3	2406
0.796	1	23	3	111
0.796	1	21	3	111
0.796	1	9	3	111
0.796	1	28	3	4027
0.796	1	22	3	111
0.796	1	11	3	111
0.796	1	27	3	111
0.796	1	12	3	3282
0.797	1	5	3	1749
0.797	1	2	3	4027
0.797	1	26	3	111
0.797	1	24	3	2406
0.797	1	23	3	111
0.797	1	21	3	111
0.797	1	9	3	111
0.797	1	28	3	4027
0.797	1	22	3	111
0.797	1	11	3	111
0.797	1	27	3	111
0.797	1	12	3	3282
0.8	1	5	3	1749
0.8	1	2	3	4027
0.8	1	26	3	111
0.8	1	24	3	2406
0.8	1	23	3	111
0.8	1	21	3	111
0.8	1	9	3	111
0.8	1	28	3	4027
0.8	1	22	3	111
0.8	1	11	3	111
0.8	1	27	3	111
0.8	1	12	3	3282
0.803	1	5	3	1401
0.803	1	2	3	4027
0.803	1	26	3	111
0.803	1	24	3	2406
0.803	1	23	3	111
0.803	1	21	3	3722
0.803	1	9	3	433
0.803	1	28	3	4027
0.803	1	22	3	111
0.803	1	11	3	111
0.803	1	27	3	4027
0.803	1	12	3	3282
0.804	1	5	3	1401
0.804	1	2	3	1736
0.804	1	26	3	111
0.804	1	24	3	2406
0.804	1	23	3	111
0.804	1	21	3	3722
0.804	1	9	3	433
0.804	1	28	3	2355
0.804	1	22	3	111
0.804	1	11	3	111
0.804	1	27	3	4027
0.804	1	12	3	3282
0.807	1	5	3	2406
0.812	1	2	3	4027
0.813	1	5	3	1401
0.816	1	5	3	1401
0.816	1	2	3	4027
0.816	1	24	3	2406
0.816	1	23	3	111
0.816	1	9	3	433
0.816	1	6	3	111
0.816	1	27	3	4027
0.816	1	26	3	111
0.816	1	21	3	3722
0.816	1	12	3	3282
0.816	1	10	3	1401
0.817	1	5	3	1401
0.817	1	2	3	4027
0.817	1	24	3	2406
0.817	1	23	3	111
0.817	1	9	3	433
0.817	1	6	3	111
0.817	1	27	3	4027
0.817	1	26	3	111
0.817	1	21	3	3722
0.817	1	12	3	3282
0.817	1	10	3	1401
0.817	1	4	3	638
0.82	1	5	3	1401
0.82	1	2	3	4027
0.82	1	24	3	2406
0.82	1	23	3	111
0.82	1	9	3	433
0.82	1	6	3	111
0.82	1	28	3	4027
0.82	1	22	3	111
0.82	1	11	3	111
0.82	1	27	3	4027
0.82	1	26	3	111
0.82	1	21	3	3722
0.823	1	5	3	1401
0.823	1	2	3	3956
0.823	1	25	3	111
0.823	1	24	3	2406
0.823	1	23	3	111
0.823	1	9	3	433
0.823	1	6	3	111
0.823	1	28	3	4027
0.823	1	22	3	111
0.823	1	11	3	111
0.823	1	27	3	111
0.824	1	5	3	1401
0.824	1	2	3	1056
0.824	1	25	3	111
0.824	1	24	3	2406
0.824	1	23	3	2846
0.824	1	9	3	433
0.824	1	6	3	111
0.824	1	28	3	4027
0.824	1	22	3	111
0.824	1	11	3	111
0.824	1	27	3	111
0.824	1	26	3	111
0.832	1	5	3	4027
0.834	1	5	3	4027
0.836	1	7	3	111
0.836	1	5	3	4027
0.836	1	2	3	4027
0.836	1	25	3	111
0.836	1	24	3	2406
0.836	1	23	3	1078
0.836	1	9	3	4027
0.836	1	6	3	111
0.836	1	4	3	638
0.836	1	27	3	155
0.836	1	26	3	4027
0.837	1	3	3	4027
0.837	1	7	3	111
0.837	1	5	3	3379
0.837	1	2	3	4027
0.837	1	25	3	111
0.837	1	24	3	2406
0.837	1	23	3	1078
0.837	1	9	3	4027
0.837	1	6	3	111
0.837	1	4	3	638
0.837	1	28	3	111
0.837	1	22	3	111
0.84	1	3	3	4027
0.84	1	7	3	111
0.84	1	2	3	4027
0.84	1	25	3	111
0.84	1	24	3	2406
0.84	1	23	3	1078
0.84	1	9	3	4027
0.84	1	6	3	111
0.84	1	4	3	638
0.84	1	28	3	111
0.84	1	22	3	111
0.84	1	11	3	111
0.841	1	3	3	4027
0.842	1	7	3	3282
0.842	1	2	3	3759
0.843	1	3	3	2406
0.843	1	7	3	3282
0.843	1	2	3	1056
0.843	1	25	3	111
0.843	1	24	3	2406
0.843	1	23	3	1078
0.843	1	9	3	4027
0.843	1	6	3	111
0.843	1	4	3	4027
0.843	1	28	3	111
0.843	1	22	3	111
0.844	1	7	3	3282
0.844	1	2	3	1056
0.844	1	25	3	111
0.844	1	24	3	2406
0.844	1	23	3	1078
0.844	1	9	3	1669
0.844	1	6	3	111
0.844	1	4	3	4027
0.844	1	28	3	111
0.844	1	11	3	111
0.844	1	27	3	111
0.844	1	26	3	4027
0.848	1	7	3	3282
0.848	1	2	3	4027
0.85	1	7	3	3282
0.85	1	2	3	2309
0.853	1	7	3	3282
0.856	1	7	3	3282
0.856	1	2	3	4027
0.856	1	25	3	155
0.856	1	9	3	4027
0.856	1	6	3	111
0.856	1	4	3	4027
0.856	1	24	3	2406
0.856	1	23	3	1078
0.856	1	11	3	111
0.856	1	27	3	111
0.856	1	26	3	4027
0.857	1	7	3	3104
0.857	1	2	3	3365
0.857	1	25	3	155
0.857	1	9	3	4027
0.857	1	6	3	111
0.857	1	4	3	4027
0.857	1	24	3	2406
0.857	1	23	3	1078
0.857	1	11	3	111
0.857	1	27	3	111
0.857	1	26	3	4027
0.857	1	21	3	3722
0.86	1	7	3	3167
0.86	1	2	3	3167
0.86	1	25	3	155
0.86	1	9	3	4027
0.86	1	6	3	111
0.86	1	4	3	4027
0.86	1	24	3	2406
0.86	1	23	3	1078
0.86	1	11	3	111
0.86	1	27	3	111
0.86	1	26	3	4027
0.86	1	21	3	3722
0.861	1	7	3	1056
0.861	1	2	3	1056
0.862	1	9	3	3759
0.862	1	7	3	1056
0.863	1	9	3	1056
0.863	1	7	3	1056
0.863	1	2	3	2112
0.863	1	25	3	111
0.863	1	6	3	111
0.863	1	4	3	4027
0.863	1	24	3	2406
0.863	1	23	3	1076
0.863	1	11	3	111
0.863	1	27	3	111
0.863	1	26	3	4027
0.863	1	21	3	3722
0.864	1	9	3	1056
0.864	1	7	3	1056
0.864	1	2	3	1056
0.864	1	25	3	111
0.864	1	6	3	111
0.864	1	4	3	2317
0.864	1	24	3	2406
0.864	1	23	3	1078
0.864	1	11	3	111
0.864	1	27	3	111
0.864	1	26	3	1769
0.864	1	21	3	3722
0.865	1	9	3	1056
0.865	1	7	3	1056
0.876	1	9	3	4027
0.876	1	7	3	3282
0.876	1	25	3	272
0.876	1	6	3	111
0.876	1	4	3	4027
0.876	1	27	3	111
0.876	1	24	3	2406
0.876	1	23	3	1078
0.876	1	11	3	111
0.876	1	26	3	4027
0.876	1	21	3	3722
0.876	1	10	3	1749
0.877	1	9	3	4027
0.877	1	7	3	3282
0.877	1	25	3	272
0.877	1	6	3	111
0.877	1	4	3	4027
0.877	1	27	3	111
0.877	1	24	3	2406
0.877	1	23	3	1078
0.877	1	11	3	111
0.877	1	26	3	4027
0.877	1	21	3	3722
0.877	1	10	3	1749
0.88	1	9	3	4027
0.88	1	7	3	3282
0.88	1	25	3	272
0.88	1	6	3	111
0.88	1	4	3	4027
0.88	1	27	3	111
0.88	1	24	3	2406
0.88	1	23	3	1078
0.88	1	11	3	111
0.88	1	26	3	4027
0.88	1	21	3	3722
0.88	1	10	3	1749
0.883	1	9	3	4027
0.883	1	7	3	3282
0.883	1	25	3	111
0.883	1	6	3	111
0.883	1	4	3	4027
0.883	1	27	3	111
0.883	1	24	3	2406
0.883	1	23	3	1078
0.883	1	11	3	111
0.883	1	26	3	4027
0.883	1	21	3	3722
0.883	1	10	3	1078
0.884	1	9	3	1845
0.884	1	7	3	3282
0.884	1	25	3	111
0.884	1	6	3	111
0.884	1	4	3	1845
0.884	1	27	3	111
0.884	1	24	3	2406
0.884	1	23	3	1078
0.884	1	11	3	111
0.884	1	26	3	1845
0.884	1	21	3	3036
0.884	1	10	3	1078
0.887	1	9	3	3167
0.892	1	9	3	4027
0.893	1	9	3	2309
0.896	1	9	3	3167
0.896	1	7	3	3282
0.896	1	6	3	111
0.896	1	25	3	155
0.896	1	4	3	4027
0.896	1	27	3	111
0.896	1	24	3	2406
0.896	1	23	3	1078
0.896	1	21	3	3722
0.896	1	11	3	111
0.896	1	26	3	4027
0.897	1	9	3	1056
0.897	1	7	3	3282
0.897	1	6	3	111
0.897	1	25	3	155
0.897	1	4	3	4027
0.897	1	27	3	111
0.897	1	24	3	2406
0.897	1	23	3	1078
0.897	1	21	3	3722
0.897	1	11	3	111
0.897	1	26	3	4027
0.897	1	10	3	1969
0.898	1	9	3	1056
0.9	1	9	3	2112
0.9	1	8	3	111
0.9	1	7	3	3282
0.9	1	6	3	111
