Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.783143	DL	78	3	0	1	1	1	0	5	114	0	1	0	8.98865	8	0	0
0.783214	DL	78	3	0	2	1	1	0	28	114	0	1	0	40.2535	15	0	0
0.783286	DL	78	3	0	3	1	1	0	22	114	0	1	0	-14.3147	0	1	1
0.783357	DL	78	3	0	4	1	1	0	12	114	0	1	0	19.4283	13	0	0
0.783429	DL	78	3	0	5	1	1	0	11	114	0	1	0	-8.37773	0	1	0.999828
0.7835	DL	78	3	0	6	1	1	0	10	114	0	1	0	8.75883	8	0	0
0.783571	DL	78	3	0	7	1	1	0	4	114	0	1	0	3.19621	5	0	0
0.783643	DL	78	3	0	8	1	1	0	3	114	0	1	0	26.3247	15	0	0
0.783714	DL	78	3	0	9	1	1	0	1	114	0	1	0	-7.84411	0	1	0.987514
0.783786	DL	78	3	0	10	1	1	0	26	114	0	1	0	-16.3252	0	1	1
0.783857	DL	78	3	0	11	1	1	0	24	114	0	1	0	15.7099	11	0	0
0.784143	DL	78	4	0	1	1	1	0	5	114	0	1	0	9.00777	8	0	0
0.784214	DL	78	4	0	2	1	1	0	28	114	0	1	0	40.2413	15	0	0
0.784286	DL	78	4	0	3	1	1	0	22	114	0	1	0	-14.3254	0	1	1
0.784357	DL	78	4	0	4	1	1	0	12	114	0	1	0	19.4363	13	0	0
0.784429	DL	78	4	0	5	1	1	0	11	114	0	1	0	-9.69599	0	1	1
0.7845	DL	78	4	0	6	1	1	0	10	114	0	1	0	7.88346	8	0	0
0.784571	DL	78	4	0	7	1	1	0	4	114	0	1	0	2.99171	5	0	0
0.784643	DL	78	4	0	8	1	1	0	3	114	0	1	0	26.2219	15	0	0
0.784714	DL	78	4	0	9	1	1	0	1	114	0	1	0	-6.87151	0	1	0.399753
0.784786	DL	78	4	0	10	1	1	0	26	114	0	1	0	-17.3463	0	1	1
0.784857	DL	78	4	0	11	1	1	0	24	114	0	1	0	15.6599	11	0	0
0.785143	DL	78	5	0	1	1	1	0	5	114	0	1	0	8.91541	8	0	0
0.785214	DL	78	5	0	2	1	1	0	28	114	0	1	0	40.4272	15	0	0
0.785286	DL	78	5	0	3	1	1	0	22	114	0	1	0	-14.2026	0	1	1
0.785357	DL	78	5	0	4	1	1	0	12	114	0	1	0	19.0993	13	0	0
0.785429	DL	78	5	0	5	1	1	0	11	114	0	1	0	-8.82198	0	1	0.999998
0.7855	DL	78	5	0	6	1	1	0	10	114	0	1	0	7.19687	7	0	0
0.785571	DL	78	5	0	7	1	1	0	4	114	0	1	0	2.96167	5	0	0
0.785643	DL	78	5	0	8	1	1	0	3	114	0	1	0	25.9369	14	0	0
0.785714	DL	78	5	0	9	1	1	0	1	114	0	1	0	-8.1909	0	1	0.999213
0.785786	DL	78	5	0	10	1	1	0	26	114	0	1	0	-15.3889	0	1	1
0.785857	DL	78	5	0	11	1	1	0	24	114	0	1	0	15.3321	11	0	0
0.785929	DL	78	5	0	12	1	1	0	23	114	0	1	0	-42.5224	0	1	1
0.786143	DL	78	6	0	1	1	1	0	5	114	0	1	0	8.7713	8	0	0
0.786214	DL	78	6	0	2	1	1	0	28	114	0	1	0	40.48	15	0	0
0.786286	DL	78	6	0	3	1	1	0	22	114	0	1	0	-14.2256	0	1	1
0.786357	DL	78	6	0	4	1	1	0	11	114	0	1	0	-9.03285	0	1	1
0.786429	DL	78	6	0	5	1	1	0	12	114	0	1	0	18.798	12	0	0
0.7865	DL	78	6	0	6	1	1	0	10	114	0	1	0	8.31149	8	0	0
0.786571	DL	78	6	0	7	1	1	0	4	114	0	1	0	2.90767	5	0	0
0.786643	DL	78	6	0	8	1	1	0	3	114	0	1	0	25.8178	15	0	0
0.786714	DL	78	6	0	9	1	1	0	1	114	0	1	0	-7.07384	0	1	0.628989
0.786786	DL	78	6	0	10	1	1	0	26	114	0	1	0	-16.1883	0	1	1
0.786857	DL	78	6	0	11	1	1	0	24	114	0	1	0	15.3875	11	0	0
0.786929	DL	78	6	0	12	1	1	0	23	114	0	1	0	-42.7728	0	1	1
0.787143	DL	78	7	0	1	1	1	0	5	114	0	1	0	9.12512	9	0	0
0.787214	DL	78	7	0	2	1	1	0	2	114	0	1	0	45.1717	15	0	0
0.787286	DL	78	7	0	3	1	1	0	28	114	0	1	0	40.19	15	0	0
0.787357	DL	78	7	0	4	1	1	0	22	114	0	1	0	-14.6619	0	1	1
0.787429	DL	78	7	0	5	1	1	0	11	114	0	1	0	-8.92489	0	1	0.999999
0.7875	DL	78	7	0	6	1	1	0	12	114	0	1	0	19.244	13	0	0
0.787571	DL	78	7	0	7	1	1	0	10	114	0	1	0	7.33917	8	0	0
0.787643	DL	78	7	0	8	1	1	0	4	114	0	1	0	2.77265	5	0	0
0.787714	DL	78	7	0	9	1	1	0	3	114	0	1	0	26.0168	15	0	0
0.787786	DL	78	7	0	10	1	1	0	1	114	0	1	0	-6.99188	0	1	0.524177
0.787857	DL	78	7	0	11	1	1	0	26	114	0	1	0	-17.2626	0	1	1
0.788357	DL	78	8	0	1	4	1	0	26	114	0	1	1	-12.0374	0	1	1
0.788643	DL	78	8	0	5	4	1	0	1	114	0	1	1	-0.977424	3	0	0
0.788929	DL	78	8	0	9	4	1	0	11	114	0	1	1	-4.22308	1	0	0
0.788929	DL	78	8	0	9	4	1	0	22	114	0	1	1	-11.5739	0	1	1
0.789357	DL	78	9	0	1	4	1	0	26	114	0	1	1	-7.86444	0	0	0.791362
0.789643	DL	78	9	0	5	4	1	0	1	114	0	1	1	-1.00287	3	0	0
0.789929	DL	78	9	0	9	4	1	0	11	114	0	1	1	-5.19787	2	0	0
0.789929	DL	78	9	0	9	4	1	0	22	114	0	1	1	-11.0203	0	1	1
0.790357	DL	79	0	0	1	4	1	0	11	114	0	1	1	-8.23177	0	0	2.89404e-09
0.790357	DL	79	0	0	1	4	1	0	22	114	0	1	1	-11.1219	0	1	1
0.790643	DL	79	0	0	5	4	1	0	1	114	0	1	1	0.472662	4	0	0
0.790929	DL	79	0	0	9	4	1	0	23	114	0	1	1	-38.7166	0	1	1
0.790929	DL	79	0	0	9	4	1	0	26	114	0	1	1	-12.1362	0	1	1
0.791357	DL	79	1	0	1	4	1	0	11	114	0	1	1	-4.78616	0	0	0
0.791357	DL	79	1	0	1	4	1	0	22	114	0	1	1	-10.865	0	1	0.999999
0.791643	DL	79	1	0	5	4	1	0	1	114	0	1	1	-1.54888	3	0	0
0.791929	DL	79	1	0	9	4	1	0	23	114	0	1	1	-38.1879	0	1	1
0.791929	DL	79	1	0	9	4	1	0	26	114	0	1	1	-12.6783	0	1	1
0.792357	DL	79	2	0	1	4	1	0	11	114	0	1	1	-7.90374	0	0	1.00711e-10
0.792357	DL	79	2	0	1	4	1	0	22	114	0	1	1	-11.0415	0	1	1
0.792643	DL	79	2	0	5	4	1	0	1	114	0	1	1	0.558202	4	0	0
0.792929	DL	79	2	0	9	4	1	0	26	114	0	1	1	-7.23536	0	0	0.190498
0.7935	DL	79	3	0	1	6	1	0	26	114	0	1	2	-7.49427	0	0	5.88696e-08
0.793929	DL	79	3	0	7	6	1	0	22	114	0	1	2	-6.23055	0	0	0
0.794929	DL	79	4	0	1	12	1	0	22	114	0	1	2	-6.1044	0	0	0
0.7955	DL	79	5	0	1	6	1	0	22	114	0	1	2	-6.00542	0	0	0
0.795929	DL	79	5	0	7	6	1	0	23	114	0	1	2	-34.745	0	1	1
0.795929	DL	79	5	0	7	6	1	0	26	114	0	1	2	-9.34301	0	0	0.0527565
0.7965	DL	79	6	0	1	6	1	0	22	114	0	1	2	-6.21518	0	0	0
0.796929	DL	79	6	0	7	6	1	0	23	114	0	1	2	-35.8969	0	1	1
0.796929	DL	79	6	0	7	6	1	0	26	114	0	1	2	-10.3676	0	0	0.816002
0.797929	DL	79	7	0	1	12	1	0	22	114	0	1	2	-2.49285	2	0	0
0.798143	DL	79	8	0	1	1	1	0	5	1752	16	1	0	8.80102	8	1	0.806508
0.798214	DL	79	8	0	2	1	1	0	2	4030	28	1	0	45.5516	15	0	0
0.798286	DL	79	8	0	3	1	1	0	26	114	0	1	0	-15.6031	0	1	1
0.798357	DL	79	8	0	4	1	1	0	24	2409	20	1	0	15.788	11	0	0
0.798429	DL	79	8	0	5	1	1	0	23	114	0	1	0	-40.4973	0	1	1
0.7985	DL	79	8	0	6	1	1	0	21	114	0	1	0	24.213	14	0	0
0.798571	DL	79	8	0	7	1	1	0	9	114	0	1	0	0.259954	4	0	0
0.798643	DL	79	8	0	8	1	1	0	28	4030	28	1	0	39.9467	15	0	0
0.798714	DL	79	8	0	9	1	1	0	22	114	0	1	0	-14.3936	0	1	1
0.798786	DL	79	8	0	10	1	1	0	11	114	0	1	0	-8.50233	0	1	0.999979
0.798857	DL	79	8	0	11	1	1	0	27	114	0	1	0	29.1598	15	0	0
0.798929	DL	79	8	0	12	1	1	0	12	3285	24	1	0	19.9203	13	0	6.86689e-05
0.799143	DL	79	9	0	1	1	1	0	5	1752	16	1	0	8.79695	8	1	0.713526
0.799214	DL	79	9	0	2	1	1	0	2	4030	28	1	0	45.6129	15	0	0
0.799286	DL	79	9	0	3	1	1	0	26	114	0	1	0	-16.5915	0	1	1
0.799357	DL	79	9	0	4	1	1	0	24	2409	20	1	0	15.4335	11	0	3.55271e-15
0.799429	DL	79	9	0	5	1	1	0	23	114	0	1	0	-41.1507	0	1	1
0.7995	DL	79	9	0	6	1	1	0	21	114	0	1	0	24.2288	14	0	0
0.799571	DL	79	9	0	7	1	1	0	9	114	0	1	0	0.595234	4	0	0
0.799643	DL	79	9	0	8	1	1	0	28	4030	28	1	0	39.6765	15	0	0
0.799714	DL	79	9	0	9	1	1	0	22	114	0	1	0	-13.9115	0	1	1
0.799786	DL	79	9	0	10	1	1	0	11	114	0	1	0	-7.29223	0	1	0.764662
0.799857	DL	79	9	0	11	1	1	0	27	114	0	1	0	29.1757	15	0	0
0.799929	DL	79	9	0	12	1	1	0	12	3285	24	1	0	19.7996	13	0	2.75486e-05
0.800929	DL	80	0	0	1	12	1	0	23	114	0	1	3	-33.3216	0	1	1
0.801929	DL	80	1	0	1	12	1	0	23	114	0	1	3	-33.5268	0	1	1
0.802143	DL	80	2	0	1	1	1	0	5	1752	16	1	0	8.84551	8	1	0.64714
0.802214	DL	80	2	0	2	1	1	0	2	4030	28	1	0	45.7128	15	0	0
0.802286	DL	80	2	0	3	1	1	0	26	114	0	1	0	-16.4942	0	1	1
0.802357	DL	80	2	0	4	1	1	0	24	2409	20	1	0	15.4055	11	0	2.22045e-15
0.802429	DL	80	2	0	5	1	1	0	23	114	0	1	0	-43.0216	0	1	1
0.8025	DL	80	2	0	6	1	1	0	21	114	0	1	0	24.3346	14	0	0
0.802571	DL	80	2	0	7	1	1	0	9	114	0	1	0	1.20833	4	0	0
0.802643	DL	80	2	0	8	1	1	0	28	4030	28	1	0	39.5604	15	0	0
0.802714	DL	80	2	0	9	1	1	0	22	114	0	1	0	-14.3203	0	1	1
0.802786	DL	80	2	0	10	1	1	0	11	114	0	1	0	-8.92205	0	1	0.999999
0.802857	DL	80	2	0	11	1	1	0	27	114	0	1	0	28.8724	15	0	0
0.802929	DL	80	2	0	12	1	1	0	12	3285	24	1	0	19.4815	12	0	0.176297
0.803357	DL	80	3	0	1	4	1	0	11	114	0	1	1	-5.8025	0	0	0
0.803357	DL	80	3	0	1	4	1	0	22	114	0	1	1	-11.2094	0	1	1
0.803643	DL	80	3	0	5	4	1	0	23	114	0	1	1	-37.5639	0	1	1
0.803643	DL	80	3	0	5	4	1	0	26	114	0	1	1	-10.2223	0	1	0.999998
0.803929	DL	80	3	0	9	4	1	0	5	1752	16	1	1	14.9589	11	0	0
0.804357	DL	80	4	0	1	4	1	0	11	114	0	1	1	-6.18106	0	0	0
0.804357	DL	80	4	0	1	4	1	0	22	114	0	1	1	-11.1326	0	1	1
0.804643	DL	80	4	0	5	4	1	0	23	114	0	1	1	-37.7786	0	1	1
0.804643	DL	80	4	0	5	4	1	0	26	114	0	1	1	-11.8792	0	1	1
0.804929	DL	80	4	0	9	4	1	0	5	1752	16	1	1	14.5791	11	0	0
0.805143	DL	80	5	0	1	1	1	0	5	1404	14	1	0	8.56528	8	0	0
0.805214	DL	80	5	0	2	1	1	0	2	4030	28	1	0	45.5758	15	0	0
0.805286	DL	80	5	0	3	1	1	0	26	114	0	1	0	-14.5978	0	1	1
0.805357	DL	80	5	0	4	1	1	0	24	2409	20	1	0	15.4939	11	0	0
0.805429	DL	80	5	0	5	1	1	0	23	114	0	1	0	-40.8833	0	1	1
0.8055	DL	80	5	0	6	1	1	0	21	3725	26	1	0	23.8976	14	0	6.20981e-11
0.805571	DL	80	5	0	7	1	1	0	9	436	6	1	0	0.399976	4	0	4.37921e-11
0.805643	DL	80	5	0	8	1	1	0	28	4030	28	1	0	40.0251	15	0	0
0.805714	DL	80	5	0	9	1	1	0	22	114	0	1	0	-14.3279	0	1	1
0.805786	DL	80	5	0	10	1	1	0	11	114	0	1	0	-7.8329	0	1	0.987344
0.805857	DL	80	5	0	11	1	1	0	27	4030	28	1	0	29.3277	15	0	0
0.805929	DL	80	5	0	12	1	1	0	12	3285	24	1	0	20.0317	13	0	1.31472e-05
0.806143	DL	80	6	0	1	1	1	0	5	1404	14	1	0	8.5141	8	0	0
0.806214	DL	80	6	0	2	1	1	0	2	4030	28	1	0	45.8586	15	0	0
0.806286	DL	80	6	0	3	1	1	0	26	114	0	1	0	-16.7786	0	1	1
0.806357	DL	80	6	0	4	1	1	0	24	2409	20	1	0	15.5229	11	0	2.22045e-15
0.806429	DL	80	6	0	5	1	1	0	23	114	0	1	0	-40.7863	0	1	1
0.8065	DL	80	6	0	6	1	1	0	21	3725	26	1	0	23.9351	14	0	1.53211e-13
0.806571	DL	80	6	0	7	1	1	0	9	436	6	1	0	0.690323	4	0	0
0.806643	DL	80	6	0	8	1	1	0	28	4030	28	1	0	40.0401	15	0	0
0.806714	DL	80	6	0	9	1	1	0	22	114	0	1	0	-14.5553	0	1	1
0.806786	DL	80	6	0	10	1	1	0	11	114	0	1	0	-9.8993	0	1	1
0.806857	DL	80	6	0	11	1	1	0	27	4030	28	1	0	29.445	15	0	0
0.806929	DL	80	6	0	12	1	1	0	12	3285	24	1	0	20.1597	13	0	8.35063e-08
0.807357	DL	80	7	0	1	4	1	0	5	1752	16	1	1	14.5824	11	0	0
0.807643	DL	80	7	0	5	4	1	0	23	114	0	1	1	-36.9641	0	1	1
0.807643	DL	80	7	0	5	4	1	0	26	114	0	1	1	-12.0025	0	1	1
0.807929	DL	80	7	0	9	4	1	0	11	114	0	1	1	-5.00415	0	0	0
0.807929	DL	80	7	0	9	4	1	0	22	114	0	1	1	-11.5035	0	1	1
0.8085	DL	80	8	0	1	6	1	0	22	114	0	1	2	-6.82616	0	0	2.22045e-16
0.808929	DL	80	8	0	7	6	1	0	23	114	0	1	2	-36.7213	0	1	1
0.808929	DL	80	8	0	7	6	1	0	26	114	0	1	2	-11.7851	0	1	0.306323
0.809429	DL	80	9	0	1	5	1	0	22	114	0	1	2	-7.57383	0	0	1.69598e-12
0.809786	DL	80	9	0	6	5	1	0	23	114	0	1	2	-37.9298	0	1	1
0.809786	DL	80	9	0	6	5	1	0	26	114	0	1	2	-14.0789	0	1	0.999932
0.809857	DL	80	9	0	11	1	1	0	5	2409	20	1	0	8.60513	8	1	1
0.8105	DL	81	0	0	1	6	1	0	11	114	0	1	1	-6.98179	0	0	0
0.8105	DL	81	0	0	1	6	1	0	22	114	0	1	1	-9.63284	0	1	0.999367
0.810929	DL	81	0	0	7	6	1	0	23	114	0	1	1	-38.4424	0	1	1
0.810929	DL	81	0	0	7	6	1	0	26	114	0	1	1	-7.83552	0	0	0.326874
0.8115	DL	81	1	0	1	6	1	0	23	114	0	1	1	-39.602	0	1	1
0.8115	DL	81	1	0	1	6	1	0	26	114	0	1	1	-11.5426	0	1	1
0.811929	DL	81	1	0	7	6	1	0	11	114	0	1	1	-5.35816	1	0	0
0.811929	DL	81	1	0	7	6	1	0	22	114	0	1	1	-10.6812	0	1	0.999999
0.8125	DL	81	2	0	1	6	1	0	23	114	0	1	2	-38.1177	0	1	1
0.8125	DL	81	2	0	1	6	1	0	26	114	0	1	2	-11.7148	0	1	0.976449
0.812929	DL	81	2	0	7	6	1	0	22	114	0	1	2	-7.79533	0	0	6.23196e-09
0.813929	DL	81	3	0	1	12	1	0	23	114	0	1	3	-32.6827	0	1	1
0.813929	DL	81	3	0	1	12	1	0	26	114	0	1	3	-7.83689	0	0	0
0.814429	DL	81	4	0	1	5	1	0	23	114	0	1	3	-36.4375	0	1	1
0.814429	DL	81	4	0	1	5	1	0	26	114	0	1	3	-8.80092	0	0	0
0.814786	DL	81	4	0	6	5	1	0	5	2409	20	1	1	16.1726	12	0	0
