Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.02	gNB PHY Txed	2	0	0	1	0	0	RAR
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.023	gNB PHY Txed	2	3	0	1	0	0	UL_UCI
0.024	gNB PHY Txed	2	4	0	1	0	0	UL_UCI
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.028	gNB PHY Txed	2	8	0	1	0	0	RAR
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.03	gNB PHY Txed	3	0	0	1	0	0	UL_UCI
0.032	gNB PHY Txed	3	2	0	1	0	0	UL_UCI
0.034	gNB PHY Txed	3	4	0	1	0	0	UL_UCI
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.036	gNB PHY Txed	3	6	0	1	0	0	UL_UCI
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.041	gNB PHY Txed	4	1	0	1	0	0	UL_UCI
0.042	gNB PHY Txed	4	2	0	1	0	0	UL_UCI
0.043	gNB PHY Txed	4	3	0	1	0	0	UL_UCI
0.045	gNB PHY Txed	4	5	0	1	0	0	SIB1
0.048	gNB PHY Txed	4	8	0	1	0	0	UL_UCI
0.05	gNB PHY Txed	5	0	0	1	0	0	MIB
0.05	gNB PHY Txed	5	0	0	1	0	0	UL_UCI
0.053	gNB PHY Txed	5	3	0	1	0	0	UL_UCI
0.055	gNB PHY Txed	5	5	0	1	0	0	SIB1
0.056	gNB PHY Txed	5	6	0	1	0	0	UL_UCI
0.059	gNB PHY Txed	5	9	0	1	0	0	UL_UCI
0.06	gNB PHY Txed	6	0	0	1	0	0	MIB
0.061	gNB PHY Txed	6	1	0	1	0	0	UL_UCI
0.062	gNB PHY Txed	6	2	0	1	0	0	UL_UCI
0.065	gNB PHY Txed	6	5	0	1	0	0	UL_UCI
0.065	gNB PHY Txed	6	5	0	1	0	0	SIB1
0.07	gNB PHY Txed	7	0	0	1	0	0	MIB
0.075	gNB PHY Txed	7	5	0	1	0	0	SIB1
0.08	gNB PHY Txed	8	0	0	1	0	0	MIB
0.085	gNB PHY Txed	8	5	0	1	0	0	SIB1
0.087	gNB PHY Txed	8	7	0	1	0	0	UL_UCI
0.09	gNB PHY Txed	9	0	0	1	0	0	MIB
0.092	gNB PHY Txed	9	2	0	1	0	0	UL_UCI
0.093	gNB PHY Txed	9	3	0	1	0	0	UL_UCI
0.095	gNB PHY Txed	9	5	0	1	0	0	SIB1
0.096	gNB PHY Txed	9	6	0	1	0	0	UL_UCI
0.098	gNB PHY Txed	9	8	0	1	0	0	UL_UCI
0.1	gNB PHY Txed	10	0	0	1	0	0	MIB
0.103	gNB PHY Txed	10	3	0	1	0	0	UL_UCI
0.105	gNB PHY Txed	10	5	0	1	0	0	SIB1
0.11	gNB PHY Txed	11	0	0	1	0	0	MIB
0.112	gNB PHY Txed	11	2	0	1	0	0	UL_UCI
0.114	gNB PHY Txed	11	4	0	1	0	0	UL_UCI
0.115	gNB PHY Txed	11	5	0	1	0	0	SIB1
0.116	gNB PHY Txed	11	6	0	1	0	0	UL_UCI
0.12	gNB PHY Txed	12	0	0	1	0	0	MIB
0.121	gNB PHY Txed	12	1	0	1	0	0	UL_UCI
0.122	gNB PHY Txed	12	2	0	1	0	0	UL_UCI
0.123	gNB PHY Txed	12	3	0	1	0	0	UL_UCI
0.125	gNB PHY Txed	12	5	0	1	0	0	SIB1
0.128	gNB PHY Txed	12	8	0	1	0	0	UL_UCI
0.13	gNB PHY Txed	13	0	0	1	0	0	UL_UCI
0.13	gNB PHY Txed	13	0	0	1	0	0	MIB
0.133	gNB PHY Txed	13	3	0	1	0	0	UL_UCI
0.135	gNB PHY Txed	13	5	0	1	0	0	SIB1
0.136	gNB PHY Txed	13	6	0	1	0	0	UL_UCI
0.139	gNB PHY Txed	13	9	0	1	0	0	UL_UCI
0.14	gNB PHY Txed	14	0	0	1	0	0	MIB
0.141	gNB PHY Txed	14	1	0	1	0	0	UL_UCI
0.142	gNB PHY Txed	14	2	0	1	0	0	UL_UCI
0.145	gNB PHY Txed	14	5	0	1	0	0	UL_UCI
0.145	gNB PHY Txed	14	5	0	1	0	0	SIB1
0.15	gNB PHY Txed	15	0	0	1	0	0	MIB
0.155	gNB PHY Txed	15	5	0	1	0	0	SIB1
0.16	gNB PHY Txed	16	0	0	1	0	0	MIB
0.165	gNB PHY Txed	16	5	0	1	0	0	SIB1
0.167	gNB PHY Txed	16	7	0	1	0	0	UL_UCI
0.17	gNB PHY Txed	17	0	0	1	0	0	MIB
0.172	gNB PHY Txed	17	2	0	1	0	0	UL_UCI
0.173	gNB PHY Txed	17	3	0	1	0	0	UL_UCI
0.175	gNB PHY Txed	17	5	0	1	0	0	SIB1
0.176	gNB PHY Txed	17	6	0	1	0	0	UL_UCI
0.178	gNB PHY Txed	17	8	0	1	0	0	UL_UCI
0.18	gNB PHY Txed	18	0	0	1	0	0	MIB
0.183	gNB PHY Txed	18	3	0	1	0	0	UL_UCI
0.185	gNB PHY Txed	18	5	0	1	0	0	SIB1
0.19	gNB PHY Txed	19	0	0	1	0	0	MIB
0.192	gNB PHY Txed	19	2	0	1	0	0	UL_UCI
0.194	gNB PHY Txed	19	4	0	1	0	0	UL_UCI
0.195	gNB PHY Txed	19	5	0	1	0	0	SIB1
0.196	gNB PHY Txed	19	6	0	1	0	0	UL_UCI
