Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-106.646
0.0179286	1	0	2	-91.0857
0.0179286	1	0	3	-104.773
0.0179286	1	0	4	-97.8331
0.0179286	1	0	5	-97.3799
0.0179286	1	0	6	-100.975
0.0179286	1	0	7	-86.7638
0.0179286	1	0	8	-96.0161
0.0179286	1	0	9	-106.051
0.0179286	1	0	10	-106.856
0.0179286	1	0	11	-100.57
0.0179286	1	0	12	-104.731
0.0179286	1	0	13	-95.9166
0.0179286	1	0	14	-106.724
0.0179286	1	0	15	-108.465
0.0179286	1	0	16	-98.7946
0.0179286	1	0	17	-99.0922
0.0179286	1	0	18	-94.8984
0.0179286	1	0	19	-91.1616
0.0179286	1	0	20	-100.231
0.0258571	1	0	4	-97.5396
0.0259286	1	0	13	-95.6514
0.0259286	1	0	14	-106.274
0.0259286	1	0	15	-108.527
0.0259286	1	0	16	-99.6165
0.0259286	1	0	17	-98.9675
0.0259286	1	0	18	-94.62
0.0259286	1	0	19	-91.3296
0.0259286	1	0	20	-100.072
0.0348571	1	0	7	-86.107
0.0368571	1	0	3	-105.203
0.0388571	1	0	5	-97.4748
0.0438571	1	0	14	-106.87
0.0448571	1	0	20	-99.904
0.0458571	1	0	12	-104.405
0.0508571	1	0	15	-107.327
0.0528571	1	0	10	-106.917
0.0558571	1	0	16	-99.4488
0.0588571	1	0	1	-105.623
0.0618571	1	0	9	-104.274
0.0638571	1	0	11	-101.133
0.0648571	1	0	2	-91.7842
0.0678571	1	0	19	-92.6154
0.0898571	1	0	13	-96.5266
0.0948571	1	0	18	-92.9262
0.0958571	1	0	6	-99.6948
0.0988571	1	0	8	-97.0986
0.100857	1	0	17	-98.0511
0.105857	1	0	4	-98.3518
0.114857	1	0	7	-87.6412
0.116857	1	0	3	-103.526
0.118857	1	0	5	-98.2851
0.123857	1	0	14	-108.384
0.124857	1	0	20	-98.7782
0.125857	1	0	12	-104.567
0.130857	1	0	15	-106.709
0.132857	1	0	10	-106.646
0.135857	1	0	16	-97.2636
0.138857	1	0	1	-105.614
0.141857	1	0	9	-105.397
0.143857	1	0	11	-100.993
0.144857	1	0	2	-92.6301
0.147857	1	0	19	-91.5318
0.169857	1	0	13	-99.1351
0.174857	1	0	18	-92.0481
0.175857	1	0	6	-99.8479
0.178857	1	0	8	-98.0546
0.180857	1	0	17	-97.6714
0.185857	1	0	4	-98.6523
0.194857	1	0	7	-87.9366
0.196857	1	0	3	-104.249
0.198857	1	0	5	-97.7985
0.203857	1	0	14	-108.352
0.204857	1	0	20	-97.3728
0.205857	1	0	12	-102.833
0.210857	1	0	15	-107.292
0.212857	1	0	10	-107.044
0.215857	1	0	16	-96.6638
0.218857	1	0	1	-105.369
0.221857	1	0	9	-104.809
0.223857	1	0	11	-103.146
0.224857	1	0	2	-93.2956
0.227857	1	0	19	-91.9871
0.249857	1	0	13	-97.6952
0.254857	1	0	18	-93.2476
0.255857	1	0	6	-98.6822
0.258857	1	0	8	-96.4879
0.260857	1	0	17	-97.8862
0.265857	1	0	4	-100.086
0.274857	1	0	7	-87.6937
0.276857	1	0	3	-103.058
0.278857	1	0	5	-98.2965
0.283857	1	0	14	-107.891
0.284857	1	0	20	-96.357
0.285857	1	0	12	-102.346
0.290857	1	0	15	-108.053
0.292857	1	0	10	-106.327
0.295857	1	0	16	-95.0098
0.298857	1	0	1	-102.497
0.301857	1	0	9	-103.499
0.303857	1	0	11	-102.08
0.304857	1	0	2	-93.5011
0.307857	1	0	19	-96.297
0.329857	1	0	13	-97.1845
0.334857	1	0	18	-94.0243
0.335857	1	0	6	-99.7602
0.338857	1	0	8	-97.2901
0.340857	1	0	17	-98.4744
0.345857	1	0	4	-99.4015
0.354857	1	0	7	-87.8428
0.356857	1	0	3	-102.467
0.358857	1	0	5	-98.6444
0.363857	1	0	14	-107.746
0.364857	1	0	20	-97.54
0.365857	1	0	12	-102.562
0.370857	1	0	15	-108.974
0.372857	1	0	10	-107.524
0.375857	1	0	16	-95.2121
0.378857	1	0	1	-103.241
0.381857	1	0	9	-103.461
0.383857	1	0	11	-103.04
0.384857	1	0	2	-94.3588
0.387857	1	0	19	-96.1214
0.409857	1	0	13	-95.9853
0.414857	1	0	18	-95.5092
0.415857	1	0	6	-99.6449
0.415929	1	0	9	-103.445
0.415929	1	0	20	-95.9297
0.415929	1	0	19	-96.9186
0.415929	1	0	18	-95.4494
0.415929	1	0	17	-97.4347
0.415929	1	0	16	-96.1633
0.415929	1	0	15	-108.524
0.415929	1	0	14	-108.815
0.415929	1	0	13	-95.5093
0.415929	1	0	12	-102.809
0.415929	1	0	11	-103.537
0.415929	1	0	10	-108.099
0.416929	1	0	20	-96.0965
0.416929	1	0	19	-96.9727
0.416929	1	0	18	-95.3094
0.416929	1	0	17	-97.4955
0.416929	1	0	16	-96.2462
0.416929	1	0	15	-108.641
0.416929	1	0	14	-108.992
0.416929	1	0	13	-95.3978
0.416929	1	0	12	-102.731
0.416929	1	0	11	-103.317
0.416929	1	0	10	-108.114
0.416929	1	0	9	-103.444
0.417929	1	0	20	-96.2722
0.417929	1	0	19	-97.1066
0.417929	1	0	18	-95.3266
0.417929	1	0	17	-97.3503
0.417929	1	0	16	-96.3898
0.417929	1	0	15	-108.699
0.417929	1	0	14	-109.072
0.417929	1	0	13	-95.2263
0.417929	1	0	12	-102.734
0.417929	1	0	11	-103.083
0.417929	1	0	10	-108.037
0.418857	1	0	8	-98.0724
0.418929	1	0	9	-103.189
0.418929	1	0	20	-96.2893
0.418929	1	0	19	-96.9636
0.418929	1	0	18	-95.4759
0.418929	1	0	17	-97.2714
0.418929	1	0	16	-96.3662
0.418929	1	0	15	-108.55
0.418929	1	0	14	-109.166
0.418929	1	0	13	-95.5167
0.418929	1	0	12	-102.731
0.418929	1	0	11	-102.939
0.418929	1	0	10	-107.878
0.419929	1	0	20	-96.1076
0.419929	1	0	19	-96.9137
0.419929	1	0	18	-95.1378
0.419929	1	0	17	-97.256
0.419929	1	0	16	-96.5367
0.419929	1	0	15	-108.292
0.419929	1	0	14	-109.329
0.419929	1	0	13	-95.6743
0.419929	1	0	12	-102.693
0.419929	1	0	11	-102.961
0.419929	1	0	10	-108.035
0.419929	1	0	9	-103.149
0.420857	1	0	17	-97.4832
0.420929	1	0	9	-102.777
0.420929	1	0	20	-96.2687
0.420929	1	0	19	-96.8325
0.420929	1	0	18	-95.0263
0.420929	1	0	16	-96.4832
0.420929	1	0	15	-108.187
0.420929	1	0	14	-109.245
0.420929	1	0	13	-95.6934
0.420929	1	0	12	-102.321
0.420929	1	0	11	-103.14
0.420929	1	0	10	-108.124
0.420929	1	0	17	-97.4712
0.421929	1	0	20	-96.2194
0.421929	1	0	19	-96.903
0.421929	1	0	18	-95.097
0.421929	1	0	17	-97.6152
0.421929	1	0	16	-96.5305
0.421929	1	0	15	-108.308
0.421929	1	0	14	-109.463
0.421929	1	0	13	-95.827
0.421929	1	0	12	-102.297
0.421929	1	0	11	-103.119
0.421929	1	0	10	-107.942
0.421929	1	0	9	-102.714
0.422929	1	0	20	-96.2683
0.422929	1	0	19	-96.8445
0.422929	1	0	18	-95.0593
0.422929	1	0	17	-97.6604
0.422929	1	0	16	-96.6279
0.422929	1	0	15	-108.44
0.422929	1	0	14	-109.41
0.422929	1	0	13	-95.725
0.422929	1	0	12	-102.425
0.422929	1	0	11	-103.119
0.422929	1	0	10	-107.78
0.422929	1	0	9	-102.799
0.423929	1	0	20	-96.2151
0.423929	1	0	19	-97.0189
0.423929	1	0	18	-94.9252
0.423929	1	0	17	-97.821
0.423929	1	0	16	-96.8922
0.423929	1	0	15	-108.458
0.423929	1	0	14	-109.416
0.423929	1	0	13	-95.6399
0.423929	1	0	12	-102.378
0.423929	1	0	11	-102.89
0.423929	1	0	10	-107.553
0.423929	1	0	9	-102.844
0.424929	1	0	20	-96.1623
0.424929	1	0	19	-96.7876
0.424929	1	0	18	-94.8585
0.424929	1	0	17	-97.8162
0.424929	1	0	16	-97.171
0.424929	1	0	15	-108.601
0.424929	1	0	14	-109.239
0.424929	1	0	13	-95.7372
0.424929	1	0	12	-102.459
0.424929	1	0	11	-102.686
0.424929	1	0	10	-107.697
0.424929	1	0	9	-102.711
0.425857	1	0	4	-99.1026
0.425929	1	0	9	-102.706
0.425929	1	0	20	-96.1186
0.425929	1	0	19	-96.8558
0.425929	1	0	18	-94.8665
0.425929	1	0	17	-97.5547
0.425929	1	0	16	-97.1968
0.425929	1	0	15	-108.572
0.425929	1	0	14	-109.04
0.425929	1	0	13	-95.5153
0.425929	1	0	12	-102.253
0.425929	1	0	11	-102.719
0.425929	1	0	10	-107.74
0.426929	1	0	20	-96.1002
0.426929	1	0	19	-96.956
0.426929	1	0	18	-95.0419
0.426929	1	0	17	-97.6124
0.426929	1	0	16	-97.1916
0.426929	1	0	15	-108.568
0.426929	1	0	14	-109.042
0.426929	1	0	13	-95.3291
0.426929	1	0	12	-102.352
0.426929	1	0	11	-102.741
0.426929	1	0	10	-107.627
0.426929	1	0	9	-102.831
0.427929	1	0	20	-96.0166
0.427929	1	0	19	-96.8421
0.427929	1	0	18	-95.1113
0.427929	1	0	17	-97.7034
0.427929	1	0	16	-97.0821
0.427929	1	0	15	-108.638
0.427929	1	0	14	-109.328
0.427929	1	0	13	-95.4804
0.427929	1	0	12	-102.435
0.427929	1	0	11	-102.688
0.427929	1	0	10	-107.876
0.427929	1	0	9	-103.045
0.428929	1	0	20	-96.0304
0.428929	1	0	19	-96.6593
0.428929	1	0	18	-94.9305
0.428929	1	0	17	-97.6478
0.428929	1	0	16	-96.9763
0.428929	1	0	15	-108.679
0.428929	1	0	14	-109.434
0.428929	1	0	13	-95.3291
0.428929	1	0	12	-102.494
0.428929	1	0	11	-102.685
0.428929	1	0	10	-108.046
0.428929	1	0	9	-102.965
0.429929	1	0	20	-96.0764
0.429929	1	0	19	-96.6543
0.429929	1	0	18	-94.7781
0.429929	1	0	17	-97.8447
0.429929	1	0	16	-96.867
0.429929	1	0	15	-108.785
0.429929	1	0	14	-109.274
0.429929	1	0	13	-95.2816
0.429929	1	0	12	-102.532
