Time	CellId	RNTI	BWPId	SINR(dB)
0.113143	1	21	0	20.4355
0.113214	1	26	0	31.2555
0.113286	1	27	0	44.2835
0.113357	1	10	0	27.9363
0.114143	1	5	0	-26.8362
0.115143	1	3	0	0.575117
0.115214	1	12	0	-7.44897
0.115286	1	23	0	-41.7781
0.116143	1	8	0	18.6175
0.116214	1	7	0	47.7917
0.116286	1	24	0	-25.8119
0.117143	1	9	0	-13.5206
0.117214	1	1	0	5.24503
0.117286	1	11	0	12.1698
0.118143	1	22	0	-18.8268
0.119929	1	5	0	-28.2829
0.1205	1	23	0	-42.0619
0.120929	1	12	0	-6.98433
0.121643	1	24	0	-27.6677
0.122929	1	9	0	-13.7308
0.123786	1	22	0	-20.5763
0.124714	1	5	0	-29.338
0.125714	1	23	0	-42.4664
0.126714	1	24	0	-27.0377
0.127143	1	4	0	12.0724
0.127214	1	6	0	-6.53056
0.127286	1	28	0	-25.887
0.127357	1	25	0	19.9913
0.127429	1	2	0	4.59076
0.128857	1	22	0	-23.7111
0.129786	1	5	0	-27.8199
0.130714	1	23	0	-43.0565
0.131643	1	24	0	-26.5624
0.132857	1	28	0	-22.9191
0.133857	1	22	0	-20.0793
0.137929	1	28	0	-23.5674
0.142929	1	28	0	-23.6962
0.144214	1	27	0	44.1137
0.147214	1	7	0	49.6423
0.159214	1	10	0	28.4977
0.159357	1	26	0	32.0067
0.179286	1	7	0	50.562
0.181286	1	27	0	43.5616
0.205143	1	10	0	11.7818
0.206143	1	26	0	40.3385
0.210857	1	10	0	10.836
0.211286	1	7	0	24.9587
0.217286	1	27	0	-1.48039
0.221286	1	26	0	40.2598
0.222929	1	27	0	-1.33453
0.223786	1	27	0	-1.83256
0.224643	1	27	0	-1.52987
0.226286	1	10	0	10.5962
0.227857	1	27	0	-0.607245
0.231929	1	10	0	11.0243
0.232929	1	27	0	-0.552747
0.238143	1	26	0	39.9513
0.252214	1	26	0	40.2313
0.257286	1	26	0	38.8088
0.270214	1	26	0	38.5211
0.288214	1	26	0	39.6401
0.294286	1	26	0	39.2079
0.301143	1	26	0	40.5024
0.306143	1	26	0	40.3944
0.320143	1	26	0	40.3365
0.326214	1	26	0	40.2303
0.332214	1	26	0	40.7536
0.338143	1	26	0	41.2279
0.349143	1	26	0	41.0325
0.352143	1	26	0	40.638
0.355143	1	26	0	41.3149
0.358143	1	26	0	40.7453
0.361214	1	26	0	41.2692
0.363143	1	26	0	40.7831
0.367143	1	26	0	40.2427
0.370429	1	27	0	34.0511
0.380286	1	26	0	40.9009
0.381143	1	27	0	35.1001
0.386143	1	26	0	40.0867
0.392143	1	26	0	40.6551
0.403214	1	26	0	40.4704
0.406143	1	27	0	12.68
0.409143	1	26	0	40.8526
