Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	1	-128.325
0	1	0	2	-130.781
0	1	0	3	-99.2067
0	1	0	4	-97.9289
0	1	0	5	-176.722
0	1	0	6	-108.874
0	1	0	7	-91.5735
0	1	0	8	-100.883
0	1	0	9	-91.7158
0	1	0	10	-99.3609
0	1	0	11	-173.984
0	1	0	12	-130.467
0	1	0	13	-94.9375
0	1	0	14	-148.236
0	1	0	15	-180.182
0	1	0	16	-142.763
0	1	0	17	-120.6
0	1	0	18	-112.812
0	1	0	19	-98.4001
0	1	0	20	-167.041
0.005	1	0	1	-130.454
0.005	1	0	2	-130.327
0.005	1	0	3	-104.975
0.005	1	0	4	-98.9384
0.005	1	0	5	-158.854
0.005	1	0	6	-118.272
0.005	1	0	7	-86.7864
0.005	1	0	8	-95.9096
0.005	1	0	9	-106.32
0.005	1	0	10	-106.737
0.005	1	0	11	-164.693
0.005	1	0	12	-141.958
0.005	1	0	13	-95.5553
0.005	1	0	14	-150.677
0.005	1	0	15	-181.003
0.005	1	0	16	-140.948
0.005	1	0	17	-117.952
0.005	1	0	18	-114.866
0.005	1	0	19	-90.946
0.005	1	0	20	-162.103
0.01	1	0	1	-129.955
0.01	1	0	2	-130.853
0.01	1	0	3	-104.707
0.01	1	0	4	-98.3509
0.01	1	0	5	-159.448
0.01	1	0	6	-118.812
0.01	1	0	7	-86.4842
0.01	1	0	8	-96.1166
0.01	1	0	9	-105.98
0.01	1	0	10	-106.761
0.01	1	0	11	-165.165
0.01	1	0	12	-141.504
0.01	1	0	13	-95.7274
0.01	1	0	14	-150.828
0.01	1	0	15	-180.759
0.01	1	0	16	-141.255
0.01	1	0	17	-117.843
0.01	1	0	18	-114.98
0.01	1	0	19	-90.8521
0.01	1	0	20	-162.413
0.015	1	0	1	-129.861
0.015	1	0	2	-130.962
0.015	1	0	3	-104.777
0.015	1	0	4	-97.8919
0.015	1	0	5	-160.346
0.015	1	0	6	-119.12
0.015	1	0	7	-86.658
0.015	1	0	8	-95.8464
0.015	1	0	9	-106.085
0.015	1	0	10	-106.793
0.015	1	0	11	-165.216
0.015	1	0	12	-141.419
0.015	1	0	13	-95.6224
0.015	1	0	14	-151.126
0.015	1	0	15	-180.071
0.015	1	0	16	-141.337
0.015	1	0	17	-117.878
0.015	1	0	18	-115.648
0.015	1	0	19	-91.1099
0.015	1	0	20	-162.575
0.02	1	0	1	-129.866
0.02	1	0	2	-130.737
0.02	1	0	3	-104.859
0.02	1	0	4	-97.8776
0.02	1	0	5	-160.544
0.02	1	0	6	-119.129
0.02	1	0	7	-86.4631
0.02	1	0	8	-95.5128
0.02	1	0	9	-105.602
0.02	1	0	10	-106.768
0.02	1	0	11	-165.156
0.02	1	0	12	-141.9
0.02	1	0	13	-95.7208
0.02	1	0	14	-151.493
0.02	1	0	15	-179.955
0.02	1	0	16	-141.667
0.02	1	0	17	-118.377
0.02	1	0	18	-115.425
0.02	1	0	19	-91.4193
0.02	1	0	20	-162.494
0.023	1	0	1	-129.728
0.023	1	0	2	-130.842
0.023	1	0	3	-104.608
0.023	1	0	4	-97.5649
0.023	1	0	5	-160.647
0.023	1	0	6	-119.519
0.023	1	0	7	-86.4417
0.023	1	0	8	-95.1936
0.023	1	0	9	-105.359
0.023	1	0	10	-106.785
0.023	1	0	11	-165.353
0.023	1	0	12	-142.107
0.023	1	0	13	-95.9083
0.023	1	0	14	-151.062
0.023	1	0	15	-180.077
0.023	1	0	16	-141.925
0.023	1	0	17	-118.205
0.023	1	0	18	-115.647
0.023	1	0	19	-91.5018
0.023	1	0	20	-162.742
0.024	1	0	1	-129.65
0.024	1	0	2	-130.697
0.024	1	0	3	-104.515
0.024	1	0	4	-97.482
0.024	1	0	5	-160.623
0.024	1	0	6	-119.548
0.024	1	0	7	-86.3917
0.024	1	0	8	-95.0964
0.024	1	0	9	-105.333
0.024	1	0	10	-106.688
0.024	1	0	11	-165.537
0.024	1	0	12	-142.124
0.024	1	0	13	-95.8715
0.024	1	0	14	-150.822
0.024	1	0	15	-180.157
0.024	1	0	16	-141.967
0.024	1	0	17	-118.119
0.024	1	0	18	-115.633
0.024	1	0	19	-91.3557
0.024	1	0	20	-162.642
0.025	1	0	1	-129.652
0.025	1	0	2	-130.585
0.025	1	0	3	-104.662
0.025	1	0	4	-97.4423
0.025	1	0	5	-160.56
0.025	1	0	6	-119.69
0.025	1	0	7	-86.2778
0.025	1	0	8	-94.9757
0.025	1	0	9	-105.258
0.025	1	0	10	-106.656
0.025	1	0	11	-165.614
0.025	1	0	12	-142.183
0.025	1	0	13	-95.8132
0.025	1	0	14	-150.94
0.025	1	0	15	-180.313
0.025	1	0	16	-142.123
0.025	1	0	17	-117.923
0.025	1	0	18	-115.34
0.025	1	0	19	-91.1924
0.025	1	0	20	-162.504
0.028	1	0	1	-129.46
0.028	1	0	2	-130.708
0.028	1	0	3	-104.995
0.028	1	0	4	-97.3676
0.028	1	0	5	-160.616
0.028	1	0	6	-120.167
0.028	1	0	7	-86.2366
0.028	1	0	8	-95.0128
0.028	1	0	9	-105.099
0.028	1	0	10	-106.83
0.028	1	0	11	-165.629
0.028	1	0	12	-142.009
0.028	1	0	13	-95.8637
0.028	1	0	14	-150.711
0.028	1	0	15	-180.138
0.028	1	0	16	-141.984
0.028	1	0	17	-117.979
0.028	1	0	18	-115.075
0.028	1	0	19	-91.3966
0.028	1	0	20	-162.388
0.03	1	0	1	-129.423
0.03	1	0	2	-130.651
0.03	1	0	3	-105.004
0.03	1	0	4	-97.2953
0.03	1	0	5	-160.548
0.03	1	0	6	-120.242
0.03	1	0	7	-86.1028
0.03	1	0	8	-94.9505
0.03	1	0	9	-105.263
0.03	1	0	10	-107.028
0.03	1	0	11	-165.548
0.03	1	0	12	-142.175
0.03	1	0	13	-95.7897
0.03	1	0	14	-150.732
0.03	1	0	15	-179.789
0.03	1	0	16	-142.311
0.03	1	0	17	-117.988
0.03	1	0	18	-114.96
0.03	1	0	19	-91.6661
0.03	1	0	20	-162.937
0.032	1	0	1	-128.999
0.032	1	0	2	-130.87
0.032	1	0	3	-104.938
0.032	1	0	4	-97.1338
0.032	1	0	5	-160.494
0.032	1	0	6	-120.459
0.032	1	0	7	-86.0262
0.032	1	0	8	-94.9433
0.032	1	0	9	-105.157
0.032	1	0	10	-106.922
0.032	1	0	11	-165.334
0.032	1	0	12	-142.039
0.032	1	0	13	-95.7809
0.032	1	0	14	-150.699
0.032	1	0	15	-179.62
0.032	1	0	16	-142.073
0.032	1	0	17	-117.844
0.032	1	0	18	-114.482
0.032	1	0	19	-91.7844
0.032	1	0	20	-162.774
0.034	1	0	1	-128.53
0.034	1	0	2	-130.713
0.034	1	0	3	-105.093
0.034	1	0	4	-97.2784
0.034	1	0	5	-159.957
0.034	1	0	6	-120.275
0.034	1	0	7	-86.1153
0.034	1	0	8	-95.0169
0.034	1	0	9	-105.232
0.034	1	0	10	-106.796
0.034	1	0	11	-165.291
0.034	1	0	12	-141.747
0.034	1	0	13	-96.0703
0.034	1	0	14	-150.577
0.034	1	0	15	-179.84
0.034	1	0	16	-142.318
0.034	1	0	17	-117.645
0.034	1	0	18	-114.466
0.034	1	0	19	-91.9479
0.034	1	0	20	-162.582
0.035	1	0	1	-128.501
0.035	1	0	2	-130.823
0.035	1	0	3	-105.047
0.035	1	0	4	-97.3877
0.035	1	0	5	-160.02
0.035	1	0	6	-120.038
0.035	1	0	7	-86.1845
0.035	1	0	8	-95.1806
0.035	1	0	9	-105.101
0.035	1	0	10	-106.853
0.035	1	0	11	-165.341
0.035	1	0	12	-141.638
0.035	1	0	13	-95.8042
0.035	1	0	14	-150.777
0.035	1	0	15	-179.666
