% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.111	1	0	0	21	11	3	0	1	1	15	1	0	0	114
0.111	1	0	0	26	11	3	0	2	1	15	1	0	0	114
0.111	1	0	0	27	11	3	0	3	1	15	1	0	0	114
0.111	1	0	0	10	11	3	0	4	1	15	1	0	0	114
0.112	1	0	0	5	11	4	0	1	1	15	1	0	0	114
0.113	1	0	0	3	11	5	0	1	1	15	1	0	0	114
0.113	1	0	0	12	11	5	0	2	1	15	1	0	0	114
0.113	1	0	0	23	11	5	0	3	1	15	1	0	0	114
0.114	1	0	0	8	11	6	0	1	1	15	1	0	0	114
0.114	1	0	0	7	11	6	0	2	1	15	1	0	0	114
0.114	1	0	0	24	11	6	0	3	1	15	1	0	0	114
0.115	1	0	0	9	11	7	0	1	1	15	1	0	0	114
0.115	1	0	0	1	11	7	0	2	1	15	1	0	0	114
0.115	1	0	0	11	11	7	0	3	1	15	1	0	0	114
0.116	1	0	0	22	11	8	0	1	1	15	1	0	0	114
0.125	1	0	0	4	12	7	0	1	1	15	1	0	0	114
0.125	1	0	0	6	12	7	0	2	1	15	1	0	0	114
0.125	1	0	0	28	12	7	0	3	1	15	1	0	0	114
0.125	1	0	0	25	12	7	0	4	1	15	1	0	0	114
0.125	1	0	0	2	12	7	0	5	1	15	1	0	0	114
0.142	1	0	0	27	14	4	0	1	2	15	1	0	28	8060
0.145	1	0	0	7	14	7	0	1	2	15	1	0	28	8060
0.157	1	0	0	10	15	9	0	1	2	15	1	0	28	8060
0.157	1	0	0	26	15	9	0	3	2	15	1	0	28	8060
0.177	1	0	0	7	17	9	0	1	3	15	1	0	28	12091
0.179	1	0	0	27	18	1	0	1	3	15	1	0	28	12091
0.203	1	0	0	10	20	5	0	1	1	15	1	0	28	4030
0.204	1	0	0	26	20	6	0	1	1	15	1	0	28	4030
0.209	1	0	0	7	21	1	0	1	3	15	1	0	28	12091
0.215	1	0	0	27	21	7	0	1	3	15	1	0	28	12091
0.219	1	0	0	26	22	1	0	1	3	15	1	0	28	12091
0.221	1	0	0	27	22	3	0	1	10	14	1	0	4	2775
0.222	1	0	0	27	22	4	0	1	8	13	1	0	4	2221
0.224	1	0	0	10	22	6	0	1	3	15	1	0	24	9857
0.236	1	0	0	26	23	8	0	1	1	15	1	0	28	4030
0.25	1	0	0	26	25	2	0	1	2	15	1	0	28	8060
0.255	1	0	0	26	25	7	0	1	3	14	1	0	28	12091
0.268	1	0	0	26	27	0	0	1	2	15	1	0	28	8060
0.286	1	0	0	26	28	8	0	1	2	15	1	0	28	8060
0.292	1	0	0	26	29	4	0	1	3	15	1	0	28	12091
0.299	1	0	0	26	30	1	0	1	1	15	1	0	28	4030
0.304	1	0	0	26	30	6	0	1	1	15	1	0	28	4030
0.318	1	0	0	26	32	0	0	1	1	15	1	0	28	4030
0.324	1	0	0	26	32	6	0	1	2	15	1	0	28	8060
0.33	1	0	0	26	33	2	0	1	2	15	1	0	28	8060
0.336	1	0	0	26	33	8	0	1	1	15	1	0	28	4030
0.347	1	0	0	26	34	9	0	1	1	15	1	0	28	4030
0.35	1	0	0	26	35	2	0	1	1	14	1	0	28	4030
0.353	1	0	0	26	35	5	0	1	1	15	1	0	28	4030
0.356	1	0	0	26	35	8	0	1	1	14	1	0	28	4030
0.359	1	0	0	26	36	1	0	1	2	15	1	0	28	8060
0.361	1	0	0	26	36	3	0	1	1	14	1	0	28	4030
0.365	1	0	0	26	36	7	0	1	1	15	1	0	28	4030
0.368	1	0	0	27	37	0	0	1	5	15	1	0	10	4382
0.378	1	0	0	26	38	0	0	1	3	15	1	0	28	12091
0.379	1	0	0	27	38	1	0	1	1	15	1	0	28	4030
0.384	1	0	0	26	38	6	0	1	1	15	1	0	28	4030
0.39	1	0	0	26	39	2	0	1	1	15	1	0	28	4030
0.401	1	0	0	26	40	3	0	1	2	15	1	0	28	8060
0.404	1	0	0	27	40	6	0	1	1	15	1	0	28	4030
0.407	1	0	0	26	40	9	0	1	1	15	1	0	28	4030
0.413	1	0	0	26	41	5	0	1	3	15	1	0	28	12091
0.415	1	0	0	27	41	7	0	1	2	15	1	0	26	7448
0.422	1	0	0	26	42	4	0	1	1	15	1	0	28	4030
0.433	1	0	0	26	43	5	0	1	2	15	1	0	28	8060
0.439	1	0	0	26	44	1	0	1	2	15	1	0	28	8060
0.445	1	0	0	26	44	7	0	1	1	15	1	0	28	4030
