time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.113243	1	21	3	58	0.00285291
0.113314	1	26	3	58	0.00280521
0.113386	1	27	3	58	0.00275234
0.113457	1	10	3	58	0.00271227
0.115243	1	3	3	58	0.00313951
0.116243	1	8	3	58	0.00275621
0.116314	1	7	3	58	0.00268269
0.117314	1	1	3	58	0.00284576
0.117386	1	11	3	58	0.00262131
0.121029	1	12	3	58	0.00836366
0.123029	1	9	3	58	0.00900753
0.127243	1	4	3	58	0.00744972
0.127314	1	6	3	58	0.0105081
0.127457	1	25	3	58	0.00854053
0.127529	1	2	3	58	0.00946625
0.133957	1	22	3	58	0.0182836
0.143029	1	28	3	58	0.0240179
0.144314	1	27	3	54	0.00242826
0.144314	1	27	3	590	0.00242733
0.144314	1	27	3	590	0.00242682
0.144314	1	27	3	590	0.00242632
0.144314	1	27	3	590	0.00242582
0.144314	1	27	3	590	0.00242531
0.144314	1	27	3	590	0.00242481
0.144314	1	27	3	590	0.0024243
0.144314	1	27	3	590	0.0024238
0.144314	1	27	3	590	0.0024233
0.144314	1	27	3	590	0.00242279
0.147314	1	7	3	54	0.00235683
0.147314	1	7	3	590	0.0023559
0.147314	1	7	3	590	0.0023554
0.147314	1	7	3	590	0.00235489
0.147314	1	7	3	590	0.00235439
0.147314	1	7	3	590	0.00235388
0.147314	1	7	3	590	0.00235338
0.147314	1	7	3	590	0.00235288
0.147314	1	7	3	590	0.00235237
0.147314	1	7	3	590	0.00235187
0.147314	1	7	3	590	0.00235136
0.159314	1	10	3	54	0.00235683
0.159314	1	10	3	590	0.0023559
0.159314	1	10	3	590	0.0023554
0.159314	1	10	3	590	0.00235489
0.159314	1	10	3	590	0.00235439
0.159314	1	10	3	590	0.00235388
0.159314	1	10	3	590	0.00235338
0.159314	1	10	3	590	0.00235288
0.159314	1	10	3	590	0.00235237
0.159314	1	10	3	590	0.00235187
0.159314	1	10	3	590	0.00235136
0.159457	1	26	3	54	0.00257112
0.159457	1	26	3	590	0.00257018
0.159457	1	26	3	590	0.00256968
0.159457	1	26	3	590	0.00256918
0.159457	1	26	3	590	0.00256867
0.159457	1	26	3	590	0.00256817
0.159457	1	26	3	590	0.00256766
0.159457	1	26	3	590	0.00256716
0.159457	1	26	3	590	0.00256666
0.159457	1	26	3	590	0.00256615
0.159457	1	26	3	590	0.00256565
0.179386	1	7	3	590	0.00335594
0.179386	1	7	3	590	0.00335544
0.179386	1	7	3	590	0.00335493
0.179386	1	7	3	590	0.00335443
0.179386	1	7	3	590	0.00335392
0.179386	1	7	3	590	0.00335342
0.179386	1	7	3	590	0.00335292
0.179386	1	7	3	590	0.00335241
0.179386	1	7	3	590	0.00335191
0.179386	1	7	3	590	0.0033514
0.179386	1	7	3	590	0.0033509
0.179386	1	7	3	590	0.0033504
0.179386	1	7	3	590	0.00334989
0.179386	1	7	3	590	0.00334939
0.179386	1	7	3	590	0.00334888
0.179386	1	7	3	590	0.00334838
0.179386	1	7	3	590	0.00334788
0.181386	1	27	3	590	0.00335594
0.181386	1	27	3	590	0.00335544
0.181386	1	27	3	590	0.00335493
0.181386	1	27	3	590	0.00335443
0.181386	1	27	3	590	0.00335392
0.181386	1	27	3	590	0.00335342
0.181386	1	27	3	590	0.00335292
0.181386	1	27	3	590	0.00335241
0.181386	1	27	3	590	0.00335191
0.181386	1	27	3	590	0.0033514
0.181386	1	27	3	590	0.0033509
0.181386	1	27	3	590	0.0033504
0.181386	1	27	3	590	0.00334989
0.181386	1	27	3	590	0.00334939
0.181386	1	27	3	590	0.00334888
0.181386	1	27	3	590	0.00334838
0.181386	1	27	3	590	0.00334788
0.206243	1	26	3	590	0.00321308
0.206243	1	26	3	590	0.00321258
0.210957	1	10	3	590	0.00799879
0.210957	1	10	3	590	0.00799829
0.211386	1	7	3	590	0.00335594
0.211386	1	7	3	590	0.00335544
0.211386	1	7	3	590	0.00335493
0.211386	1	7	3	590	0.00335443
0.211386	1	7	3	590	0.00335392
0.211386	1	7	3	590	0.00335342
0.211386	1	7	3	590	0.00335292
0.211386	1	7	3	590	0.00335241
0.211386	1	7	3	590	0.00335191
0.211386	1	7	3	590	0.0033514
0.211386	1	7	3	590	0.0033509
0.211386	1	7	3	590	0.0033504
0.211386	1	7	3	590	0.00334989
0.211386	1	7	3	590	0.00334939
0.211386	1	7	3	590	0.00334888
0.211386	1	7	3	590	0.00334838
0.211386	1	7	3	590	0.00334788
0.221386	1	26	3	590	0.00242737
0.221386	1	26	3	590	0.00242686
0.221386	1	26	3	590	0.00242636
0.221386	1	26	3	590	0.00242586
