time(s)	cellId	rnti	lcid	packetSize
0.11039	1	21	3	58
0.110509	1	26	3	58
0.110633	1	27	3	58
0.110745	1	10	3	58
0.111876	1	5	3	58
0.112103	1	3	3	58
0.112665	1	12	3	58
0.11275	1	23	3	58
0.113152	1	24	3	58
0.113487	1	8	3	58
0.113632	1	7	3	58
0.114021	1	9	3	58
0.114469	1	1	3	58
0.114764	1	11	3	58
0.115674	1	22	3	58
0.116806	1	6	3	58
0.118062	1	2	3	58
0.118917	1	25	3	58
0.119011	1	28	3	58
0.119793	1	4	3	58
0.141886	1	27	3	54
0.141887	1	27	3	590
0.141887	1	27	3	590
0.141888	1	27	3	590
0.141888	1	27	3	590
0.141889	1	27	3	590
0.141889	1	27	3	590
0.14189	1	27	3	590
0.14189	1	27	3	590
0.141891	1	27	3	590
0.141891	1	27	3	590
0.144957	1	7	3	54
0.144958	1	7	3	590
0.144959	1	7	3	590
0.144959	1	7	3	590
0.14496	1	7	3	590
0.14496	1	7	3	590
0.144961	1	7	3	590
0.144961	1	7	3	590
0.144962	1	7	3	590
0.144962	1	7	3	590
0.144963	1	7	3	590
0.156886	1	26	3	54
0.156887	1	26	3	590
0.156887	1	26	3	590
0.156888	1	26	3	590
0.156888	1	26	3	590
0.156889	1	26	3	590
0.156889	1	26	3	590
0.15689	1	26	3	590
0.15689	1	26	3	590
0.156891	1	26	3	590
0.156891	1	26	3	590
0.156957	1	10	3	54
0.156958	1	10	3	590
0.156959	1	10	3	590
0.156959	1	10	3	590
0.15696	1	10	3	590
0.15696	1	10	3	590
0.156961	1	10	3	590
0.156961	1	10	3	590
0.156962	1	10	3	590
0.156962	1	10	3	590
0.156963	1	10	3	590
0.17603	1	7	3	590
0.17603	1	7	3	590
0.176031	1	7	3	590
0.176031	1	7	3	590
0.176032	1	7	3	590
0.176032	1	7	3	590
0.176033	1	7	3	590
0.176033	1	7	3	590
0.176034	1	7	3	590
0.176034	1	7	3	590
0.176035	1	7	3	590
0.176035	1	7	3	590
0.176036	1	7	3	590
0.176036	1	7	3	590
0.176037	1	7	3	590
0.176037	1	7	3	590
0.176038	1	7	3	590
0.176038	1	7	3	590
0.17803	1	27	3	590
0.17803	1	27	3	590
0.178031	1	27	3	590
0.178031	1	27	3	590
0.178032	1	27	3	590
0.178032	1	27	3	590
0.178033	1	27	3	590
0.178033	1	27	3	590
0.178034	1	27	3	590
0.178034	1	27	3	590
0.178035	1	27	3	590
0.178035	1	27	3	590
0.178036	1	27	3	590
0.178036	1	27	3	590
0.178037	1	27	3	590
0.178037	1	27	3	590
0.178038	1	27	3	590
0.178038	1	27	3	590
0.202958	1	10	3	590
0.202959	1	10	3	590
0.20303	1	26	3	590
0.20303	1	26	3	590
0.20803	1	7	3	590
0.20803	1	7	3	590
0.208031	1	7	3	590
0.208031	1	7	3	590
0.208032	1	7	3	590
0.208032	1	7	3	590
0.208033	1	7	3	590
0.208033	1	7	3	590
0.208034	1	7	3	590
0.208034	1	7	3	590
0.208035	1	7	3	590
0.208035	1	7	3	590
0.208036	1	7	3	590
0.208036	1	7	3	590
0.208037	1	7	3	590
0.208037	1	7	3	590
0.208038	1	7	3	590
0.208038	1	7	3	590
0.208039	1	7	3	590
0.208039	1	7	3	590
0.20804	1	7	3	590
0.20804	1	7	3	590
0.208041	1	7	3	590
0.208041	1	7	3	590
0.208042	1	7	3	590
0.208042	1	7	3	590
0.208043	1	7	3	590
0.208043	1	7	3	590
0.208044	1	7	3	590
0.208044	1	7	3	590
0.208045	1	7	3	590
0.208045	1	7	3	590
0.208046	1	7	3	590
0.208046	1	7	3	590
0.208047	1	7	3	590
0.208047	1	7	3	590
0.214958	1	27	3	590
0.214959	1	27	3	590
0.214959	1	27	3	590
0.21496	1	27	3	590
0.21496	1	27	3	590
0.214961	1	27	3	590
0.214961	1	27	3	590
0.214962	1	27	3	590
0.214962	1	27	3	590
0.214963	1	27	3	590
0.214963	1	27	3	590
0.214964	1	27	3	590
0.214964	1	27	3	590
0.214965	1	27	3	590
0.214965	1	27	3	590
0.214966	1	27	3	590
0.214966	1	27	3	590
0.214967	1	27	3	590
0.214967	1	27	3	590
0.214968	1	27	3	590
0.214968	1	27	3	590
0.214969	1	27	3	590
0.214969	1	27	3	590
0.21497	1	27	3	590
0.21497	1	27	3	590
0.214971	1	27	3	590
0.214971	1	27	3	590
0.214972	1	27	3	590
0.218958	1	26	3	590
0.218959	1	26	3	590
0.218959	1	26	3	590
0.21896	1	26	3	590
0.21896	1	26	3	590
0.218961	1	26	3	590
0.218961	1	26	3	590
0.218962	1	26	3	590
0.218962	1	26	3	590
0.218963	1	26	3	590
0.218963	1	26	3	590
0.218964	1	26	3	590
0.218964	1	26	3	590
0.218965	1	26	3	590
0.218965	1	26	3	590
0.218966	1	26	3	590
0.22003	1	27	3	590
0.22003	1	27	3	590
0.220031	1	27	3	590
0.220031	1	27	3	590
0.220032	1	27	3	590
0.220032	1	27	3	590
0.220033	1	27	3	590
0.220033	1	27	3	590
0.22303	1	10	3	590
0.22303	1	10	3	590
0.223031	1	10	3	590
0.223031	1	10	3	590
0.223032	1	10	3	590
0.223032	1	10	3	590
0.223033	1	10	3	590
0.223033	1	10	3	590
0.223034	1	10	3	590
0.223034	1	10	3	590
0.223035	1	10	3	590
0.223035	1	10	3	590
0.223036	1	10	3	590
0.223036	1	10	3	590
0.223037	1	10	3	590
0.223037	1	10	3	590
0.23503	1	26	3	590
0.23503	1	26	3	590
0.235031	1	26	3	590
0.235031	1	26	3	590
0.249958	1	26	3	590
0.249959	1	26	3	590
0.249959	1	26	3	590
0.24996	1	26	3	590
0.24996	1	26	3	590
0.249961	1	26	3	590
0.249961	1	26	3	590
0.249962	1	26	3	590
0.249962	1	26	3	590
0.249963	1	26	3	590
0.249963	1	26	3	590
0.249964	1	26	3	590
0.254958	1	26	3	590
0.254959	1	26	3	590
0.254959	1	26	3	590
0.25496	1	26	3	590
0.25496	1	26	3	590
0.254961	1	26	3	590
0.254961	1	26	3	590
0.254962	1	26	3	590
0.254962	1	26	3	590
0.254963	1	26	3	590
0.254963	1	26	3	590
0.254964	1	26	3	590
0.254964	1	26	3	590
0.254965	1	26	3	590
0.254965	1	26	3	590
0.254966	1	26	3	590
0.254966	1	26	3	590
0.254967	1	26	3	590
0.254967	1	26	3	590
0.254968	1	26	3	590
0.26703	1	26	3	590
0.26703	1	26	3	590
0.267031	1	26	3	590
0.267031	1	26	3	590
0.267032	1	26	3	590
0.267032	1	26	3	590
0.267033	1	26	3	590
0.267033	1	26	3	590
0.285958	1	26	3	590
0.285959	1	26	3	590
0.285959	1	26	3	590
0.28596	1	26	3	590
0.28596	1	26	3	590
0.285961	1	26	3	590
0.285961	1	26	3	590
0.285962	1	26	3	590
0.285962	1	26	3	590
0.285963	1	26	3	590
0.285963	1	26	3	590
0.285964	1	26	3	590
0.29103	1	26	3	590
0.29103	1	26	3	590
0.291031	1	26	3	590
0.291031	1	26	3	590
0.291032	1	26	3	590
0.291032	1	26	3	590
0.291033	1	26	3	590
0.291033	1	26	3	590
0.291034	1	26	3	590
0.291034	1	26	3	590
0.291035	1	26	3	590
0.291035	1	26	3	590
0.291036	1	26	3	590
0.291036	1	26	3	590
0.291037	1	26	3	590
0.291037	1	26	3	590
0.291038	1	26	3	590
0.291038	1	26	3	590
0.291039	1	26	3	590
0.291039	1	26	3	590
0.29104	1	26	3	590
