time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.113243	1	21	4	60	0.00224286
0.113314	1	26	4	60	0.00231428
0.113386	1	27	4	60	0.00238571
0.113457	1	10	4	60	0.00245714
0.115243	1	3	4	60	0.00224286
0.116243	1	8	4	60	0.00224286
0.116314	1	7	4	60	0.00231428
0.117314	1	1	4	60	0.00231428
0.117386	1	11	4	60	0.00238571
0.121029	1	12	4	60	0.00802856
0.123029	1	9	4	60	0.00802856
0.127243	1	4	4	60	0.00224286
0.127314	1	6	4	60	0.00231428
0.127457	1	25	4	60	0.00245714
0.127529	1	2	4	60	0.00252857
0.133957	1	22	4	60	0.0179571
0.143029	1	28	4	60	0.0180286
0.144314	1	27	4	5971	0.00231428
0.147314	1	7	4	5971	0.00231428
0.159314	1	10	4	5971	0.00231428
0.159457	1	26	4	5971	0.00245714
0.179386	1	7	4	10056	0.00238571
0.181386	1	27	4	10056	0.00238571
0.206243	1	26	4	1184	0.00224286
0.210957	1	10	4	1184	0.00795714
0.211386	1	7	4	10056	0.00238571
0.221386	1	26	4	9465	0.00238571
0.223886	1	27	4	2772	0.00288571
0.224743	1	27	4	1963	0.00274285
0.232029	1	10	4	9465	0.00802856
0.238243	1	26	4	2367	0.00224286
0.252314	1	26	4	7099	0.00231428
0.257386	1	26	4	10056	0.00238571
0.270314	1	26	4	4733	0.00231428
0.288314	1	26	4	7099	0.00231428
0.294386	1	26	4	10056	0.00238571
0.301243	1	26	4	1184	0.00224286
0.306243	1	26	4	2367	0.00224286
0.320243	1	26	4	592	0.00224286
0.326314	1	26	4	5324	0.00231428
0.332314	1	26	4	5916	0.00231428
0.338243	1	26	4	1775	0.00224286
0.349243	1	26	4	592	0.00224286
0.352243	1	26	4	592	0.00224286
0.355243	1	26	4	1775	0.00224286
0.358243	1	26	4	1775	0.00224286
0.361314	1	26	4	4141	0.00231428
0.363243	1	26	4	3550	0.00224286
0.367243	1	26	4	1775	0.00224286
0.370529	1	27	4	3550	0.00252857
0.380386	1	26	4	10056	0.00238571
0.381243	1	27	4	1184	0.00224286
0.386243	1	26	4	2367	0.00224286
0.392243	1	26	4	2367	0.00224286
0.403314	1	26	4	7099	0.00231428
0.409243	1	26	4	2367	0.00224286
0.411957	1	27	4	592	0.00795714
0.415386	1	26	4	10056	0.00238571
0.423029	1	27	4	5324	0.00802856
0.424243	1	26	4	2367	0.00224286
0.435314	1	26	4	5324	0.00231428
0.441314	1	26	4	4733	0.00231428
0.447243	1	26	4	3550	0.00224286
0.452314	1	26	4	7099	0.00231428
0.457243	1	26	4	1184	0.00224286
0.472243	1	26	4	2367	0.00224286
0.478314	1	26	4	7690	0.00231428
0.484243	1	26	4	2958	0.00224286
0.490314	1	26	4	7690	0.00231428
0.504243	1	26	4	2367	0.00224286
0.515243	1	26	4	3550	0.00224286
0.521386	1	26	4	10056	0.00238571
0.536243	1	26	4	2367	0.00224286
0.546243	1	26	4	3550	0.00224286
0.558314	1	26	4	7099	0.00231428
0.564314	1	26	4	4141	0.00231428
0.570243	1	26	4	592	0.00224286
0.578243	1	26	4	1775	0.00224286
0.584243	1	26	4	1184	0.00224286
0.590243	1	26	4	1775	0.00224286
0.596314	1	26	4	7690	0.00231428
0.601243	1	26	4	2367	0.00224286
0.640029	1	26	4	968	0.0190286
0.663029	1	26	4	222	0.0180286
1.21124	1	7	4	592	0.00224286
1.22624	1	10	4	592	0.00224286
1.34903	1	7	4	10056	0.00802856
1.42303	1	27	4	592	0.00802856
1.6276	1	26	4	592	0.0026
2.34903	1	7	4	592	0.00802856
3.11324	1	21	4	60	0.00224286
3.11424	1	5	4	60	0.00224286
3.11524	1	3	4	60	0.00224286
3.11531	1	12	4	60	0.00231428
3.11539	1	23	4	60	0.00238571
3.11624	1	8	4	60	0.00224286
3.11631	1	24	4	60	0.00231428
3.11724	1	1	4	60	0.00224286
3.11731	1	9	4	60	0.00231428
3.11739	1	11	4	60	0.00238571
3.11824	1	22	4	60	0.00224286
3.11924	1	6	4	60	0.00224286
3.12124	1	2	4	60	0.00224286
3.12131	1	25	4	60	0.00231428
3.12224	1	4	4	60	0.00224286
3.12231	1	28	4	60	0.00231428
3.2266	1	10	4	592	0.0026
3.24831	1	9	4	5971	0.00231428
3.25896	1	28	4	5971	0.00795714
3.48053	1	9	4	1184	0.00252857
3.61253	1	9	4	1184	0.00252857
3.6276	1	26	4	592	0.0026
3.64324	1	9	4	1184	0.00224286
3.67524	1	9	4	2367	0.00224286
4.3436	1	7	4	592	0.0026
