time(s)	cellId	rnti	lcid	packetSize
0.111	1	21	4	60
0.111	1	26	4	60
0.111	1	27	4	60
0.111	1	10	4	60
0.112	1	5	4	60
0.113	1	3	4	60
0.113	1	12	4	60
0.113	1	23	4	60
0.114	1	8	4	60
0.114	1	7	4	60
0.114	1	24	4	60
0.115	1	9	4	60
0.115	1	1	4	60
0.115	1	11	4	60
0.116	1	22	4	60
0.125	1	4	4	60
0.125	1	6	4	60
0.125	1	28	4	60
0.125	1	25	4	60
0.125	1	2	4	60
0.142	1	27	4	5971
0.145	1	7	4	5971
0.157	1	10	4	5971
0.157	1	26	4	5971
0.177	1	7	4	10056
0.179	1	27	4	10056
0.203	1	10	4	1184
0.204	1	26	4	1184
0.209	1	7	4	10056
0.215	1	27	4	10056
0.219	1	26	4	9465
0.221	1	27	4	2772
0.222	1	27	4	1963
0.224	1	10	4	9465
0.236	1	26	4	2367
0.25	1	26	4	7099
0.255	1	26	4	10056
0.268	1	26	4	4733
0.286	1	26	4	7099
0.292	1	26	4	10056
0.299	1	26	4	1184
0.304	1	26	4	2367
0.318	1	26	4	592
0.324	1	26	4	5324
0.33	1	26	4	5916
0.336	1	26	4	1775
0.347	1	26	4	592
0.35	1	26	4	592
0.353	1	26	4	1775
0.356	1	26	4	1775
0.359	1	26	4	4141
0.361	1	26	4	3550
0.365	1	26	4	1775
0.368	1	27	4	3550
0.378	1	26	4	10056
0.379	1	27	4	1184
0.384	1	26	4	2367
0.39	1	26	4	2367
0.401	1	26	4	7099
0.404	1	27	4	592
0.407	1	26	4	2367
0.413	1	26	4	10056
0.415	1	27	4	5324
0.422	1	26	4	2367
0.433	1	26	4	5324
0.439	1	26	4	4733
0.445	1	26	4	3550
0.45	1	26	4	7099
0.455	1	26	4	1184
0.47	1	26	4	2367
0.476	1	26	4	7690
0.482	1	26	4	2958
0.488	1	26	4	7690
0.502	1	26	4	2367
0.513	1	26	4	3550
0.519	1	26	4	10056
0.534	1	26	4	2367
0.544	1	26	4	3550
0.556	1	26	4	7099
0.562	1	26	4	4141
0.568	1	26	4	592
0.576	1	26	4	1775
0.582	1	26	4	1184
0.588	1	26	4	1775
0.594	1	26	4	7690
0.599	1	26	4	2367
0.608	1	26	4	1775
0.614	1	26	4	1184
0.62	1	26	4	1401
0.621	1	26	4	968
0.625	1	26	4	1283
0.628	1	26	4	1401
0.634	1	26	4	1401
0.641	1	26	4	1401
0.642	1	26	4	1401
0.645	1	26	4	222
1.209	1	7	4	592
1.224	1	10	4	592
1.341	1	7	4	10056
1.415	1	27	4	592
1.625	1	26	4	592
2.341	1	7	4	592
3.111	1	21	4	60
3.112	1	5	4	60
3.113	1	3	4	60
3.113	1	12	4	60
3.113	1	23	4	60
3.114	1	8	4	60
3.114	1	24	4	60
3.115	1	1	4	60
3.115	1	9	4	60
3.115	1	11	4	60
3.116	1	22	4	60
3.117	1	6	4	60
3.119	1	2	4	60
3.119	1	25	4	60
3.12	1	4	4	60
3.12	1	28	4	60
3.224	1	10	4	592
3.246	1	9	4	5971
3.251	1	28	4	5971
3.278	1	9	4	10056
3.415	1	27	4	592
3.478	1	9	4	1184
3.61	1	9	4	1184
3.625	1	26	4	592
3.641	1	9	4	1184
3.673	1	9	4	2367
4.341	1	7	4	592
