time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.121886	1	27	3	58	0.0085
0.124957	1	7	3	58	0.00864285
0.136886	1	26	3	58	0.0235714
0.136957	1	10	3	58	0.0235
0.156029	1	7	3	54	0.00871428
0.156029	1	7	3	54	0.00871428
0.156029	1	7	3	54	0.00871428
0.156029	1	7	3	54	0.00871428
0.156029	1	7	3	54	0.00871428
0.158029	1	27	3	54	0.0137143
0.158029	1	27	3	54	0.0137143
0.158029	1	27	3	54	0.0137143
0.158029	1	27	3	54	0.0137143
0.158029	1	27	3	54	0.0137143
0.182957	1	10	3	54	0.0236429
0.183029	1	26	3	54	0.0235714
0.188029	1	7	3	54	0.00864285
0.188029	1	7	3	54	0.00864285
0.188029	1	7	3	54	0.00864285
0.188029	1	7	3	54	0.00864285
0.188029	1	7	3	54	0.00864285
0.188029	1	7	3	54	0.00864285
0.188029	1	7	3	54	0.00864285
0.188029	1	7	3	54	0.00864285
0.188029	1	7	3	54	0.00864285
0.194957	1	27	3	54	0.0135714
0.194957	1	27	3	54	0.0135714
0.194957	1	27	3	54	0.0135714
0.194957	1	27	3	54	0.0135714
0.194957	1	27	3	54	0.0135714
0.194957	1	27	3	54	0.0135714
0.194957	1	27	3	54	0.0135714
0.198957	1	26	3	54	0.0395
0.198957	1	26	3	54	0.0395
0.198957	1	26	3	54	0.0395
0.198957	1	26	3	54	0.0395
0.200029	1	27	3	54	0.0186429
0.200029	1	27	3	54	0.0186429
0.203029	1	10	3	54	0.0437143
0.203029	1	10	3	54	0.0437143
0.203029	1	10	3	54	0.0437143
0.203029	1	10	3	54	0.0437143
0.215029	1	26	3	54	0.00878571
0.229957	1	26	3	54	0.00857142
0.229957	1	26	3	54	0.00857142
0.229957	1	26	3	54	0.00857142
0.234957	1	26	3	54	0.0135714
0.234957	1	26	3	54	0.0135714
0.234957	1	26	3	54	0.0135714
0.234957	1	26	3	54	0.0135714
0.234957	1	26	3	54	0.0135714
0.247029	1	26	3	54	0.00878571
0.247029	1	26	3	54	0.00878571
0.265957	1	26	3	54	0.0136429
0.265957	1	26	3	54	0.0136429
0.265957	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0187143
0.271029	1	26	3	54	0.0187143
0.271029	1	26	3	54	0.0187143
0.271029	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0136429
0.271029	1	26	3	54	0.0136429
0.278957	1	26	3	62	0.00864285
0.278957	1	26	3	62	0.00864285
0.283957	1	26	3	62	0.0136429
0.283957	1	26	3	62	0.0136429
0.283957	1	26	3	62	0.0136429
0.283957	1	26	3	62	0.0136429
0.283957	1	26	3	62	0.0136429
0.283957	1	26	3	62	0.0136429
0.297029	1	26	3	62	0.00871428
0.297029	1	26	3	62	0.00871428
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.0147143
0.303029	1	26	3	62	0.00864285
0.303029	1	26	3	62	0.00864285
0.303029	1	26	3	62	0.00864285
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	62	0.0146429
0.309029	1	26	3	70	0.00778571
0.309029	1	26	3	70	0.00778571
0.315029	1	26	3	70	0.00878571
0.315029	1	26	3	70	0.00878571
0.315029	1	26	3	62	0.00878571
0.326029	1	26	3	62	0.0197857
0.329029	1	26	3	62	0.00878571
0.332029	1	26	3	62	0.00571428
0.332029	1	26	3	62	0.00571428
0.332029	1	26	3	62	0.00571428
0.335957	1	26	3	62	0.00964285
0.335957	1	26	3	62	0.00964285
0.335957	1	26	3	62	0.00964285
0.338029	1	26	3	62	0.0117143
0.338029	1	26	3	62	0.0117143
0.338029	1	26	3	62	0.0117143
0.338029	1	26	3	62	0.00571428
