time(s)	cellId	rnti	lcid	packetSize
0.113243	1	21	3	58
0.113314	1	26	3	58
0.113386	1	27	3	58
0.113457	1	10	3	58
0.115243	1	3	3	58
0.116243	1	8	3	58
0.116314	1	7	3	58
0.117314	1	1	3	58
0.117386	1	11	3	58
0.121029	1	12	3	58
0.123029	1	9	3	58
0.127243	1	4	3	58
0.127314	1	6	3	58
0.127457	1	25	3	58
0.127529	1	2	3	58
0.133957	1	22	3	58
0.143029	1	28	3	58
0.144314	1	27	3	54
0.144314	1	27	3	54
0.144314	1	27	3	54
0.144314	1	27	3	54
0.144314	1	27	3	54
0.147314	1	7	3	54
0.147314	1	7	3	54
0.147314	1	7	3	54
0.147314	1	7	3	54
0.147314	1	7	3	54
0.159314	1	10	3	54
0.159314	1	10	3	54
0.159314	1	10	3	54
0.159314	1	10	3	54
0.159314	1	10	3	54
0.159457	1	26	3	54
0.159457	1	26	3	54
0.159457	1	26	3	54
0.159457	1	26	3	54
0.159457	1	26	3	54
0.179386	1	7	3	54
0.179386	1	7	3	54
0.179386	1	7	3	54
0.179386	1	7	3	54
0.179386	1	7	3	54
0.179386	1	7	3	54
0.179386	1	7	3	54
0.179386	1	7	3	54
0.179386	1	7	3	54
0.181386	1	27	3	54
0.181386	1	27	3	54
0.181386	1	27	3	54
0.181386	1	27	3	54
0.181386	1	27	3	54
0.181386	1	27	3	54
0.181386	1	27	3	54
0.181386	1	27	3	54
0.181386	1	27	3	54
0.206243	1	26	3	54
0.210957	1	10	3	54
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.211386	1	7	3	62
0.221386	1	26	3	54
0.221386	1	26	3	54
0.221386	1	26	3	54
0.221386	1	26	3	54
0.221386	1	26	3	54
0.221386	1	26	3	54
0.221386	1	26	3	54
0.221386	1	26	3	54
0.232029	1	10	3	54
0.232029	1	10	3	54
0.232029	1	10	3	54
0.232029	1	10	3	54
0.232029	1	10	3	54
0.232029	1	10	3	54
0.232029	1	10	3	54
0.232029	1	10	3	54
0.238243	1	26	3	54
0.238243	1	26	3	54
0.252314	1	26	3	54
0.252314	1	26	3	54
0.252314	1	26	3	54
0.252314	1	26	3	54
0.252314	1	26	3	54
0.252314	1	26	3	54
0.257386	1	26	3	54
0.257386	1	26	3	54
0.257386	1	26	3	54
0.257386	1	26	3	54
0.257386	1	26	3	54
0.257386	1	26	3	54
0.257386	1	26	3	54
0.257386	1	26	3	54
0.257386	1	26	3	54
0.270314	1	26	3	62
0.270314	1	26	3	62
0.270314	1	26	3	62
0.270314	1	26	3	62
0.270314	1	26	3	62
0.270314	1	26	3	62
0.270314	1	26	3	62
0.270314	1	26	3	62
0.288314	1	26	3	62
0.288314	1	26	3	62
0.288314	1	26	3	62
0.288314	1	26	3	62
0.288314	1	26	3	62
0.288314	1	26	3	62
