time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.121886	1	27	3	60	0.00281428
0.124957	1	7	3	60	0.00288571
0.136886	1	26	3	60	0.0178143
0.136957	1	10	3	60	0.0178857
0.156029	1	7	3	278	0.00295714
0.158029	1	27	3	278	0.00795714
0.182957	1	10	3	106	0.0178857
0.183029	1	26	3	106	0.0179571
0.188029	1	7	3	500	0.00295714
0.194957	1	27	3	428	0.00788571
0.198957	1	26	3	175	0.0128857
0.200029	1	27	3	75	0.00295714
0.203029	1	10	3	175	0.0179571
0.215029	1	26	3	56	0.00295714
0.229957	1	26	3	208	0.00288571
0.234957	1	26	3	239	0.00288571
0.247029	1	26	3	112	0.00295714
0.265957	1	26	3	208	0.00788571
0.271029	1	26	3	628	0.00295714
0.278957	1	26	3	150	0.00288571
0.283957	1	26	3	361	0.00288571
0.297029	1	26	3	150	0.00295714
0.303029	1	26	3	868	0.00295714
0.309029	1	26	3	972	0.00295714
0.315029	1	26	3	207	0.00295714
0.326029	1	26	3	64	0.00795714
0.329029	1	26	3	64	0.00295714
0.332029	1	26	3	208	0.00295714
0.335957	1	26	3	208	0.00288571
0.338029	1	26	3	428	0.00295714
0.340957	1	26	3	371	0.00288571
0.344029	1	26	3	191	0.00295714
0.347029	1	27	3	428	0.0179571
0.357957	1	26	3	128	0.00288571
0.358029	1	27	3	83	0.00795714
0.363957	1	26	3	267	0.00288571
0.369029	1	26	3	267	0.00295714
0.380029	1	26	3	824	0.00795714
0.383957	1	27	3	106	0.00788571
0.386029	1	26	3	208	0.00295714
0.392029	1	26	3	666	0.00295714
0.394029	1	27	3	405	0.00795714
0.401029	1	26	3	112	0.00295714
0.412029	1	26	3	267	0.00295714
0.418029	1	26	3	180	0.00295714
0.424029	1	26	3	208	0.00295714
0.429957	1	26	3	340	0.00288571
0.434886	1	26	3	155	0.00281428
0.449029	1	26	3	428	0.00795714
0.455029	1	26	3	824	0.00295714
0.461029	1	26	3	340	0.00295714
0.467029	1	26	3	765	0.00295714
0.481029	1	26	3	255	0.00295714
0.492029	1	26	3	428	0.00795714
0.498029	1	26	3	677	0.00295714
0.513029	1	26	3	112	0.00295714
0.523957	1	26	3	167	0.00288571
0.535029	1	26	3	340	0.00795714
0.541029	1	26	3	267	0.00295714
0.547029	1	26	3	96	0.00295714
0.555029	1	26	3	267	0.00295714
0.561029	1	26	3	117	0.00295714
0.567029	1	26	3	208	0.00295714
0.573029	1	26	3	824	0.00295714
0.578957	1	26	3	244	0.00288571
0.587029	1	26	3	191	0.00295714
0.593029	1	26	3	128	0.00295714
0.598957	1	26	3	183	0.00288571
0.604957	1	26	3	340	0.00288571
1.22003	1	7	3	56	0.00295714
3.12596	1	9	3	106	0.00288571
3.13074	1	28	3	60	0.00267142
3.13089	1	9	3	16	0.00281428
3.15196	1	28	3	60	0.00288571
3.25703	1	9	3	278	0.00295714
3.45703	1	9	3	56	0.00295714
3.58903	1	9	3	128	0.00295714
3.62096	1	9	3	128	0.00288571
3.65203	1	9	3	128	0.00295714
