time(s)	cellId	rnti	lcid	packetSize
0.119071	1	10	3	60
0.119071	1	21	3	60
0.119071	1	26	3	60
0.119071	1	27	3	60
0.121071	1	3	3	60
0.122071	1	7	3	60
0.122071	1	8	3	60
0.123071	1	1	3	60
0.123071	1	11	3	60
0.127071	1	12	3	60
0.129071	1	9	3	60
0.133071	1	2	3	60
0.133071	1	4	3	60
0.133071	1	6	3	60
0.133071	1	25	3	60
0.139071	1	22	3	60
0.149071	1	28	3	60
0.150071	1	27	3	278
0.153071	1	7	3	278
0.165071	1	10	3	106
0.165071	1	26	3	106
0.185071	1	7	3	500
0.185071	1	10	3	175
0.186071	1	26	3	175
0.187071	1	27	3	428
0.197071	1	27	3	75
0.212071	1	26	3	56
0.216071	1	10	3	56
0.217071	1	7	3	1080
0.227071	1	26	3	208
0.232071	1	26	3	239
0.238071	1	10	3	106
0.244071	1	26	3	112
0.258071	1	26	3	208
0.268071	1	26	3	628
0.276071	1	26	3	150
0.281071	1	26	3	361
0.294071	1	26	3	150
0.300071	1	26	3	868
0.306071	1	26	3	972
0.312071	1	26	3	207
0.318071	1	26	3	64
0.326071	1	26	3	64
0.329071	1	26	3	208
0.329071	1	27	3	428
0.333071	1	26	3	208
0.335071	1	26	3	428
0.338071	1	26	3	371
0.341071	1	26	3	191
0.350071	1	27	3	83
0.355071	1	26	3	128
0.361071	1	26	3	267
0.366071	1	26	3	267
0.372071	1	26	3	824
0.376071	1	27	3	106
0.383071	1	26	3	208
0.386071	1	27	3	405
0.389071	1	26	3	666
0.398071	1	26	3	112
0.409071	1	26	3	267
0.415071	1	26	3	180
0.417071	1	27	3	64
0.421071	1	26	3	208
0.427071	1	26	3	340
0.429071	1	27	3	106
0.432071	1	26	3	155
0.441071	1	26	3	428
0.452071	1	26	3	824
0.458071	1	26	3	340
0.464071	1	26	3	765
0.478071	1	26	3	255
0.484071	1	26	3	428
0.495071	1	26	3	677
0.510071	1	26	3	112
0.521071	1	26	3	167
0.527071	1	26	3	340
0.538071	1	26	3	267
0.544071	1	26	3	96
0.552071	1	26	3	267
0.558071	1	26	3	117
0.564071	1	26	3	208
0.570071	1	26	3	824
0.576071	1	26	3	244
0.584071	1	26	3	191
0.590071	1	26	3	128
0.596071	1	26	3	183
0.602071	1	26	3	340
0.607071	1	26	3	107
0.746071	1	26	3	64
1.21707	1	7	3	56
1.35507	1	7	3	267
1.63307	1	26	3	64
3.11907	1	21	3	106
3.12107	1	3	3	106
3.12107	1	12	3	106
3.12207	1	8	3	106
3.12307	1	1	3	106
3.12307	1	9	3	106
3.12307	1	11	3	106
3.12407	1	22	3	60
3.12507	1	6	3	60
3.12707	1	2	3	60
3.12707	1	25	3	60
3.12807	1	4	3	106
3.12807	1	9	3	16
3.12807	1	28	3	60
3.13307	1	2	3	60
3.13307	1	25	3	60
3.13407	1	6	3	60
3.14007	1	22	3	60
3.14907	1	28	3	60
3.22007	1	5	3	60
3.22107	1	23	3	60
3.22207	1	24	3	60
3.25407	1	9	3	278
3.26407	1	28	3	150
3.45407	1	9	3	56
3.58607	1	9	3	128
3.61807	1	9	3	128
3.63307	1	26	3	64
3.64907	1	9	3	128
3.68107	1	9	3	255
