Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.02	gNB PHY Txed	2	0	0	1	0	0	RAR
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.023	gNB PHY Txed	2	3	0	1	0	0	UL_UCI
0.024	gNB PHY Txed	2	4	0	1	0	0	UL_UCI
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.028	gNB PHY Txed	2	8	0	1	0	0	RAR
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.03	gNB PHY Txed	3	0	0	1	0	0	UL_UCI
0.032	gNB PHY Txed	3	2	0	1	0	0	UL_UCI
0.034	gNB PHY Txed	3	4	0	1	0	0	UL_UCI
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.036	gNB PHY Txed	3	6	0	1	0	0	UL_UCI
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.041	gNB PHY Txed	4	1	0	1	0	0	UL_UCI
0.042	gNB PHY Txed	4	2	0	1	0	0	UL_UCI
0.043	gNB PHY Txed	4	3	0	1	0	0	UL_UCI
0.045	gNB PHY Txed	4	5	0	1	0	0	SIB1
0.048	gNB PHY Txed	4	8	0	1	0	0	UL_UCI
0.05	gNB PHY Txed	5	0	0	1	0	0	MIB
0.05	gNB PHY Txed	5	0	0	1	0	0	UL_UCI
0.053	gNB PHY Txed	5	3	0	1	0	0	UL_UCI
0.055	gNB PHY Txed	5	5	0	1	0	0	SIB1
0.056	gNB PHY Txed	5	6	0	1	0	0	UL_UCI
0.059	gNB PHY Txed	5	9	0	1	0	0	UL_UCI
0.06	gNB PHY Txed	6	0	0	1	0	0	MIB
0.061	gNB PHY Txed	6	1	0	1	0	0	UL_UCI
0.062	gNB PHY Txed	6	2	0	1	0	0	UL_UCI
0.065	gNB PHY Txed	6	5	0	1	0	0	SIB1
0.065	gNB PHY Txed	6	5	0	1	0	0	UL_UCI
0.07	gNB PHY Txed	7	0	0	1	0	0	MIB
0.075	gNB PHY Txed	7	5	0	1	0	0	SIB1
0.08	gNB PHY Txed	8	0	0	1	0	0	MIB
0.085	gNB PHY Txed	8	5	0	1	0	0	SIB1
0.087	gNB PHY Txed	8	7	0	1	0	0	UL_UCI
0.09	gNB PHY Txed	9	0	0	1	0	0	MIB
0.092	gNB PHY Txed	9	2	0	1	0	0	UL_UCI
0.093	gNB PHY Txed	9	3	0	1	0	0	UL_UCI
0.095	gNB PHY Txed	9	5	0	1	0	0	SIB1
0.096	gNB PHY Txed	9	6	0	1	0	0	UL_UCI
0.098	gNB PHY Txed	9	8	0	1	0	0	UL_UCI
0.1	gNB PHY Txed	10	0	0	1	0	0	MIB
0.103	gNB PHY Txed	10	3	0	1	0	0	UL_UCI
0.105	gNB PHY Txed	10	5	0	1	0	0	SIB1
0.11	gNB PHY Txed	11	0	0	1	0	0	MIB
0.112	gNB PHY Txed	11	2	0	1	0	0	UL_UCI
0.113	gNB PHY Txed	11	3	0	1	0	0	DL_DCI
0.113	gNB PHY Txed	11	3	0	1	0	0	DL_DCI
0.113	gNB PHY Txed	11	3	0	1	0	0	DL_DCI
0.113	gNB PHY Txed	11	3	0	1	0	0	DL_DCI
0.114	gNB PHY Txed	11	4	0	1	0	0	DL_DCI
0.114	gNB PHY Txed	11	4	0	1	0	0	UL_UCI
0.115	gNB PHY Txed	11	5	0	1	0	0	DL_DCI
0.115	gNB PHY Txed	11	5	0	1	0	0	DL_DCI
0.115	gNB PHY Txed	11	5	0	1	0	0	SIB1
0.115	gNB PHY Txed	11	5	0	1	0	0	DL_DCI
0.116	gNB PHY Txed	11	6	0	1	0	0	DL_DCI
0.116	gNB PHY Txed	11	6	0	1	0	0	DL_DCI
0.116	gNB PHY Txed	11	6	0	1	0	0	DL_DCI
0.116	gNB PHY Txed	11	6	0	1	0	0	UL_UCI
0.117	gNB PHY Txed	11	7	0	1	0	0	DL_DCI
0.117	gNB PHY Txed	11	7	0	1	0	0	DL_DCI
0.117	gNB PHY Txed	11	7	0	1	0	0	DL_DCI
0.118	gNB PHY Txed	11	8	0	1	0	0	DL_DCI
0.119	gNB PHY Txed	11	9	0	1	0	0	UL_UCI
0.119	gNB PHY Txed	11	9	0	1	0	0	UL_UCI
0.119	gNB PHY Txed	11	9	0	1	0	0	UL_UCI
0.119	gNB PHY Txed	11	9	0	1	0	0	UL_UCI
0.119	gNB PHY Txed	11	9	0	1	0	0	DL_DCI
0.12	gNB PHY Txed	12	0	0	1	0	0	MIB
0.12	gNB PHY Txed	12	0	0	1	0	0	DL_DCI
0.12	gNB PHY Txed	12	0	0	1	0	0	DL_DCI
0.121	gNB PHY Txed	12	1	0	1	0	0	UL_UCI
0.121	gNB PHY Txed	12	1	0	1	0	0	UL_UCI
0.121	gNB PHY Txed	12	1	0	1	0	0	DL_DCI
0.122	gNB PHY Txed	12	2	0	1	0	0	UL_UCI
0.122	gNB PHY Txed	12	2	0	1	0	0	UL_UCI
0.122	gNB PHY Txed	12	2	0	1	0	0	UL_UCI
0.122	gNB PHY Txed	12	2	0	1	0	0	DL_DCI
0.123	gNB PHY Txed	12	3	0	1	0	0	UL_UCI
0.123	gNB PHY Txed	12	3	0	1	0	0	UL_UCI
0.123	gNB PHY Txed	12	3	0	1	0	0	DL_DCI
0.123	gNB PHY Txed	12	3	0	1	0	0	UL_UCI
0.124	gNB PHY Txed	12	4	0	1	0	0	UL_UCI
